Saleyard,Report Date
Gunnedah,10/09/2024
Gunnedah,03/09/2024
Gunnedah,27/08/2024
Gunnedah,20/08/2024
Gunnedah,13/08/2024
Gunnedah,06/08/2024
Gunnedah,30/07/2024
Gunnedah,23/07/2024
Gunnedah,16/07/2024
Gunnedah,09/07/2024
HRLX Singleton,05/02/2025
HRLX Singleton,29/01/2025
HRLX Singleton,22/01/2025
HRLX Singleton,15/01/2025
HRLX Singleton,08/01/2025
HRLX Singleton,11/12/2024
HRLX Singleton,04/12/2024
HRLX Singleton,27/11/2024
HRLX Singleton,20/11/2024
HRLX Singleton,13/11/2024
HRLX Singleton,06/11/2024
HRLX Singleton,30/10/2024
HRLX Singleton,23/10/2024
HRLX Singleton,16/10/2024
HRLX Singleton,09/10/2024
HRLX Singleton,02/10/2024
HRLX Singleton,25/09/2024
HRLX Singleton,18/09/2024
HRLX Singleton,11/09/2024
HRLX Singleton,04/09/2024
HRLX Singleton,28/08/2024
HRLX Singleton,21/08/2024
HRLX Singleton,14/08/2024
HRLX Singleton,07/08/2024
IRLX Inverell,11/02/2025
IRLX Inverell,04/02/2025
IRLX Inverell,28/01/2025
IRLX Inverell,21/01/2025
IRLX Inverell,14/01/2025
IRLX Inverell,07/01/2025
IRLX Inverell,10/12/2024
IRLX Inverell,03/12/2024
IRLX Inverell,26/11/2024
IRLX Inverell,19/11/2024
IRLX Inverell,12/11/2024
IRLX Inverell,05/11/2024
IRLX Inverell,29/10/2024
IRLX Inverell,22/10/2024
IRLX Inverell,15/10/2024
IRLX Inverell,08/10/2024
IRLX Inverell,01/10/2024
IRLX Inverell,24/09/2024
IRLX Inverell,17/09/2024
IRLX Inverell,10/09/2024
IRLX Inverell,03/09/2024
IRLX Inverell,27/08/2024
IRLX Inverell,20/08/2024
IRLX Inverell,13/08/2024
IRLX Inverell,06/08/2024
IRLX Inverell,30/07/2024
IRLX Inverell,23/07/2024
IRLX Inverell,16/07/2024
IRLX Inverell,09/07/2024
IRLX Inverell,02/07/2024
IRLX Inverell,25/06/2024
IRLX Inverell,18/06/2024
IRLX Inverell,11/06/2024
IRLX Inverell,04/06/2024
IRLX Inverell,28/05/2024
IRLX Inverell,21/05/2024
IRLX Inverell,14/05/2024
IRLX Inverell,07/05/2024
IRLX Inverell,30/04/2024
Leongatha,11/02/2025
Leongatha,04/02/2025
Leongatha,28/01/2025
Leongatha,21/01/2025
Leongatha,14/01/2025
Leongatha,07/01/2025
Leongatha,17/12/2024
Leongatha,10/12/2024
Leongatha,03/12/2024
Mortlake,03/02/2025
Mortlake,20/01/2025
Mortlake,13/01/2025
Mortlake,06/01/2025
Mortlake,16/12/2024
Mortlake,09/12/2024
Moss Vale,16/04/2025
Moss Vale,05/02/2025
Moss Vale,29/01/2025
Moss Vale,22/01/2025
Moss Vale,15/01/2025
Moss Vale,08/01/2025
Mount Barker,21/02/2025
Mount Barker,20/02/2025
Mount Barker,14/02/2025
Mount Barker,13/02/2025
Mount Barker,07/02/2025
Mount Barker,06/02/2025
Muchea,10/02/2025
Muchea,03/02/2025
Muchea,28/01/2025
Muchea,20/01/2025
Muchea,13/01/2025
Muchea,06/01/2025
Muchea,16/12/2024
Muchea,09/12/2024
Muchea,02/12/2024
Muchea,25/11/2024
Muchea,18/11/2024
Muchea,11/11/2024
Muchea,04/11/2024
Muchea,28/10/2024
Muchea,21/10/2024
Muchea,14/10/2024
Muchea,07/10/2024
Muchea,30/09/2024
Naracoorte,15/04/2025
Naracoorte,08/04/2025
Naracoorte,01/04/2025
Naracoorte,25/03/2025
Naracoorte,18/03/2025
Naracoorte,11/03/2025
Naracoorte,04/03/2025
Naracoorte,25/02/2025
Naracoorte,18/02/2025
Naracoorte,11/02/2025
Naracoorte,04/02/2025
Naracoorte,28/01/2025
Naracoorte,21/01/2025
Naracoorte,14/01/2025
Naracoorte,07/01/2025
Naracoorte,17/12/2024
Naracoorte,10/12/2024
Naracoorte,03/12/2024
Naracoorte,26/11/2024
Naracoorte,19/11/2024
Naracoorte,12/11/2024
Naracoorte,05/11/2024
Naracoorte,29/10/2024
Naracoorte,22/10/2024
Naracoorte,15/10/2024
Naracoorte,08/10/2024
Naracoorte,01/10/2024
Naracoorte,24/09/2024
Naracoorte,17/09/2024
Naracoorte,10/09/2024
Naracoorte,03/09/2024
Naracoorte,27/08/2024
Naracoorte,20/08/2024
Naracoorte,13/08/2024
Naracoorte,06/08/2024
Naracoorte,30/07/2024
NVLX Wodonga,11/02/2025
NVLX Wodonga,04/02/2025
NVLX Wodonga,28/01/2025
NVLX Wodonga,21/01/2025
NVLX Wodonga,14/01/2025
NVLX Wodonga,17/12/2024
Oakey,23/09/2024
Oakey,06/05/2024
Oakey,20/02/2024
Oakey,07/02/2024
Oakey,06/02/2024
Powranna,11/02/2025
Powranna,04/02/2025
Powranna,29/01/2025
Powranna,21/01/2025
Powranna,14/01/2025
Powranna,07/01/2025
Powranna,17/12/2024
Powranna,10/12/2024
Powranna,03/12/2024
Powranna,26/11/2024
Powranna,19/11/2024
Powranna,12/11/2024
Powranna,05/11/2024
Powranna,29/10/2024
Powranna,22/10/2024
Powranna,15/10/2024
Powranna,08/10/2024
Powranna,01/10/2024
Powranna,24/09/2024
Powranna,17/09/2024
Powranna,10/09/2024
Powranna,03/09/2024
Powranna,27/08/2024
Powranna,20/08/2024
Powranna,13/08/2024
Powranna,06/08/2024
