Saleyard,Report Date
Bairnsdale,27/04/2023
Bairnsdale,20/04/2023
Bairnsdale,13/04/2023
Bairnsdale,30/03/2023
Blackall,07/12/2023
Blackall,30/11/2023
Blackall,26/10/2023
Blackall,28/09/2023
Blackall,31/08/2023
Blackall,17/08/2023
Blackall,27/07/2023
Blackall,29/06/2023
Blackall,15/06/2023
Blackall,08/06/2023
Blackall,25/05/2023
Blackall,04/05/2023
Blackall,27/04/2023
Blackall,13/04/2023
Blackall,30/03/2023
Blackall,23/02/2023
Charters Towers,13/12/2023
Charters Towers,29/11/2023
Charters Towers,15/11/2023
Charters Towers,01/11/2023
Charters Towers,18/10/2023
Charters Towers,11/10/2023
Charters Towers,27/09/2023
Charters Towers,20/09/2023
Charters Towers,13/09/2023
Charters Towers,06/09/2023
Charters Towers,30/08/2023
Charters Towers,23/08/2023
Charters Towers,16/08/2023
Charters Towers,09/08/2023
Charters Towers,02/08/2023
Charters Towers,26/07/2023
Charters Towers,19/07/2023
Charters Towers,12/07/2023
Charters Towers,05/07/2023
Charters Towers,28/06/2023
Charters Towers,21/06/2023
Charters Towers,14/06/2023
Charters Towers,07/06/2023
Charters Towers,31/05/2023
Charters Towers,24/05/2023
Charters Towers,17/05/2023
Charters Towers,10/05/2023
Charters Towers,03/05/2023
CQLX Gracemere,06/11/2024
CQLX Gracemere,30/10/2024
CQLX Gracemere,23/10/2024
CQLX Gracemere,18/10/2024
CQLX Gracemere,02/10/2024
CQLX Gracemere,25/09/2024
CQLX Gracemere,11/09/2024
CQLX Gracemere,04/09/2024
CQLX Gracemere,28/08/2024
CQLX Gracemere,21/08/2024
CQLX Gracemere,14/08/2024
CQLX Gracemere,07/08/2024
CQLX Gracemere,31/07/2024
CQLX Gracemere,24/07/2024
CQLX Gracemere,17/07/2024
CQLX Gracemere,10/07/2024
CQLX Gracemere,03/07/2024
CQLX Gracemere,26/06/2024
CQLX Gracemere,19/06/2024
CQLX Gracemere,12/06/2024
CQLX Gracemere,05/06/2024
CQLX Gracemere,29/05/2024
CQLX Gracemere,22/05/2024
CQLX Gracemere,15/05/2024
CQLX Gracemere,08/05/2024
CQLX Gracemere,06/05/2024
CQLX Gracemere,01/05/2024
CQLX Gracemere,24/04/2024
CQLX Gracemere,17/04/2024
CQLX Gracemere,10/04/2024
CQLX Gracemere,03/04/2024
CQLX Gracemere,27/03/2024
CQLX Gracemere,20/03/2024
CQLX Gracemere,13/03/2024
CQLX Gracemere,06/03/2024
CQLX Gracemere,28/02/2024
CQLX Gracemere,21/02/2024
CQLX Gracemere,16/02/2024
CQLX Gracemere,07/02/2024
CQLX Gracemere,31/01/2024
CQLX Gracemere,24/01/2024
CQLX Gracemere,17/01/2024
CQLX Gracemere,13/12/2023
CQLX Gracemere,06/12/2023
CQLX Gracemere,29/11/2023
CQLX Gracemere,22/11/2023
CQLX Gracemere,15/11/2023
CQLX Gracemere,08/11/2023
CQLX Gracemere,01/11/2023
CQLX Gracemere,25/10/2023
CQLX Gracemere,18/10/2023
CQLX Gracemere,11/10/2023
CQLX Gracemere,27/09/2023
CQLX Gracemere,20/09/2023
CQLX Gracemere,06/09/2023
CQLX Gracemere,30/08/2023
CTLX Carcoar,18/06/2024
CTLX Carcoar,11/06/2024
CTLX Carcoar,04/06/2024
CTLX Carcoar,28/05/2024
CTLX Carcoar,21/05/2024
CTLX Carcoar,14/05/2024
CTLX Carcoar,07/05/2024
CTLX Carcoar,30/04/2024
CTLX Carcoar,23/04/2024
CTLX Carcoar,16/04/2024
CTLX Carcoar,09/04/2024
CTLX Carcoar,02/04/2024
CTLX Carcoar,26/03/2024
CTLX Carcoar,19/03/2024
CTLX Carcoar,12/03/2024
CTLX Carcoar,05/03/2024
CTLX Carcoar,27/02/2024
CTLX Carcoar,20/02/2024
CTLX Carcoar,13/02/2024
CTLX Carcoar,06/02/2024
CTLX Carcoar,30/01/2024
CTLX Carcoar,23/01/2024
CTLX Carcoar,16/01/2024
CTLX Carcoar,09/01/2024
CTLX Carcoar,19/12/2023
CTLX Carcoar,12/12/2023
CTLX Carcoar,05/12/2023
CTLX Carcoar,28/11/2023
CVLX Ballarat,13/12/2023
CVLX Ballarat,29/11/2023
CVLX Ballarat,15/11/2023
CVLX Ballarat,01/11/2023
CVLX Ballarat,18/10/2023
CVLX Ballarat,04/10/2023
CVLX Ballarat,20/09/2023
CVLX Ballarat,06/09/2023
CVLX Ballarat,23/08/2023
CVLX Ballarat,09/08/2023
CVLX Ballarat,26/07/2023
CVLX Ballarat,12/07/2023
CVLX Ballarat,28/06/2023
CVLX Ballarat,14/06/2023
CVLX Ballarat,31/05/2023
CVLX Ballarat,17/05/2023
CVLX Ballarat,03/05/2023
CVLX Ballarat,19/04/2023
CVLX Ballarat,05/04/2023
CVLX Ballarat,22/03/2023
CVLX Ballarat,08/03/2023
CVLX Ballarat,20/02/2023
CVLX Ballarat,06/02/2023
CVLX Ballarat,23/01/2023
CVLX Ballarat,09/01/2023
Dalby,30/10/2024
Dalby,23/10/2024
Dalby,16/10/2024
Dalby,09/10/2024
Dalby,02/10/2024
Dalby,25/09/2024
Dalby,18/09/2024
Dalby,11/09/2024
Dalby,04/09/2024
Dalby,28/08/2024
Dalby,21/08/2024
Dalby,14/08/2024
Dalby,07/08/2024
Dalby,31/07/2024
Dalby,24/07/2024
Dalby,17/07/2024
Dalby,10/07/2024
Dalby,03/07/2024
Dalby,26/06/2024
Dalby,19/06/2024
Dalby,12/06/2024
Dalby,05/06/2024
Dalby,29/05/2024
Dalby,22/05/2024
Dalby,15/05/2024
Dalby,08/05/2024
Dalby,01/05/2024
Dalby,24/04/2024
Dalby,17/04/2024
Dalby,10/04/2024
Dalby,03/04/2024
Dalby,27/03/2024
Dalby,20/03/2024
Dalby,13/03/2024
Dubbo,26/09/2024
Dubbo,19/09/2024
Dubbo,12/09/2024
Dubbo,05/09/2024
Dubbo,29/08/2024
Dubbo,22/08/2024
Dubbo,15/08/2024
Dubbo,08/08/2024
Dubbo,01/08/2024
Dubbo,25/07/2024
Dubbo,18/07/2024
Dubbo,11/07/2024
Dubbo,04/07/2024
Dubbo,27/06/2024
Dubbo,20/06/2024
Dubbo,13/06/2024
Dubbo,06/06/2024
Dubbo,30/05/2024
Dubbo,23/05/2024
Dubbo,16/05/2024
Dubbo,09/05/2024
Dubbo,02/05/2024
Dubbo,18/04/2024
Dubbo,11/04/2024
Dubbo,04/04/2024
Dubbo,21/03/2024
Dubbo,14/03/2024
Dubbo,07/03/2024
Dubbo,29/02/2024
Dubbo,22/02/2024
Dubbo,15/02/2024
Dubbo,08/02/2024
Dubbo,01/02/2024
Dubbo,25/01/2024
Dubbo,18/01/2024
Dubbo,11/01/2024
Dubbo,14/12/2023
Dubbo,07/12/2023
Dubbo,30/11/2023
Dubbo,23/11/2023
Dubbo,16/11/2023
Dubbo,09/11/2023
Dubbo,02/11/2023
Dubbo,26/10/2023
Dubbo,19/10/2023
Dubbo,12/10/2023
Dubbo,05/10/2023
Dubbo,28/09/2023
Echuca,23/10/2024
Echuca,09/10/2024
Echuca,25/09/2024
Echuca,11/09/2024
Echuca,28/08/2024
Echuca,14/08/2024
Echuca,31/07/2024
Echuca,17/07/2024
Echuca,03/07/2024
Echuca,19/06/2024
Echuca,05/06/2024
Echuca,22/05/2024
Echuca,08/05/2024
Echuca,24/04/2024
Echuca,10/04/2024
Echuca,27/03/2024
Echuca,13/03/2024
Echuca,28/02/2024
Echuca,14/02/2024
Echuca,31/01/2024
Echuca,17/01/2024
Echuca,06/12/2023
Echuca,22/11/2023
Echuca,08/11/2023
Emerald,14/12/2023
Emerald,07/12/2023
Emerald,23/11/2023
Emerald,16/11/2023
Emerald,09/11/2023
Emerald,02/11/2023
Emerald,26/10/2023
Emerald,19/10/2023
Emerald,12/10/2023
Emerald,05/10/2023
Emerald,28/09/2023
Emerald,21/09/2023
Emerald,14/09/2023
Emerald,07/09/2023
Emerald,31/08/2023
Emerald,24/08/2023
Emerald,17/08/2023
Emerald,10/08/2023
Emerald,03/08/2023
Emerald,27/07/2023
Emerald,20/07/2023
Emerald,13/07/2023
Emerald,29/06/2023
Emerald,22/06/2023
Emerald,15/06/2023
Emerald,08/06/2023
Emerald,01/06/2023
Emerald,25/05/2023
Emerald,18/05/2023
Emerald,11/05/2023
Emerald,04/05/2023
Emerald,27/04/2023
Emerald,20/04/2023
Emerald,13/04/2023
Emerald,30/03/2023
Emerald,23/03/2023
Emerald,16/03/2023
Emerald,09/03/2023
Emerald,02/03/2023
Emerald,16/02/2023
Emerald,09/02/2023
Emerald,02/02/2023
Forbes,15/07/2024
Forbes,08/07/2024
Forbes,01/07/2024
Forbes,24/06/2024
Forbes,17/06/2024
Forbes,03/06/2024
Gunnedah,02/07/2024
Gunnedah,25/06/2024
Gunnedah,18/06/2024
Gunnedah,04/06/2024
Gunnedah,28/05/2024
Gunnedah,21/05/2024
Gunnedah,14/05/2024
Gunnedah,07/05/2024
Gunnedah,30/04/2024
Gunnedah,23/04/2024
Gunnedah,16/04/2024
Gunnedah,09/04/2024
Gunnedah,02/04/2024
Gunnedah,26/03/2024
Gunnedah,19/03/2024
Gunnedah,12/03/2024
Gunnedah,05/03/2024
Gunnedah,27/02/2024
Gunnedah,20/02/2024
Gunnedah,13/02/2024
Gunnedah,06/02/2024
Gunnedah,30/01/2024
Gunnedah,23/01/2024
Gunnedah,16/01/2024
Gunnedah,09/01/2024
Gunnedah,12/12/2023
Gunnedah,05/12/2023
Gunnedah,28/11/2023
Gunnedah,21/11/2023
Gunnedah,14/11/2023
Gunnedah,07/11/2023
Gunnedah,31/10/2023
Gunnedah,24/10/2023
Gunnedah,17/10/2023
HRLX Singleton,31/07/2024
HRLX Singleton,24/07/2024
HRLX Singleton,17/07/2024
HRLX Singleton,10/07/2024
HRLX Singleton,03/07/2024
HRLX Singleton,26/06/2024
HRLX Singleton,19/06/2024
HRLX Singleton,12/06/2024
HRLX Singleton,05/06/2024
HRLX Singleton,29/05/2024
HRLX Singleton,22/05/2024
HRLX Singleton,15/05/2024
HRLX Singleton,08/05/2024
HRLX Singleton,01/05/2024
HRLX Singleton,24/04/2024
HRLX Singleton,17/04/2024
HRLX Singleton,10/04/2024
HRLX Singleton,03/04/2024
HRLX Singleton,20/03/2024
HRLX Singleton,13/03/2024
HRLX Singleton,06/03/2024
HRLX Singleton,28/02/2024
HRLX Singleton,21/02/2024
HRLX Singleton,14/02/2024
HRLX Singleton,07/02/2024
HRLX Singleton,31/01/2024
HRLX Singleton,24/01/2024
HRLX Singleton,17/01/2024
HRLX Singleton,10/01/2024
HRLX Singleton,13/12/2023
HRLX Singleton,06/12/2023
HRLX Singleton,29/11/2023
HRLX Singleton,22/11/2023
HRLX Singleton,15/11/2023
HRLX Singleton,08/11/2023
HRLX Singleton,01/11/2023
HRLX Singleton,25/10/2023
HRLX Singleton,18/10/2023
HRLX Singleton,11/10/2023
HRLX Singleton,04/10/2023
IRLX Inverell,23/04/2024
IRLX Inverell,16/04/2024
IRLX Inverell,09/04/2024
IRLX Inverell,02/04/2024
IRLX Inverell,26/03/2024
IRLX Inverell,19/03/2024
IRLX Inverell,12/03/2024
IRLX Inverell,05/03/2024
IRLX Inverell,27/02/2024
IRLX Inverell,20/02/2024
IRLX Inverell,13/02/2024
IRLX Inverell,06/02/2024
IRLX Inverell,30/01/2024
IRLX Inverell,23/01/2024
IRLX Inverell,16/01/2024
IRLX Inverell,09/01/2024
IRLX Inverell,12/12/2023
IRLX Inverell,05/12/2023
IRLX Inverell,28/11/2023
IRLX Inverell,21/11/2023
IRLX Inverell,14/11/2023
IRLX Inverell,07/11/2023
IRLX Inverell,31/10/2023
IRLX Inverell,24/10/2023
IRLX Inverell,17/10/2023
Leongatha,26/11/2024
Leongatha,19/11/2024
Leongatha,12/11/2024
Leongatha,29/10/2024
Leongatha,22/10/2024
Leongatha,15/10/2024
Leongatha,08/10/2024
Leongatha,01/10/2024
Leongatha,24/09/2024
Leongatha,17/09/2024
Leongatha,10/09/2024
Leongatha,03/09/2024
Leongatha,27/08/2024
Leongatha,20/08/2024
Leongatha,13/08/2024
Leongatha,06/08/2024
Leongatha,30/07/2024
Leongatha,23/07/2024
Leongatha,16/07/2024
Leongatha,09/07/2024
Leongatha,02/07/2024
Leongatha,26/06/2024
Leongatha,19/06/2024
Leongatha,12/06/2024
Leongatha,05/06/2024
Leongatha,29/05/2024
Leongatha,22/05/2024
Leongatha,15/05/2024
Leongatha,08/05/2024
Leongatha,01/05/2024
Leongatha,24/04/2024
Leongatha,17/04/2024
Leongatha,10/04/2024
Leongatha,03/04/2024
Leongatha,20/03/2024
Leongatha,13/03/2024
Leongatha,06/03/2024
Leongatha,28/02/2024
Leongatha,21/02/2024
Leongatha,14/02/2024
Leongatha,07/02/2024
Leongatha,31/01/2024
Leongatha,17/01/2024
Leongatha,10/01/2024
Leongatha,03/01/2024
Leongatha,13/12/2023
Leongatha,06/12/2023
Leongatha,29/11/2023
Leongatha,22/11/2023
Leongatha,15/11/2023
Leongatha,08/11/2023
Leongatha,01/11/2023
Leongatha,25/10/2023
Leongatha,18/10/2023
Lismore,13/12/2023
Lismore,06/12/2023
Lismore,29/11/2023
Lismore,22/11/2023
Lismore,15/11/2023
Lismore,08/11/2023
Lismore,01/11/2023
Lismore,25/10/2023
Lismore,18/10/2023
Lismore,11/10/2023
Lismore,04/10/2023
Lismore,27/09/2023
Lismore,20/09/2023
Lismore,13/09/2023
Lismore,06/09/2023
Lismore,30/08/2023
Lismore,23/08/2023
Lismore,16/08/2023
Lismore,09/08/2023
Lismore,02/08/2023
Lismore,26/07/2023
Lismore,19/07/2023
Lismore,18/07/2023
Mortlake,02/12/2024
Mortlake,25/11/2024
Mortlake,18/11/2024
Mortlake,11/11/2024
Mortlake,04/11/2024
Mortlake,28/10/2024
Mortlake,21/10/2024
Mortlake,14/10/2024
Mortlake,07/10/2024
Mortlake,30/09/2024
Mortlake,23/09/2024
Mortlake,16/09/2024
Mortlake,09/09/2024
Mortlake,02/09/2024
Mortlake,26/08/2024
Mortlake,19/08/2024
Mortlake,12/08/2024
Mortlake,05/08/2024
Mortlake,29/07/2024
Mortlake,22/07/2024
Mortlake,15/07/2024
Mortlake,08/07/2024
Mortlake,01/07/2024
Mortlake,24/06/2024
Mortlake,17/06/2024
Mortlake,03/06/2024
Mortlake,27/05/2024
Mortlake,20/05/2024
Mortlake,13/05/2024
Mortlake,06/05/2024
Mortlake,29/04/2024
Mortlake,22/04/2024
Mortlake,15/04/2024
Mortlake,08/04/2024
Mortlake,25/03/2024
Mortlake,18/03/2024
Mortlake,04/03/2024
Mortlake,26/02/2024
Mortlake,19/02/2024
Mortlake,12/02/2024
Mortlake,05/02/2024
Mortlake,29/01/2024
Mortlake,22/01/2024
Mortlake,15/01/2024
Mortlake,08/01/2024
Mortlake,18/12/2023
Mortlake,11/12/2023
Mortlake,04/12/2023
Mortlake,27/11/2023
Mortlake,20/11/2023
Mortlake,13/11/2023
Mortlake,06/11/2023
Mortlake,30/10/2023
Mortlake,23/10/2023
Mortlake,16/10/2023
Mortlake,09/10/2023
Mortlake,02/10/2023
Mortlake,25/09/2023
Moss Vale,18/12/2024
Moss Vale,11/12/2024
Moss Vale,04/12/2024
Moss Vale,27/11/2024
Moss Vale,20/11/2024
Moss Vale,13/11/2024
Moss Vale,06/11/2024
Moss Vale,30/10/2024
Moss Vale,23/10/2024
Moss Vale,16/10/2024
Moss Vale,09/10/2024
Moss Vale,02/10/2024
Moss Vale,25/09/2024
Moss Vale,18/09/2024
Moss Vale,11/09/2024
Moss Vale,04/09/2024
Moss Vale,28/08/2024
Moss Vale,21/08/2024
Moss Vale,14/08/2024
Moss Vale,07/08/2024
Moss Vale,31/07/2024
Moss Vale,24/07/2024
Moss Vale,17/07/2024
Moss Vale,10/07/2024
Moss Vale,03/07/2024
Moss Vale,26/06/2024
Moss Vale,19/06/2024
Moss Vale,12/06/2024
Moss Vale,05/06/2024
Moss Vale,29/05/2024
Moss Vale,22/05/2024
Moss Vale,15/05/2024
Moss Vale,08/05/2024
Moss Vale,01/05/2024
Moss Vale,24/04/2024
Moss Vale,17/04/2024
Moss Vale,10/04/2024
Moss Vale,03/04/2024
Moss Vale,27/03/2024
Mount Barker,31/01/2025
Mount Barker,30/01/2025
Mount Barker,24/01/2025
Mount Barker,23/01/2025
Mount Barker,17/01/2025
Mount Barker,16/01/2025
Mount Barker,10/01/2025
Mount Barker,09/01/2025
Mount Barker,07/01/2025
Mount Barker,19/12/2024
Mount Barker,13/12/2024
Mount Barker,12/12/2024
Mount Barker,06/12/2024
Mount Barker,05/12/2024
Mount Barker,29/11/2024
Mount Barker,28/11/2024
Mount Barker,21/11/2024
Mount Barker,18/11/2024
Mount Barker,14/11/2024
Mount Barker,07/11/2024
Mount Barker,31/10/2024
Mount Barker,24/10/2024
Mount Barker,17/10/2024
Mount Barker,10/10/2024
Mount Barker,03/10/2024
Mount Barker,26/09/2024
Mount Barker,19/09/2024
Mount Barker,12/09/2024
Mount Barker,05/09/2024
Mount Barker,29/08/2024
Mount Barker,22/08/2024
Mount Barker,15/08/2024
Mount Barker,08/08/2024
Mount Barker,25/07/2024
Mount Barker,18/07/2024
Mount Barker,11/07/2024
Mount Barker,04/07/2024
Mount Barker,27/06/2024
Mount Barker,20/06/2024
Mount Barker,13/06/2024
Mount Barker,06/06/2024
Mount Barker,30/05/2024
Mt Compass,22/01/2025
Mt Compass,15/01/2025
Mt Compass,11/12/2024
Mt Compass,04/12/2024
Mt Compass,27/11/2024
Mt Compass,20/11/2024
Mt Compass,13/11/2024
Mt Compass,06/11/2024
Mt Compass,30/10/2024
Mt Compass,23/10/2024
Mt Compass,16/10/2024
Mt Compass,09/10/2024
Mt Compass,02/10/2024
Mt Compass,25/09/2024
Mt Compass,18/09/2024
Mt Compass,11/09/2024
Mt Compass,04/09/2024
Mt Compass,28/08/2024
Mt Compass,21/08/2024
Mt Compass,14/08/2024
Mt Compass,07/08/2024
Mt Compass,31/07/2024
Mt Compass,24/07/2024
Mt Compass,17/07/2024
Mt Compass,10/07/2024
Mt Compass,03/07/2024
Mt Compass,26/06/2024
Mt Compass,19/06/2024
Mt Compass,12/06/2024
Mt Compass,05/06/2024
Mt Compass,29/05/2024
Mt Compass,22/05/2024
Mt Compass,15/05/2024
Mt Compass,08/05/2024
Mt Compass,01/05/2024
Mt Compass,24/04/2024
Mt Compass,17/04/2024
Mt Compass,10/04/2024
Mt Compass,20/03/2024
Mt Compass,13/03/2024
Muchea,24/09/2024
Muchea,16/09/2024
Muchea,09/09/2024
Muchea,02/09/2024
Muchea,26/08/2024
Muchea,19/08/2024
Muchea,12/08/2024
Muchea,05/08/2024
Muchea,29/07/2024
Muchea,22/07/2024
Muchea,15/07/2024
Muchea,08/07/2024
Muchea,01/07/2024
Muchea,24/06/2024
Muchea,17/06/2024
Muchea,10/06/2024
Muchea,04/06/2024
Muchea,27/05/2024
Muchea,20/05/2024
Muchea,13/05/2024
Muchea,06/05/2024
Muchea,29/04/2024
Muchea,22/04/2024
Muchea,15/04/2024
Muchea,08/04/2024
Muchea,25/03/2024
Muchea,18/03/2024
Muchea,11/03/2024
Muchea,05/03/2024
Muchea,26/02/2024
Muchea,19/02/2024
Muchea,12/02/2024
Muchea,05/02/2024
Muchea,29/01/2024
Muchea,22/01/2024
Muchea,15/01/2024
Muchea,08/01/2024
Muchea,18/12/2023
Muchea,11/12/2023
Muchea,04/12/2023
Muchea,27/11/2023
Muchea,20/11/2023
Muchea,13/11/2023
Muchea,06/11/2023
Muchea,30/10/2023
Muchea,23/10/2023
Naracoorte,23/07/2024
Naracoorte,16/07/2024
Naracoorte,09/07/2024
Naracoorte,02/07/2024
Naracoorte,25/06/2024
Naracoorte,18/06/2024
Naracoorte,11/06/2024
Naracoorte,04/06/2024
Naracoorte,28/05/2024
NVLX Wodonga,10/12/2024
NVLX Wodonga,03/12/2024
NVLX Wodonga,26/11/2024
NVLX Wodonga,19/11/2024
NVLX Wodonga,12/11/2024
NVLX Wodonga,05/11/2024
NVLX Wodonga,29/10/2024
NVLX Wodonga,22/10/2024
NVLX Wodonga,15/10/2024
NVLX Wodonga,08/10/2024
NVLX Wodonga,01/10/2024
NVLX Wodonga,24/09/2024
NVLX Wodonga,17/09/2024
NVLX Wodonga,10/09/2024
NVLX Wodonga,03/09/2024
NVLX Wodonga,27/08/2024
NVLX Wodonga,20/08/2024
NVLX Wodonga,13/08/2024
NVLX Wodonga,06/08/2024
NVLX Wodonga,30/07/2024
NVLX Wodonga,23/07/2024
NVLX Wodonga,16/07/2024
NVLX Wodonga,09/07/2024
NVLX Wodonga,02/07/2024
NVLX Wodonga,25/06/2024
NVLX Wodonga,18/06/2024
NVLX Wodonga,11/06/2024
NVLX Wodonga,04/06/2024
NVLX Wodonga,28/05/2024
NVLX Wodonga,21/05/2024
NVLX Wodonga,14/05/2024
NVLX Wodonga,07/05/2024
NVLX Wodonga,30/04/2024
NVLX Wodonga,23/04/2024
NVLX Wodonga,16/04/2024
NVLX Wodonga,09/04/2024
NVLX Wodonga,02/04/2024
NVLX Wodonga,26/03/2024
NVLX Wodonga,19/03/2024
NVLX Wodonga,12/03/2024
NVLX Wodonga,05/03/2024
NVLX Wodonga,27/02/2024
NVLX Wodonga,20/02/2024
NVLX Wodonga,13/02/2024
Oakey,03/07/2023
Oakey,15/06/2023
Powranna,19/12/2023
Powranna,12/12/2023
Powranna,05/12/2023
Powranna,28/11/2023
Powranna,21/11/2023
Powranna,14/11/2023
Powranna,07/11/2023
Powranna,31/10/2023
Roma Store,04/02/2025
Roma Store,28/01/2025
Roma Store,21/01/2025
Roma Store,14/01/2025
Roma Store,17/12/2024
Roma Store,10/12/2024
Roma Store,03/12/2024
Roma Store,26/11/2024
Roma Store,19/11/2024
Roma Store,12/11/2024
Roma Store,05/11/2024
Roma Store,29/10/2024
Roma Store,22/10/2024
Roma Store,15/10/2024
Roma Store,08/10/2024
Roma Store,01/10/2024
Roma Store,24/09/2024
Roma Store,17/09/2024
Roma Store,10/09/2024
Roma Store,03/09/2024
Roma Store,27/08/2024
Roma Store,20/08/2024
Roma Store,13/08/2024
Roma Store,06/08/2024
Roma Store,30/07/2024
Roma Store,23/07/2024
Roma Store,16/07/2024
Roma Store,09/07/2024
Roma Store,02/07/2024
Roma Store,25/06/2024
Roma Store,18/06/2024
Roma Store,11/06/2024
Roma Store,04/06/2024
Roma Store,28/05/2024
Roma Store,21/05/2024
Roma Store,14/05/2024
Roma Store,07/05/2024
Roma Store,30/04/2024
Roma Store,23/04/2024
Roma Store,16/04/2024
Roma Store,09/04/2024
Roma Store,02/04/2024
Roma Store,26/03/2024
Roma Store,19/03/2024
Roma Store,12/03/2024
Roma Store,05/03/2024
Roma Store,27/02/2024
Roma Store,20/02/2024
Roma Store,13/02/2024
Roma Store,06/02/2024
Roma Store,30/01/2024
Roma Store,23/01/2024
Roma Store,16/01/2024
Roma Store,09/01/2024
Roma Store,12/12/2023
Roma Store,05/12/2023
Roma Store,28/11/2023
Roma Store,21/11/2023
Roma Store,14/11/2023
Roma Store,07/11/2023
Roma Store,31/10/2023
Roma Store,24/10/2023
Roma Store,17/10/2023
SA Livestock Exchange,12/12/2023
SA Livestock Exchange,05/12/2023
SA Livestock Exchange,28/11/2023
SA Livestock Exchange,21/11/2023
SA Livestock Exchange,14/11/2023
SA Livestock Exchange,07/11/2023
SA Livestock Exchange,31/10/2023
SA Livestock Exchange,24/10/2023
SA Livestock Exchange,17/10/2023
SA Livestock Exchange,10/10/2023
SA Livestock Exchange,03/10/2023
SA Livestock Exchange,26/09/2023
SA Livestock Exchange,19/09/2023
SA Livestock Exchange,12/09/2023
SA Livestock Exchange,05/09/2023
SA Livestock Exchange,22/08/2023
SA Livestock Exchange,15/08/2023
SA Livestock Exchange,08/08/2023
SA Livestock Exchange,01/08/2023
Scone,21/01/2025
Scone,14/01/2025
Scone,07/01/2025
Scone,10/12/2024
Scone,03/12/2024
Scone,26/11/2024
Scone,19/11/2024
Scone,12/11/2024
Scone,05/11/2024
Scone,29/10/2024
Scone,22/10/2024
Scone,15/10/2024
Scone,08/10/2024
Scone,01/10/2024
Scone,24/09/2024
Scone,17/09/2024
Scone,10/09/2024
Scone,03/09/2024
Scone,27/08/2024
Scone,20/08/2024
Scone,13/08/2024
Scone,06/08/2024
Scone,30/07/2024
Scone,23/07/2024
Scone,16/07/2024
Scone,09/07/2024
Scone,02/07/2024
Scone,25/06/2024
Scone,18/06/2024
Scone,11/06/2024
Scone,04/06/2024
Scone,28/05/2024
Scone,21/05/2024
Scone,14/05/2024
Scone,07/05/2024
Scone,30/04/2024
Scone,23/04/2024
Scone,16/04/2024
Scone,09/04/2024
Scone,02/04/2024
Scone,26/03/2024
Scone,19/03/2024
Scone,12/03/2024
Scone,05/03/2024
SELX Yass,14/11/2024
SELX Yass,07/11/2024
SELX Yass,31/10/2024
SELX Yass,24/10/2024
SELX Yass,17/10/2024
SELX Yass,10/10/2024
SELX Yass,03/10/2024
SELX Yass,26/09/2024
SELX Yass,19/09/2024
SELX Yass,12/09/2024
SELX Yass,05/09/2024
SELX Yass,29/08/2024
SELX Yass,22/08/2024
SELX Yass,15/08/2024
SELX Yass,08/08/2024
SELX Yass,01/08/2024
SELX Yass,25/07/2024
SELX Yass,18/07/2024
SELX Yass,11/07/2024
SELX Yass,04/07/2024
SELX Yass,27/06/2024
SELX Yass,20/06/2024
SELX Yass,13/06/2024
SELX Yass,06/06/2024
SELX Yass,30/05/2024
SELX Yass,23/05/2024
SELX Yass,16/05/2024
SELX Yass,09/05/2024
SELX Yass,02/05/2024
SELX Yass,18/04/2024
Shepparton,24/09/2024
Shepparton,17/09/2024
Shepparton,10/09/2024
Shepparton,03/09/2024
Shepparton,27/08/2024
Shepparton,20/08/2024
Shepparton,13/08/2024
Shepparton,06/08/2024
Shepparton,30/07/2024
Shepparton,23/07/2024
Shepparton,16/07/2024
Shepparton,09/07/2024
Shepparton,02/07/2024
Shepparton,25/06/2024
Shepparton,18/06/2024
Shepparton,11/06/2024
Shepparton,04/06/2024
Shepparton,28/05/2024
Shepparton,21/05/2024
Shepparton,14/05/2024
Shepparton,07/05/2024
Toowoomba,29/01/2024
Toowoomba,22/01/2024
Toowoomba,15/01/2024
Toowoomba,11/12/2023
Toowoomba,04/12/2023
Toowoomba,27/11/2023
Toowoomba,20/11/2023
Toowoomba,13/11/2023
Toowoomba,06/11/2023
Toowoomba,30/10/2023
Toowoomba,23/10/2023
Toowoomba,16/10/2023
Toowoomba,09/10/2023
Toowoomba,25/09/2023
Toowoomba,18/09/2023
Toowoomba,11/09/2023
Toowoomba,04/09/2023
Toowoomba,28/08/2023
Toowoomba,21/08/2023
Toowoomba,14/08/2023
Toowoomba,07/08/2023
Toowoomba,31/07/2023
Toowoomba,24/07/2023
Toowoomba,17/07/2023
Toowoomba,10/07/2023
Toowoomba,03/07/2023
Toowoomba,26/06/2023
Toowoomba,19/06/2023
Toowoomba,17/06/2023
Toowoomba,12/06/2023
Toowoomba,05/06/2023
Toowoomba,29/05/2023
Toowoomba,22/05/2023
Toowoomba,15/05/2023
Toowoomba,08/05/2023
Toowoomba,24/04/2023
Toowoomba,17/04/2023
Toowoomba,03/04/2023
Toowoomba,27/03/2023
Toowoomba,20/03/2023
Toowoomba,13/03/2023
Toowoomba,06/03/2023
Toowoomba,27/02/2023
Toowoomba,20/02/2023
Toowoomba,13/02/2023
Toowoomba,06/02/2023
Toowoomba,30/01/2023
Toowoomba,23/01/2023
Toowoomba,16/01/2023
TRLX Tamworth,08/04/2024
TRLX Tamworth,25/03/2024
TRLX Tamworth,18/03/2024
TRLX Tamworth,11/03/2024
