Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 13/05/2024
Comparison Date: 
Total Yarding: 1475 (NQ)
Commentary
"Tamworth penned 1475  good quality cattle which included a very good penning of feeder steers and processor cows. The regular buyers attended and operated to a generally dearer market.

Weaner cattle sold to a dearer result steers 322c to 402c/kg and heifers to 326c/kg all to restockers. Light steers to feed on 284c to 372c/kg backgrounders 260c to 358c/kg. Medium feeders were significantly dearer as well as heavy steers. Heifers sold to similar trends the light drafts to feed 296c to 342c/kg the background heifers following suit. Medium weight feeder heifers were dearer selling up to 20c/kg better. Heavy heifers sold to 270c/kg.

Not many heavy grown steers to quote the heifer portion selling 230c to 290c/kg. All cow categories sold strongly with the heavy drafts 15c to 20c/kg better the heavy cows making to 249c/kg.

Stephen  Adams   MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Processor,C,3,1,NQ,210.0,210.0,210,NQ,388.9,388.9,388.9,966.0,966.0,966
Grown Steer,400-500,Restocker,C,2,10,NQ,340.2,340.2,340.2,NQ,630.0,630.0,630.0,1462.9,1462.9,1462.8599609375
Grown Steer,500-600,Processor,C,2,1,-6,260.0,260.0,260,5.0,481.5,481.5,481.5,1560.0,1560.0,1560
Grown Steer,600-750,Processor,C,3,5,4,281.2,281.2,281.2,3.2,520.7,520.7,520.7,1743.4,1743.4,1743.43984375
Grown Heifer,0-540,Feeder,C,2,5,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1026.0,1026.0,1026
Grown Heifer,0-540,Processor,C,2,19,12,230.0,266.2,245.8421052631579,23.8,442.3,511.9,472.8,851.0,1250.0,1033.2631578947369
Grown Heifer,0-540,Processor,C,3,2,-2,290.0,290.0,290,8.0,557.7,557.7,557.7,1508.0,1508.0,1508
Grown Heifer,0-540,Processor,D,2,3,-9,200.0,200.0,200,11.0,384.6,384.6,384.6,660.0,660.0,660
Grown Heifer,540+,Processor,C,2,2,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,1265.0,1265.0,1265
Grown Heifer,540+,Processor,C,3,15,13,230.0,290.0,264.0799997965495,-3.4,442.3,557.7,507.8,1265.0,1740.0,1565.8639973958334
Cows,0-400,Processor,D,2,5,NQ,120.0,210.0,171.1199951171875,NQ,266.7,466.7,380.3,480.0,798.0,634.031982421875
Cows,0-400,Processor,D,3,1,NQ,188.0,188.0,188,NQ,408.7,408.7,408.7,752.0,752.0,752
Cows,0-400,Restocker,D,2,6,NQ,198.2,198.2,198.19999186197916,NQ,440.4,440.4,440.4,753.2,753.2,753.1599934895834
Cows,400-520,Processor,D,2,19,-68,110.0,216.2,192.56841960706208,2.8,244.4,470.0,419.6,550.0,1037.8,962.145263671875
Cows,400-520,Processor,D,3,2,-64,228.2,228.2,228.1999969482422,17.1,475.4,475.4,475.4,1095.4,1095.4,1095.3599853515625
Cows,400-520,Restocker,D,2,27,-77,190.0,210.2,204.04444263599538,0.3,413.0,457.0,447.2,925.5,1093.0,1007.5422453703703
Cows,520+,Processor,D,2,44,NQ,187.2,228.2,208.29545003717595,NQ,407.0,475.4,452.3,992.2,1255.1,1117.9459200772371
Cows,520+,Processor,D,3,72,18,205.0,238.2,227.39999940660266,10.7,427.1,496.3,471.9,1086.5,1444.3,1286.6952752007378
Cows,520+,Processor,D,4,134,97,210.0,249.2,240.774625066501,17.5,366.7,498.4,480.4,1197.0,1644.7,1484.1719369461287
Cows,520+,Processor,D,5,3,2,200.0,200.0,200,-5.0,400.0,400.0,400.0,1320.0,1320.0,1320
Cows,520+,Restocker,D,3,3,NQ,202.2,202.2,202.19999186197916,NQ,421.3,421.3,421.3,1071.7,1071.7,1071.6599934895833
Bulls,0-450,Processor,B,2,2,NQ,148.2,148.2,148.1999969482422,NQ,274.4,274.4,274.4,503.9,503.9,503.8800048828125
Bulls,0-450,Processor,C,2,1,-11,256.2,256.2,256.20001220703125,-34.8,474.4,474.4,474.4,896.7,896.7,896.7000732421875
Bulls,0-450,Restocker,C,2,2,NQ,310.2,310.2,310.20001220703125,NQ,574.4,574.4,574.4,930.6,930.6,930.5999755859375
Bulls,450-600,Feeder,B,2,4,NQ,252.2,265.0,258.5999984741211,NQ,467.0,490.7,478.9,1311.4,1378.0,1344.719970703125
Bulls,450-600,Processor,B,3,2,NQ,185.0,190.0,187.5,NQ,319.0,327.6,323.3,1110.0,1140.0,1125
Bulls,600+,Processor,B,2,3,NC,120.0,150.0,133.33333333333334,-94.0,214.3,267.9,238.1,816.0,1118.0,994.6666666666666
Bulls,600+,Processor,B,3,12,NQ,200.0,245.0,230.54999923706055,NQ,333.3,408.3,384.3,1720.0,2327.5,2007.3966573079426
