Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Roma Store
Report Date: 11/03/2025
Comparison Date: 
Total Yarding: 3420 (NQ)
Commentary
"Roma Agents yarded 3,420 head. With reduced numbers due to scattered showers and more predicted. All the regular processors feedlotters and backgrounders present and operating with the market stronger for domestic feeders however heavy feeders bullocks and cows easier mainly due to abattoir closures due to the cyclone.

Yearling steers under 200kg sold from 320c to 430c/kg. Yearling steers steers 200 to 280kg with the majority selling from 328c to 478c/kg. Yearling steers 280 to 330kg making to 420c to average 388c/kg. Yearling steers 330 to 400kg also improved and sold from 346c to 420c/kg. Yearling steers 400 to 480kg averaged 368c and topping at 375c/kg.

Yearling heifers under 200kg topped 282c/kg back to the paddock. Yearling heifers 200 to 280kg sold from 200c to 330c/kg for the better pens. Yearling heifers 280 to 330kg with the majority selling from 248c to 310c/kg. Yearling heifers 330 to 400kg lost ground and sold to 320c/kg to feed. Yearling heifers 400 to 480kg sold well and made from 280c to 310c/kg.

Grown steers 400 to 500kg made to 375c/kg. Grown steers 500 to 600kg topped 328c to average 326c/kg. Bullocks over 600kg made to 312c/kg to average 292c/kg. Only a small number of cows penned with the 2 score cows 400 to 520kg made from 210c to 265c and the 3 score cows topping 276c to average 268c/kg. Bulls over 600kg made to 296c/kg.

Market Reporter David Friend"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,44,15,320.2,430.2,372.2227422540838,8.7,604.2,811.7,702.3,608.4,838.9,681.9185360995206
Yearling Steer,0-200,Restocker,D,2,38,23,190.0,285.2,272.6736996299342,-12.2,358.5,538.1,514.5,380.0,410.7,406.65013363486844
Yearling Steer,200-280,Restocker,C,2,307,-25,328.2,478.2,412.6645036629046,18.2,619.2,902.3,778.6,836.9,1219.4,1086.6503812808555
