Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 22/10/2024
Comparison Date: 15/10/2024
Total Yarding: 2650 (+590)
Commentary
"There was an increase in supply with an influx of restocker and feeder cattle. The quality and condition of the offering was fair to very good throughout. There were some nice lines of young cattle along with some very good heavy steers and cows. The usual buyers were in attendance.

Varying trends through the young cattle where light weight steers sold to dearer trends under strong restocker competition. Price differential on specific breeds was substantial while quality was also a factor. The medium and heavy weight yearling steers to restock and feed sold to cheaper trends with the medium weights least affected. The heavy weights down by 10c to 15c/kg. An overall improvement in quality negating that negative price somewhat. Opposite to the light weight restocker steers the breed related price variation was not as great on the heavy feeders however quality was a factor. Light weight heifers to restockers sold on a firm to dearer trend while the medium and heavy weights saw a slightly dearer trend under increased competition.  Heavy trade yearlings also sold to a cheaper trend.

There were limited numbers of heavy grown steers purchased by processors with the market trend cheaper while those to feed were dearer under greater competition. The well finished heavy grown heifers sold to cheaper trends while the lighter weights averaged a little higher. There were cheaper trends through the cow market with heavy 3 and 4 scores down by as much as 8c/kg. Heavy bulls to process sold to cheaper trends while carrying plenty of condition."
Yearling Heifer,200-280,Restocker,D,2,11,-3,246.0,246.0,246,28.0,492.0,492.0,492.0,590.4,590.4,590.4000355113636
Yearling Heifer,280-330,Feeder,C,2,51,NQ,300.0,320.0,312.27450980392155,NQ,576.9,615.4,600.5,914.5,1024.0,984.6333342907476
Yearling Heifer,280-330,Processor,C,2,1,-24,296.0,296.0,296,20.3,569.2,569.2,569.2,843.6,843.6,843.5999755859375
Yearling Heifer,280-330,Processor,C,3,12,9,250.0,255.0,250.83333333333334,14.8,480.8,490.4,482.4,800.0,828.8,804.7916666666666
Yearling Heifer,280-330,Restocker,C,2,32,NC,285.0,308.0,292.09375,-2.9,548.1,592.3,561.7,861.0,960.0,913.21875
Yearling Heifer,280-330,Restocker,C,3,2,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,741.0,741.0,741
Yearling Heifer,330-400,Feeder,C,2,83,30,280.0,325.0,318.49397590361446,18.0,538.5,625.0,612.5,1022.0,1300.0,1206.44578313253
Yearling Heifer,330-400,Feeder,C,3,10,-56,306.0,330.0,320.4,1.7,588.5,622.6,609.0,1116.9,1320.0,1238.760009765625
Yearling Heifer,330-400,Processor,C,3,16,13,274.0,319.0,292.5625,42.6,526.9,613.5,557.9,1000.1,1180.3,1060.093734741211
Yearling Heifer,330-400,Restocker,C,2,17,-58,255.0,290.0,268.2352941176471,-35.9,490.4,557.7,515.8,892.5,986.0,933.2941176470588
Yearling Heifer,330-400,Restocker,C,3,4,NQ,300.0,300.0,300,NQ,566.0,566.0,566.0,1035.0,1035.0,1035
Yearling Heifer,400+,Feeder,C,2,35,18,286.0,325.0,313.65714285714284,43.1,550.0,625.0,603.2,1180.8,1332.5,1289.3085832868303
Yearling Heifer,400+,Feeder,C,3,49,11,300.0,317.0,312.6734693877551,4.9,566.0,598.1,589.9,1287.4,1320.0,1305.278564453125
Yearling Heifer,400+,Processor,C,3,49,26,298.0,340.0,324.0204081632653,5.7,573.1,641.5,612.9,1221.8,1525.5,1396.86328125
Yearling Heifer,400+,Processor,C,4,5,4,320.0,320.0,320,30.0,603.8,603.8,603.8,1600.0,1600.0,1600
Yearling Heifer,400+,Restocker,C,3,8,NQ,285.0,285.0,285,NQ,548.1,548.1,548.1,1197.0,1197.0,1197
Vealer Steer,200-280,Restocker,C,2,68,NQ,284.0,384.0,369.29411764705884,NQ,546.2,738.5,710.2,681.6,979.2,935.4353170955883
Vealer Steer,280-330,Restocker,C,2,79,NQ,373.0,378.0,376.2911392405063,NQ,717.3,726.9,723.6,1077.3,1212.3,1123.4221716772151
Vealer Steer,330+,Processor,C,3,1,NQ,383.0,383.0,383,NQ,709.3,709.3,709.3,1302.2,1302.2,1302.199951171875
Vealer Heifer,200-280,Processor,C,2,13,NQ,248.0,248.0,248,NQ,476.9,476.9,476.9,620.0,620.0,620
Vealer Heifer,200-280,Restocker,C,2,22,NQ,294.0,338.0,298,NQ,565.4,650.0,573.1,646.8,811.2,661.7454556551846
Vealer Heifer,280-330,Processor,C,3,1,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,992.0,992.0,992
Grown Steer,500-600,Feeder,C,3,16,9,338.0,345.0,341.9375,21.9,625.9,638.9,633.2,1994.2,2001.0,1998.0249633789062
Grown Steer,500-600,Processor,C,3,19,6,333.0,333.0,333,-17.7,616.7,616.7,616.7,1831.5,1831.5,1831.5
Grown Heifer,0-540,Feeder,C,2,3,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,1189.0,1189.0,1189
Grown Heifer,0-540,Feeder,C,3,5,-3,285.0,286.0,285.2,-32.8,548.1,550.0,548.5,1311.0,1387.1,1326.2199951171874
Grown Heifer,0-540,Processor,C,3,14,8,268.0,320.0,296.07142857142856,9.1,515.4,592.6,558.0,1206.0,1408.0,1309.9571446010045
Grown Heifer,0-540,Processor,C,4,5,-8,288.0,288.0,288,-13.5,543.4,543.4,543.4,1440.0,1440.0,1440
Grown Heifer,540+,Processor,C,3,8,5,270.0,314.0,283.5,-18.5,509.4,592.5,534.9,1485.0,1727.0,1559.25
Grown Heifer,540+,Processor,C,4,16,2,292.0,310.0,304.625,-11.9,550.9,584.9,574.8,1606.0,1950.0,1747.75
Cows,400-520,Processor,D,2,5,-5,230.0,230.0,230,NC,511.1,511.1,511.1,1081.0,1081.0,1081
Cows,400-520,Processor,D,3,10,NC,273.0,273.0,273,3.8,546.0,546.0,546.0,1283.1,1283.1,1283.1
Cows,400-520,Processor,D,4,2,NQ,272.0,272.0,272,NQ,544.0,544.0,544.0,1414.4,1414.4,1414.4000244140625
Cows,400-520,Restocker,D,2,7,-5,260.0,260.0,260,-8.0,577.8,577.8,577.8,1066.0,1066.0,1066
Cows,520+,Processor,D,3,61,45,242.0,275.0,265.59016393442624,-6.8,514.9,558.3,545.8,1306.8,1608.8,1479.7598296618853
Cows,520+,Processor,D,4,124,-8,264.0,282.0,275.2096774193548,-4.2,536.0,575.0,554.4,1425.6,2035.0,1745.803233485068
Cows,520+,Processor,D,5,1,-12,275.0,275.0,275,9.8,572.9,572.9,572.9,2145.0,2145.0,2145
Bulls,0-450,Processor,C,2,47,44,182.0,250.0,231.19148936170214,-17.1,350.0,480.8,443.6,546.0,1075.0,720.0808469082447
Bulls,450-600,Processor,C,2,10,1,230.0,245.0,240.5,-11.7,425.9,453.7,445.4,1150.0,1396.5,1236.8
Bulls,600+,Processor,B,2,22,17,270.0,296.0,278.40909090909093,-10.4,482.1,528.6,497.2,1890.0,2516.0,2171.281815962358
Bulls,600+,Processor,B,3,9,-7,275.0,297.0,283,-4.0,491.1,530.4,505.4,2282.5,2707.5,2446.2111002604165
Bulls,600+,Processor,B,4,3,NQ,265.0,278.0,271,NQ,473.2,496.4,483.9,2484.0,3197.0,2953.6666666666665
Bulls,600+,Processor,C,2,11,NC,245.0,272.0,262.45454545454544,-14.5,453.7,503.7,486.0,1638.0,2366.4,2014.4772616299715
