Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 30/07/2024
Comparison Date: 23/07/2024
Total Yarding: 1890 (+40)
Commentary
"Despite good follow up rain over the weekend producers took advantage of the strong markets with numbers increasing slightly. The quality of the offering was fair to good with young cattle suitable to restock and feed well supplied. Not as many cows this week while there were limited supplies of well finished grown cattle. The full compliment of buyers were in attendance with demand high from all sectors.

Restocker confidence was high with the rain all but ensuring a bumper spring. This resulted in the lightweight young cattle selling to dearer trends with the steer portion showing significant improvement. There was a quality component to the strong improvement also. The heifer portion also saw a dearer trend. Medium weight yearling seers to restockers sold to a slightly cheaper trend while the feeder steers improved for quality. Heavy weight feeder steers were keenly sought with the trend as much as 17c/kg dearer. Well finished heavy trade also sold to a dearer trend. More quality related price change on the medium weight yearling heifers to restock and feed with the secondary quality lines heavily discounted. Heavyweights to feed attracted strong competition while those to the trade sold to a slightly cheaper trend.

Too few heavy grown steers to quote. The well finished grown heifers saw the lighter weight class sell to a dearer trend while the heavy weights were cheaper. In the cow market the secondary and medium weights sold to cheaper trends while the better conditioned heavyweights saw a dearer trend of as much as 10c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Feeder,C,2,20,12,270.0,358.0,336,56.0,519.2,688.5,646.2,1161.0,1467.8,1391.1
Grown Heifer,0-540,Feeder,C,3,8,-6,292.0,350.0,308.25,-7.2,550.9,673.1,584.6,1426.0,1750.0,1496.012451171875
Grown Heifer,0-540,Processor,C,3,26,6,281.0,364.0,325.8076923076923,5.0,551.0,686.8,623.3,1334.8,1765.4,1580.594247671274
Grown Heifer,0-540,Processor,C,4,2,-28,380.0,380.0,380,20.5,703.7,703.7,703.7,2052.0,2052.0,2052
Grown Heifer,0-540,Processor,D,2,30,17,220.0,235.0,225,15.0,440.0,470.0,450.0,792.0,846.0,810
Grown Heifer,0-540,Restocker,D,2,18,2,172.0,172.0,172,-118.0,344.0,344.0,344.0,490.2,490.2,490.2000325520833
Grown Heifer,540+,Feeder,C,3,4,NQ,347.0,347.0,347,NQ,654.7,654.7,654.7,1891.2,1891.2,1891.1500244140625
Grown Heifer,540+,Processor,C,3,11,NQ,340.0,360.0,341.8181818181818,NQ,641.5,679.2,644.9,1870.0,1980.0,1880
Grown Heifer,540+,Processor,C,4,9,-4,320.0,366.0,339.55555555555554,-20.2,603.8,677.8,636.4,1760.0,2415.6,2001.755588107639
Cows,0-400,Processor,D,2,3,-13,170.0,170.0,170,-3.0,377.8,377.8,377.8,629.0,629.0,629
Cows,400-520,Processor,D,2,41,4,194.0,254.0,227.02439024390245,-28.1,431.1,564.4,502.2,834.2,1159.0,1030.8926733993903
Cows,400-520,Processor,D,3,26,-26,254.0,280.0,263.7692307692308,-10.1,540.4,583.3,553.8,1206.5,1344.0,1279.3461538461538
Cows,400-520,Restocker,D,2,12,NQ,230.0,230.0,230,NQ,511.1,511.1,511.1,1058.0,1058.0,1058
Cows,520+,Processor,D,3,68,-25,265.0,310.0,277.19117647058823,-2.5,552.1,620.0,574.9,1420.4,1798.0,1535.316162109375
Cows,520+,Processor,D,4,176,NC,280.0,336.0,307.72159090909093,3.0,570.0,662.0,619.4,1555.2,2574.0,1855.2369336214933
Cows,520+,Processor,D,5,3,NQ,292.0,326.0,303.3333333333333,NQ,584.0,652.0,606.7,1985.6,2216.8,2062.6666666666665
Bulls,0-450,Restocker,C,2,15,NQ,278.0,278.0,278,NQ,534.6,534.6,534.6,834.0,834.0,834
Bulls,600+,Processor,B,2,10,-9,242.0,269.0,255.9,2.9,432.1,480.4,457.0,1694.0,2235.2,1907.8150146484375
Bulls,600+,Processor,B,3,8,4,260.0,288.0,272.625,38.9,464.3,492.9,480.6,1768.0,2736.0,2108.874969482422
Bulls,600+,Processor,C,2,20,18,222.0,264.0,244.15,23.2,411.1,488.9,452.1,1509.6,2129.6,1983.340020751953
Bulls,600+,Processor,C,3,1,NQ,240.0,240.0,240,NQ,436.4,436.4,436.4,2160.0,2160.0,2160
