Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CVLX Ballarat
Report Date: 20/03/2024
Comparison Date: 06/03/2024
Total Yarding: 618 (+70)
Commentary
"Another bigger yarding at Ballarat with 618 Cattle yarded, quality again varied with the most part of the yarding secondary plainer types with very limited offering of better bred cattle. Most of the usual buying group attended in a cheaper market across all categories. Young cattle sold 10c to 20c softer, grown steers and heifers were 15c to 30c cheaper, heavy cows sold to 15c softer while the medium weights where firm to 5c/kg cheaper. Heavy bulls sold to 8c softer, and the lighter and younger bulls were 20c to 30c cheaper.

Young cattle to the trade sold from 240c to 294c for the better quality and from 148c to 238c/kg for the plainer secondary types. Feeders paid from 224c to 290c for the better bred cattle and from 50c to 244c/kg for the plainer secondary types.  Grown Steers made from 226c to 256c, while 2 very good quality steers made 312c, while the secondary types made from 208 to 230c/kg.  Grown heifers sold 180c to 252c/kg. Manufacturing Beef steers made from 180c to 230c, and the dairy steers sold from 100c to 170c/kg.

Heavy cows sold from 188c to 230c/kg. Medium and light weight cows sold from 100c to 186c and Dairy cows made from 52c to 190c/kg. Heavy bulls sold from 184c to 230c and the lighter and young bulls from 140c to 180c/kg.

Market Reporter, Sheona Lamb"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,330+,Feeder,D,3,1,NQ,208.0,208.0,208,NQ,385.2,385.2,385.2,717.6,717.6,717.5999755859375
Vealer Heifer,330+,Processor,C,3,2,NQ,247.0,258.0,252.5,NQ,457.4,496.2,476.8,938.6,941.7,940.1499938964844
Manufacturing Steer,0-540,Dairy,D,2,3,-12,150.0,160.0,153.33333333333334,-59.8,306.1,333.3,315.2,720.0,832.0,757.3333333333334
Manufacturing Steer,0-540,Dairy,E,2,1,-9,100.0,100.0,100,-57.5,200.0,200.0,200.0,320.0,320.0,320
Manufacturing Steer,0-540,Feeder,D,2,2,NQ,220.0,220.0,220,NQ,415.1,415.1,415.1,968.0,968.0,968
Manufacturing Steer,0-540,Processor,D,2,2,-1,144.0,144.0,144,-71.3,276.9,276.9,276.9,648.0,648.0,648
Manufacturing Steer,0-540,Processor,D,3,2,-1,180.0,210.0,195,-45.0,346.2,403.8,375.0,936.0,1092.0,1014
Manufacturing Steer,540+,Dairy,D,2,1,-21,170.0,170.0,170,-55.8,326.9,326.9,326.9,986.0,986.0,986
Manufacturing Steer,540+,Processor,D,3,3,NC,184.0,230.0,211.33333333333334,-23.3,347.2,434.0,398.7,1039.6,1441.0,1271.5333251953125
Grown Steer,400-500,Feeder,D,3,6,NQ,208.0,220.0,218,NQ,400.0,415.1,412.6,998.4,1001.0,1000.5666707356771
Grown Steer,400-500,Processor,C,3,2,-2,240.0,240.0,240,-19.0,452.8,452.8,452.8,1092.0,1092.0,1092
Grown Steer,500-600,Feeder,D,3,2,NQ,208.0,230.0,219,NQ,392.5,434.0,413.2,1081.6,1253.5,1167.5499877929688
Grown Steer,500-600,Processor,C,3,2,-2,312.0,312.0,312,47.0,577.8,577.8,577.8,1622.4,1622.4,1622.4000244140625
Grown Steer,500-600,Processor,D,3,3,NQ,230.0,250.0,236.66666666666666,NQ,434.0,463.0,443.6,1345.5,1362.5,1351.1666666666667
Grown Steer,600-750,Feeder,C,3,11,NQ,244.0,244.0,244,NQ,451.9,451.9,451.9,1512.8,1512.8,1512.8000710227273
Grown Steer,600-750,Processor,C,3,10,7,230.0,255.0,237.5,-48.5,425.9,481.1,443.1,1426.0,1581.0,1517.45
Grown Steer,600-750,Processor,C,4,4,1,244.0,256.0,250,-31.0,451.9,474.1,463.0,1651.2,1708.0,1679.5999755859375
Grown Steer,600-750,Processor,D,3,2,-4,210.0,210.0,210,-55.7,396.2,396.2,396.2,1323.0,1323.0,1323
Grown Steer,600-750,Processor,D,4,7,NQ,210.0,250.0,244.28571428571428,NQ,388.9,463.0,452.4,1512.0,1737.5,1705.2857142857142
Grown Steer,750+,Processor,C,4,2,NQ,226.0,226.0,226,NQ,426.4,426.4,426.4,1853.2,1853.2,1853.199951171875
Grown Heifer,0-540,Processor,C,3,1,-5,252.0,252.0,252,-20.7,484.6,484.6,484.6,1222.2,1222.2,1222.199951171875
Grown Heifer,0-540,Processor,D,3,6,-1,180.0,226.0,205.33333333333334,-22.1,339.6,418.5,386.1,873.0,1175.2,1027.316650390625
Grown Heifer,540+,Processor,C,3,9,6,214.0,230.0,224.44444444444446,-37.6,403.7,425.9,416.5,1251.9,1357.0,1323.0333251953125
Grown Heifer,540+,Processor,C,4,1,NQ,240.0,240.0,240,NQ,444.4,444.4,444.4,1632.0,1632.0,1632
Grown Heifer,540+,Processor,D,3,3,NC,180.0,200.0,193.33333333333334,-16.7,339.6,377.4,364.8,981.0,1160.0,1100.3333333333333
Cows,0-400,Dairy,E,1,2,NQ,52.0,52.0,52,NQ,108.3,108.3,108.3,182.0,182.0,182
Cows,0-400,Processor,D,2,6,NQ,138.0,138.0,138,NQ,276.0,276.0,276.0,524.4,524.4,524.4000244140625
Cows,400-520,Dairy,D,2,9,NQ,130.0,170.0,147.77777777777777,NQ,270.8,340.0,301.6,630.5,884.0,753.2777777777778
Cows,400-520,Processor,C,2,13,NQ,186.0,186.0,186,NQ,357.7,357.7,357.7,930.0,930.0,930
Cows,400-520,Processor,D,2,15,5,126.0,150.0,144.4,-17.6,262.5,288.5,279.0,623.7,697.5,673.319991048177
Cows,400-520,Processor,D,3,5,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,750.0,780.0,762
Cows,400-520,Processor,E,2,1,NQ,100.0,100.0,100,NQ,200.0,200.0,200.0,445.0,445.0,445
Cows,520+,Dairy,D,3,19,NQ,188.0,190.0,188.8421052631579,NQ,376.0,380.0,377.7,1111.5,1231.4,1180.9158100328948
Cows,520+,Processor,C,3,89,NQ,192.0,225.0,216.8876404494382,NQ,362.3,424.5,407.9,1123.2,1496.0,1381.7500205736483
Cows,520+,Processor,C,4,22,20,214.0,230.0,225.8181818181818,-12.2,403.8,434.0,423.5,1411.2,1679.0,1530.2909046519887
Cows,520+,Processor,D,3,5,-25,200.0,214.0,206.2,-5.2,377.4,403.8,389.1,1258.6,1348.2,1306.9999755859376
Cows,520+,Processor,D,4,3,-62,150.0,150.0,150,-77.4,288.5,288.5,288.5,870.0,870.0,870
Bulls,0-450,Feeder,C,2,7,5,164.0,170.0,166.57142857142858,-53.4,309.4,326.9,316.9,328.0,552.5,424.2142857142857
Bulls,0-450,Feeder,C,3,4,NQ,170.0,170.0,170,NQ,320.8,320.8,320.8,476.0,476.0,476
Bulls,0-450,Feeder,D,2,10,NQ,130.0,145.0,137.5,NQ,250.0,278.8,264.4,390.0,513.0,433.3
Bulls,0-450,Feeder,D,3,4,NQ,140.0,140.0,140,NQ,269.2,269.2,269.2,455.0,455.0,455
Bulls,0-450,Feeder,E,2,3,NQ,40.0,40.0,40,NQ,83.3,83.3,83.3,80.0,80.0,80
Bulls,0-450,Processor,C,2,5,-2,154.0,154.0,154,-41.1,296.2,296.2,296.2,685.3,685.3,685.3
Bulls,0-450,Processor,D,3,2,NQ,150.0,150.0,150,NQ,283.0,283.0,283.0,675.0,675.0,675
Bulls,450-600,Processor,C,3,6,NQ,155.0,180.0,164.16666666666666,NQ,292.5,339.6,309.7,759.5,892.5,851.8333333333334
Bulls,600+,Processor,B,3,5,-1,184.0,210.0,200.4,-17.6,340.7,388.9,369.8,1620.0,1976.0,1812.160009765625
Bulls,600+,Processor,B,4,5,NQ,210.0,230.0,226,NQ,388.9,425.9,413.9,2037.0,2645.0,2376.2
Bulls,600+,Processor,C,3,8,NQ,120.0,220.0,182.625,NQ,226.4,407.4,341.9,984.0,1650.0,1374.2787475585938
