Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 11/02/2025
Comparison Date: 
Total Yarding: 2910 (NQ)
Commentary
"There were approximately 2500 export and 410 young cattle penned representing a decrease of 36 head week-on-week. The usual buying group was present and operating in a dearer market. Quality was good with fewer dairy lots in the bullocks while the trade offering was very mixed. Well finished trade cattle lilted 10c to 15c/kg while secondary lots were cheaper. Grown steers sold firm while bullocks gained 5c/kg. Heavy Friesian manufacturing steers improved 15c to 23c with the crossbred portion firm to 8c/kg dearer. Heavy beef cows gained 5c to 10c while light conditioned dairy lots kicked 20c to 30c/kg. Heavy bulls lifted 5c/kg. 

Vealers sold from 250c to 408c/kg. Yearling trade steers made between 335c and 370c/kg. Yearling heifers to the trade sold between 310c and 355c/kg. Grown steers made from 335c to 380c/kg. Bullocks sold from 350c to 403c/kg. 

Heavy Friesian manufacturing steers made between 272c and 342c with the crossbred portion between 280 and 372c/kg. Most light and medium weight cows sold between 205c and 256c/kg. Heavy weight cows made mostly from 243c to 298c/kg. Heavy bulls sold from 270c to 316c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,330+,Processor,C,3,6,-14,330.0,348.0,340.6666666666667,3.3,600.0,632.7,619.4,1188.0,1392.0,1307.1666666666667
Vealer Steer,330+,Restocker,B,2,4,NQ,320.0,354.0,345.5,NQ,571.4,632.1,617.0,1200.0,1239.0,1229.25
Vealer Heifer,200-280,Processor,C,2,1,NQ,250.0,250.0,250,NQ,446.4,446.4,446.4,625.0,625.0,625
Vealer Heifer,200-280,Processor,C,3,1,NQ,340.0,340.0,340,NQ,607.1,607.1,607.1,952.0,952.0,952
Vealer Heifer,200-280,Restocker,D,2,4,NQ,220.0,230.0,227.5,NQ,423.1,442.3,437.5,572.0,632.5,617.375
Vealer Heifer,280-330,Processor,C,3,7,6,332.0,350.0,347.42857142857144,12.4,592.9,636.4,630.1,1050.0,1137.5,1119.0142822265625
Vealer Heifer,280-330,Restocker,C,2,17,15,320.0,340.0,338,75.0,581.8,625.9,616.5,1056.0,1115.4,1087.4588264016545
Vealer Heifer,330+,Feeder,C,2,4,NQ,310.0,315.0,313.75,NQ,572.7,574.1,573.1,1147.0,1197.0,1184.5
Vealer Heifer,330+,Processor,B,2,1,-8,330.0,330.0,330,-3.9,578.9,578.9,578.9,1122.0,1122.0,1122
Vealer Heifer,330+,Processor,B,3,4,2,355.0,355.0,355,10.0,612.1,612.1,612.1,1349.0,1420.0,1366.75
Vealer Heifer,330+,Processor,C,2,14,11,315.0,330.0,321.7142857142857,1.7,572.7,589.3,577.4,1071.0,1159.2,1133.0999581473213
Vealer Heifer,330+,Processor,C,3,18,-3,320.0,386.0,348.1111111111111,15.2,581.8,689.3,624.0,1152.0,1448.0,1259.6055569118923
Vealer Heifer,330+,Processor,D,3,21,8,300.0,325.0,316.95238095238096,1.1,566.0,601.9,585.4,1080.0,1191.4,1134.7238188244048
