Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: IRLX Inverell
Report Date: 18/06/2024
Comparison Date: 11/06/2024
Total Yarding: 1366 (+327)
Commentary
"There was a a larger yarding of 1,366 head which was a increase of 327, consisting of a good supply of young cattle and a larger penning of cows.  Grown steers and heifers were in smaller numbers.  The yarding of young cattle consisted of several pens of weaners however, yearling cattle made the largest percentage of the young cattle yarding.  Quality was mixed with some good runs of well bred steers and heifers through the sale, along with a few pens of plainer grades.

The market varied considerably again this week with breed  and weight determining the out come of prices.  Restocker weaner steers were 10c to 20c cheaper selling from 182c to 360c,while restocker weaner heifers were back by 10c selling from 212c to 290c/kg.  Feeder steers were firm to slightly easier , with weight and breed  once again  having a bearing on prices, selling firm to slightly easier, ranging from 260c to 376c/kg.  Yearling heifers went against the market trend with increased buyer competition helping to keep prices relatively firm.  Feeder heifers ranged from 240c to 312c.kg.

The yarding of export cattle consisted of a mixed quality offering with the small penning of grown steers reaching a top price of 260c to process and heifers toped at 220c/kg.  The larger yarding of cows consisted of several pens of heavy well finished cows, however there was increased numbers of plain cows through the sale this week.  The market was back by 20c for heavy cows, with plainer grades affected the most.  The 2 score cows sold from 128c to 184c, while 3 scores averaged  188c and heavy 4 score cows ranged from 186c to 215c/kg.

Report compiled by 
Doug Robson"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,2,-104,310.0,310.0,310,-13.9,574.1,574.1,574.1,868.0,868.0,868
Yearling Steer,280-330,Restocker,C,2,20,15,240.0,336.0,307.4,-11.4,436.4,611.1,563.9,792.0,1108.8,986.32001953125
Yearling Steer,330-400,Feeder,C,2,63,41,260.0,376.0,341.6507936507937,10.8,472.7,683.6,624.9,988.0,1428.8,1313.7968284970239
Yearling Steer,330-400,Restocker,C,2,33,NC,312.0,322.0,315.5151515151515,14.8,574.5,592.6,582.0,1088.0,1200.8,1109.0666651870265
Yearling Steer,400+,Feeder,C,2,14,6,300.0,348.0,334.2857142857143,7.9,545.5,632.7,607.8,1260.0,1461.6,1404
Yearling Steer,400+,Feeder,C,3,19,-7,270.0,370.0,348.3157894736842,-4.1,490.9,672.7,633.3,1134.0,1592.8,1492.8526418585527
Yearling Heifer,200-280,Processor,C,2,1,NQ,200.0,200.0,200,NQ,377.4,377.4,377.4,500.0,500.0,500
Yearling Heifer,200-280,Restocker,C,2,67,63,186.0,278.0,241.16417910447763,1.2,350.9,524.5,455.0,446.4,750.6,657.7134226329291
Yearling Heifer,280-330,Processor,C,2,4,-6,176.0,176.0,176,-36.0,332.1,332.1,332.1,563.2,563.2,563.2000122070312
Yearling Heifer,280-330,Restocker,C,2,73,39,176.0,290.0,264.2191780821918,20.4,332.1,547.2,498.5,558.0,877.8,826.9534193065068
Yearling Heifer,330-400,Feeder,C,2,8,-1,240.0,256.0,250,-48.0,452.8,483.0,471.7,896.0,960.0,920
Yearling Heifer,330-400,Feeder,C,3,12,-14,278.0,278.0,278,-38.0,524.5,524.5,524.5,1112.0,1112.0,1112
Yearling Heifer,330-400,Processor,C,2,7,NQ,208.0,208.0,208,NQ,392.5,392.5,392.5,790.4,790.4,790.4000418526786
Yearling Heifer,330-400,Processor,C,3,12,-3,316.0,316.0,316,46.9,596.2,596.2,596.2,1264.0,1264.0,1264
Yearling Heifer,330-400,Restocker,C,2,69,61,188.0,315.0,288.05797101449275,38.1,354.7,594.3,543.5,714.4,1260.0,1067.2347854393115
Yearling Heifer,400+,Feeder,C,3,12,-20,300.0,312.0,307,-2.6,566.0,588.7,579.2,1260.0,1279.2,1271.199951171875
Yearling Heifer,400+,Processor,C,3,1,-7,256.0,256.0,256,-39.8,483.0,483.0,483.0,1100.8,1100.8,1100.800048828125
Vealer Steer,200-280,Restocker,C,2,108,50,270.0,360.0,333.0740740740741,0.8,500.0,666.7,616.8,717.6,900.0,803.718505859375
Vealer Heifer,0-200,Restocker,C,2,18,11,182.0,182.0,182,-130.0,343.4,343.4,343.4,364.0,364.0,364
Vealer Heifer,200-280,Restocker,C,2,63,7,212.0,258.0,238.15873015873015,-44.7,400.0,486.8,449.4,466.4,645.0,581.5111103360615
Vealer Heifer,330+,Processor,C,3,10,NQ,290.0,290.0,290,NQ,547.2,547.2,547.2,1160.0,1160.0,1160
Grown Steer,400-500,Feeder,C,3,20,NQ,230.0,374.0,290.8,NQ,425.9,680.0,529.5,1012.0,1683.0,1384.1
Grown Steer,400-500,Feeder,C,4,2,NQ,300.0,300.0,300,NQ,545.5,545.5,545.5,1440.0,1440.0,1440
Grown Steer,500-600,Feeder,C,4,8,NQ,282.0,282.0,282,NQ,512.7,512.7,512.7,1522.8,1522.8,1522.800048828125
Grown Steer,500-600,Processor,C,4,2,-19,260.0,260.0,260,14.0,472.7,472.7,472.7,1430.0,1430.0,1430
Grown Steer,600-750,Feeder,C,4,1,NQ,250.0,250.0,250,NQ,454.5,454.5,454.5,1700.0,1700.0,1700
Grown Heifer,0-540,Feeder,C,3,15,-18,266.0,310.0,291.3333333333333,21.7,501.9,584.9,549.7,1131.6,1364.0,1246.8133056640625
Grown Heifer,0-540,Processor,C,2,6,-7,170.0,170.0,170,-23.8,326.9,326.9,326.9,714.0,714.0,714
Grown Heifer,0-540,Processor,C,3,7,-15,208.0,220.0,213.14285714285714,-27.4,392.5,415.1,402.2,956.8,990.0,971.028564453125
Grown Heifer,0-540,Processor,D,2,5,NQ,170.0,170.0,170,NQ,369.6,369.6,369.6,714.0,714.0,714
Grown Heifer,0-540,Restocker,C,3,14,NQ,276.0,276.0,276,NQ,520.8,520.8,520.8,1104.0,1104.0,1104
Grown Heifer,0-540,Restocker,D,2,9,NQ,212.0,212.0,212,NQ,441.7,441.7,441.7,848.0,848.0,848
Cows,0-400,Processor,D,2,4,NQ,135.0,135.0,135,NQ,300.0,300.0,300.0,540.0,540.0,540
Cows,0-400,Processor,E,1,2,NQ,80.0,80.0,80,NQ,200.0,200.0,200.0,320.0,320.0,320
Cows,0-400,Restocker,E,1,6,NQ,64.0,64.0,64,NQ,152.4,152.4,152.4,230.4,230.4,230.39998372395834
Cows,400-520,Processor,D,2,72,-21,128.0,174.0,154.02777777777777,-6.8,290.9,386.7,339.3,537.6,808.4,699.9861102634006
Cows,400-520,Processor,D,3,55,3,165.0,188.0,178.61818181818182,-17.5,350.0,391.7,372.5,825.0,977.6,892.7272727272727
Cows,400-520,Processor,D,4,1,-1,194.0,194.0,194,-12.0,388.0,388.0,388.0,892.4,892.4,892.4000244140625
Cows,400-520,Restocker,D,2,46,37,172.0,184.0,176.2391304347826,13.2,382.2,402.2,389.5,774.0,864.8,807.6217200237771
Cows,400-520,Restocker,D,3,4,NQ,185.0,185.0,185,NQ,385.4,385.4,385.4,925.0,925.0,925
Cows,520+,Processor,D,3,40,32,185.0,190.0,188.15,6.2,385.4,395.8,392.0,1007.0,1209.0,1031.6449951171876
