Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 03/02/2025
Comparison Date: 20/01/2025
Total Yarding: 1852 (-517)
Commentary
"Numbers fell this sale with agents yarding 1852 head. Quality was again mixed but fair with both well bred and secondary cattle penned. Yearlings made up the majority of the yarding. The usual buyers were present and competing in a cheaper market. 

Yearling steers slipped 15c with processors paying from 320 to 350c/kg. Plainer types to feed received from 320 to 378c/kg. The heifer portion was 15 to 20c easier with those to feed selling from 295c to 355c/kg. Finished lines to processors received from 289 to 340c/kg. 

Heavy steers and bullocks sold from 320 to 345c/kg. Grown heifers ranged in price from 275 to 330c/kg. Cows were back 15 to 18c/kg. Heavy 2 score sold  from 255 to 278c with 3 score 275 to 288c/kg. The best heavy bull reached 285c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Processor,D,2,5,NQ,290.0,290.0,290,NQ,537.0,537.0,537.0,812.0,812.0,812
Yearling Steer,200-280,Restocker,C,2,15,13,310.2,400.0,388.02666829427085,48.0,574.4,740.7,718.6,868.6,1000.0,982.4746663411458
Yearling Steer,280-330,Feeder,C,2,28,22,364.0,389.2,370.3000052315848,20.3,674.1,720.7,685.7,1201.2,1245.4,1212.259974888393
Yearling Steer,280-330,Feeder,C,3,9,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,1056.0,1056.0,1056
Yearling Steer,280-330,Processor,C,3,1,NQ,320.0,320.0,320,NQ,592.6,592.6,592.6,1024.0,1024.0,1024
Yearling Steer,280-330,Restocker,C,2,12,NQ,305.0,324.0,314.9666697184245,NQ,564.8,600.0,583.3,884.5,1043.5,958.4483642578125
Yearling Steer,330-400,Feeder,C,2,151,NC,322.0,370.0,352.4635797967974,-19.5,596.3,685.2,652.7,1102.3,1423.5,1313.4075563948675
Yearling Steer,330-400,Feeder,C,3,19,-31,330.0,378.2,363.8842130962171,-4.9,611.1,700.4,673.9,1155.0,1416.2,1317.394685444079
Yearling Steer,330-400,Processor,C,2,4,NQ,320.0,330.0,327.5,NQ,592.6,611.1,606.5,1184.0,1254.0,1236.5
Yearling Steer,330-400,Restocker,C,2,5,NQ,322.0,322.0,322,NQ,596.3,596.3,596.3,1094.8,1094.8,1094.8
Yearling Steer,330-400,Restocker,C,3,3,NQ,320.0,320.0,320,NQ,592.6,592.6,592.6,1088.0,1088.0,1088
Yearling Steer,400+,Feeder,C,2,152,-170,325.0,370.0,351.7710539165296,-28.2,601.9,685.2,651.4,1386.0,1733.8,1566.240144428454
Yearling Steer,400+,Feeder,C,3,99,-16,325.0,375.0,345.9717228436711,-19.2,601.9,694.4,640.7,1455.5,1724.2,1584.9460794468118
Yearling Steer,400+,Processor,C,3,45,-67,320.0,350.0,336.34666748046874,-15.1,592.6,648.1,622.9,1419.0,2093.5,1615.2151123046874
