Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 03/02/2025
Comparison Date: 20/01/2025
Total Yarding: 1852 (-517)
Commentary
"Numbers fell this sale with agents yarding 1852 head. Quality was again mixed but fair with both well bred and secondary cattle penned. Yearlings made up the majority of the yarding. The usual buyers were present and competing in a cheaper market. 

Yearling steers slipped 15c with processors paying from 320 to 350c/kg. Plainer types to feed received from 320 to 378c/kg. The heifer portion was 15 to 20c easier with those to feed selling from 295c to 355c/kg. Finished lines to processors received from 289 to 340c/kg. 

Heavy steers and bullocks sold from 320 to 345c/kg. Grown heifers ranged in price from 275 to 330c/kg. Cows were back 15 to 18c/kg. Heavy 2 score sold  from 255 to 278c with 3 score 275 to 288c/kg. The best heavy bull reached 285c/kg."
Yearling Steer,400+,Processor,D,2,8,NQ,290.0,290.0,290,NQ,537.0,537.0,537.0,1305.0,1305.0,1305
Yearling Heifer,200-280,Processor,C,3,4,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,756.0,756.0,756
Yearling Heifer,200-280,Restocker,C,3,13,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,750.0,750.0,750
Yearling Heifer,200-280,Restocker,D,2,2,NQ,250.0,250.0,250,NQ,463.0,463.0,463.0,700.0,700.0,700
Yearling Heifer,280-330,Feeder,C,2,9,NQ,270.0,277.2,273.20000542534723,NQ,500.0,513.3,505.9,783.0,859.3,816.9200032552084
Yearling Heifer,280-330,Feeder,C,3,27,NQ,288.2,294.0,291.85185185185185,NQ,533.7,544.4,540.5,922.2,940.8,933.925925925926
Yearling Heifer,280-330,Restocker,C,3,4,-7,305.0,305.0,305,14.8,564.8,564.8,564.8,945.5,945.5,945.5
Yearling Heifer,330-400,Feeder,C,2,47,22,295.0,355.0,318.9148936170213,-9.1,546.3,657.4,590.6,1113.1,1420.0,1206.7106881648936
Yearling Heifer,330-400,Feeder,C,3,176,52,294.0,315.0,308.70114066384053,-38.1,544.4,583.3,571.7,1030.9,1260.0,1167.4069630015981
Yearling Heifer,330-400,Feeder,D,2,6,NQ,276.0,276.0,276,NQ,511.1,511.1,511.1,966.0,966.0,966
Yearling Heifer,330-400,Feeder,D,3,8,4,262.0,262.0,262,-63.0,485.2,485.2,485.2,890.8,890.8,890.7999877929688
Yearling Heifer,330-400,Processor,C,3,8,-28,304.0,310.0,307,-17.2,563.0,574.1,568.5,1064.0,1147.0,1105.5
Yearling Heifer,330-400,Processor,D,3,21,9,290.0,301.0,299.42857142857144,-17.8,537.0,557.4,554.5,1015.0,1113.7,1099.5999813988096
Yearling Heifer,330-400,Restocker,C,2,57,45,271.2,295.6,288.36842533580045,-44.2,502.2,547.4,534.0,976.3,1121.0,1045.371950383772
Yearling Heifer,330-400,Restocker,C,3,21,13,295.2,315.0,306.5142880394345,-19.7,546.7,583.3,567.6,1165.5,1180.8,1172.057152157738
Yearling Heifer,400+,Feeder,C,2,11,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,1148.0,1148.0,1148
Yearling Heifer,400+,Feeder,C,3,76,3,300.0,315.0,308.9868421052632,-16.5,555.6,583.3,572.2,1302.0,1354.5,1336.3539525082238
Yearling Heifer,400+,Processor,C,3,82,6,289.0,340.0,322.16341567621,-16.3,535.2,629.6,596.6,1230.0,1764.9,1540.2197622903964
Grown Steer,400-500,Processor,C,3,4,NQ,322.0,340.0,331,NQ,596.3,629.6,613.0,1416.8,1530.0,1473.4000244140625
Grown Steer,500-600,Processor,C,2,5,NQ,322.0,322.0,322,NQ,596.3,596.3,596.3,1674.4,1674.4,1674.4
Grown Steer,500-600,Processor,C,3,2,-56,330.0,330.0,330,-14.2,611.1,611.1,611.1,1848.0,1848.0,1848
Grown Heifer,0-540,Feeder,D,2,6,NQ,288.2,288.2,288.20001220703125,NQ,533.7,533.7,533.7,1066.3,1066.3,1066.340087890625
Grown Heifer,0-540,Processor,C,2,9,-3,280.0,280.0,280,8.3,518.5,518.5,518.5,1288.0,1288.0,1288
Grown Heifer,0-540,Processor,C,3,53,-5,275.0,313.2,300.47170502284786,-17.6,509.3,580.0,556.4,1182.5,1610.3,1462.800412735849
Grown Heifer,540+,Processor,C,3,37,6,302.2,330.0,319.6702715899493,-8.6,559.6,611.1,592.0,1722.5,2165.4,1863.4664933488175
Cows,520+,Processor,D,2,82,-5,255.0,278.0,269.9926847132241,-18.1,510.0,556.0,540.0,1436.4,1782.0,1628.4390392768673
Cows,520+,Processor,D,3,153,-93,275.0,288.0,282.8888888888889,-16.7,550.0,576.0,565.8,1612.4,2166.0,1897.3594579758987
Cows,520+,Processor,D,5,1,NQ,270.0,270.0,270,NQ,540.0,540.0,540.0,1836.0,1836.0,1836
Bulls,0-450,Processor,C,2,2,-11,280.0,280.0,280,-10.0,509.1,509.1,509.1,1204.0,1204.0,1204
Bulls,0-450,Restocker,C,2,2,-19,310.2,310.2,310.20001220703125,13.3,564.0,564.0,564.0,992.6,992.6,992.6400146484375
Bulls,450-600,Processor,C,2,2,NQ,270.0,270.0,270,NQ,490.9,490.9,490.9,1566.0,1566.0,1566
Bulls,600+,Processor,C,2,24,5,200.0,285.0,273.5,-47.3,363.6,518.2,497.3,1705.0,2774.4,2320.8333333333335
