Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 30/09/2024
Comparison Date: 24/09/2024
Total Yarding: 1630 (+830)
Commentary
"There was a large increase in stock numbers today doubling last weeks offering with reasonably even volumes of local and pastoral cattle. Large drafts of local and pastoral weaner and yearlings were yarded along with good supplies of grown steers, heifers and prime cows showing heavy weights and finish. The buyer Gallery was notably full with the regulars all present while the feeder and restocker sector had several seasonal buyers bidding on selected lines resulting in price gains on younger cattle.
  Vealer steers sold well and gained 50/60c selling from 250c to 380c while vealer heifers had a wider price spread with lighter frames starting at 162c to 254c and with more cover up to 310c/kg. Yearling steers in store condition sold from 224c to 340c and heavier steers up to 360c/kg. Yearling heifers also gained around 50c with plainer heifers selling from 154c to 230c and in better condition from 240c to a top of 320c/kg.
Pastoral steer calves lifted slightly to return 200c to 280c and big lines of Droughtmaster heifers were making 158c to 218c while plain shorthorn types were hard to sell starting from 50c to 150c/kg.
Grown steers remain equal selling from 218c to 300c and grown heifers from 218c to 282c/kg.
The cow market was also firm with Light cows returning 60c to 160c while medium cows made 150c to 208c and heavy cows topped at 232c/kg
Shipping bulls sold to a top of 260c and slaughter bulls sold from 182c to 230c/kg
Market reporter Terry Birkin."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,9,NQ,224.0,256.0,245.33333333333334,NQ,448.0,512.0,490.7,555.5,657.9,623.7866753472222
Yearling Steer,280-330,Feeder,C,2,14,NQ,340.0,340.0,340,NQ,641.5,641.5,641.5,1033.6,1033.6,1033.5999581473213
Yearling Steer,280-330,Feeder,C,3,13,-1,322.0,334.0,329.0769230769231,95.1,585.5,607.3,598.3,940.2,1085.5,1009.4399977463943
Yearling Steer,280-330,Restocker,C,2,3,NQ,284.0,284.0,284,NQ,535.8,535.8,535.8,849.2,849.2,849.1599934895834
Yearling Steer,280-330,Restocker,C,3,3,NQ,330.0,330.0,330,NQ,600.0,600.0,600.0,990.0,990.0,990
Yearling Steer,330-400,Feeder,C,2,2,NQ,262.0,262.0,262,NQ,503.8,503.8,503.8,880.3,880.3,880.3200073242188
Yearling Steer,330-400,Feeder,C,3,53,49,282.0,360.0,340.9811320754717,86.0,512.7,654.5,620.0,998.3,1302.0,1204.2913058298939
Yearling Steer,330-400,Feeder,D,3,4,-7,270.0,280.0,277.5,37.5,509.4,528.3,523.6,950.4,1075.2,1043.9999694824219
Yearling Steer,330-400,Live Export,D,3,12,7,200.0,218.0,215,-20.2,377.4,411.3,405.7,756.0,769.5,767.2833251953125
Yearling Steer,330-400,Processor,C,2,1,NQ,182.0,182.0,182,NQ,350.0,350.0,350.0,644.3,644.3,644.280029296875
Yearling Steer,330-400,Restocker,C,2,1,NQ,284.0,284.0,284,NQ,535.8,535.8,535.8,948.6,948.6,948.5599975585938
Yearling Steer,400+,Feeder,C,3,13,9,290.0,320.0,305.38461538461536,35.9,527.3,581.8,555.2,1287.0,1521.0,1380.3538536658655
Yearling Steer,400+,Processor,C,3,5,NC,304.0,304.0,304,-13.6,552.7,552.7,552.7,1696.3,1696.3,1696.319921875
Yearling Heifer,200-280,Feeder,D,2,15,NQ,138.0,160.0,151.2,NQ,276.0,320.0,302.4,328.4,427.2,387.6960042317708
Yearling Heifer,200-280,Feeder,D,3,70,56,158.0,218.0,204.28571428571428,26.3,303.8,419.2,392.9,426.6,601.7,545.1239920479911
Yearling Heifer,200-280,Restocker,C,3,4,NQ,242.0,242.0,242,NQ,465.4,465.4,465.4,675.2,675.2,675.1799926757812
Yearling Heifer,200-280,Restocker,D,2,14,NQ,80.0,104.0,93.71428571428571,NQ,160.0,208.0,187.4,185.6,236.0,215.34286063058036
Yearling Heifer,200-280,Restocker,D,3,3,NQ,140.0,140.0,140,NQ,269.2,269.2,269.2,287.0,287.0,287
Yearling Heifer,280-330,Feeder,C,2,7,NQ,154.0,202.0,193.71428571428572,NQ,308.0,404.0,387.4,458.9,658.5,599.6342904227121
Yearling Heifer,280-330,Feeder,C,3,33,32,180.0,252.0,240.6060606060606,74.6,346.2,484.6,462.7,592.2,792.0,729.3988296046401
Yearling Heifer,280-330,Feeder,D,2,18,NQ,100.0,148.0,134.66666666666666,NQ,200.0,296.0,269.3,297.0,417.4,383.92664930555554
Yearling Heifer,280-330,Feeder,D,3,24,2,180.0,188.0,186.66666666666666,-31.3,346.2,361.5,359.0,518.4,554.6,548.5666707356771
Yearling Heifer,280-330,Restocker,C,3,35,31,238.0,320.0,266.62857142857143,86.1,457.7,615.4,512.7,749.7,992.0,857.8891148158482
Yearling Heifer,280-330,Restocker,D,2,18,NQ,90.0,138.0,119.33333333333333,NQ,180.0,276.0,238.7,262.8,408.5,351.82667371961804
Yearling Heifer,330-400,Feeder,C,3,72,69,220.0,290.0,258.47222222222223,28.5,423.1,557.7,497.1,741.4,1131.0,927.9422166612413
Yearling Heifer,330-400,Restocker,C,3,6,5,260.0,260.0,260,40.0,500.0,500.0,500.0,894.4,894.4,894.4000651041666
Yearling Heifer,400+,Feeder,C,3,52,46,230.0,288.0,273.7692307692308,45.8,442.3,553.8,526.5,1107.0,1241.3,1151.7034559983474
Yearling Heifer,400+,Processor,C,3,4,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1382.4,1382.4,1382.4000244140625
Vealer Steer,200-280,Feeder,C,3,4,-2,300.0,300.0,300,36.7,545.5,545.5,545.5,810.0,810.0,810
Vealer Steer,200-280,Restocker,C,2,19,18,250.0,300.0,272.63157894736844,72.6,471.7,566.0,529.8,575.3,672.0,617.7579152960526
Vealer Steer,200-280,Restocker,C,3,75,70,262.0,380.0,352.61333333333334,120.2,476.4,690.9,641.1,627.8,995.5,885.2735994466146
Vealer Steer,280-330,Feeder,C,3,9,NQ,280.0,280.0,280,NQ,509.1,509.1,509.1,820.4,820.4,820.4000108506945
Vealer Steer,280-330,Restocker,C,3,5,NQ,308.0,320.0,317.6,NQ,560.0,581.8,577.5,893.2,976.0,959.4400024414062
Vealer Heifer,0-200,Restocker,C,2,42,NQ,226.0,248.0,240.14285714285714,NQ,452.0,496.0,480.3,357.1,478.6,435.2257138206845
Vealer Heifer,0-200,Restocker,C,3,3,2,310.0,310.0,310,160.0,596.2,596.2,596.2,477.4,548.7,524.933339436849
Vealer Heifer,0-200,Restocker,D,2,7,NQ,162.0,162.0,162,NQ,324.0,324.0,324.0,317.5,317.5,317.51998465401783
Vealer Heifer,200-280,Feeder,B,3,12,NQ,266.0,268.0,266.6666666666667,NQ,511.5,515.4,512.8,608.4,726.2,686.9066569010416
Vealer Heifer,200-280,Feeder,C,2,6,NQ,196.0,196.0,196,NQ,337.9,337.9,337.9,495.9,495.9,495.8800048828125
Vealer Heifer,200-280,Feeder,C,3,14,-8,220.0,240.0,227.14285714285714,-0.2,423.1,461.5,436.8,517.0,628.8,560.1571393694196
Vealer Heifer,200-280,Feeder,D,2,6,NQ,170.0,170.0,170,NQ,340.0,340.0,340.0,440.3,440.3,440.2999674479167
Vealer Heifer,200-280,Restocker,C,2,62,NQ,124.0,254.0,225.83870967741936,NQ,248.0,508.0,452.4,275.3,599.4,508.84514790196573
Vealer Heifer,200-280,Restocker,C,3,46,44,180.0,284.0,268.8695652173913,134.9,346.2,546.2,517.1,460.8,732.7,676.7791270380435
Vealer Heifer,200-280,Restocker,D,2,62,NQ,60.0,170.0,148.09677419354838,NQ,120.0,340.0,296.2,124.2,406.3,327.52161136750254
Vealer Heifer,280-330,Feeder,C,3,23,NQ,278.0,278.0,278,NQ,534.6,534.6,534.6,792.3,792.3,792.3000169836956
Vealer Heifer,280-330,Restocker,C,3,33,NQ,240.0,276.0,271.030303030303,NQ,461.5,530.8,521.2,684.0,874.9,851.5830226089015
Vealer Heifer,330+,Restocker,C,3,11,NQ,262.0,262.0,262,NQ,503.8,503.8,503.8,909.1,909.1,909.1400035511364
Manufacturing Steer,540+,Feeder,D,3,2,NQ,218.0,218.0,218,NQ,419.2,419.2,419.2,1349.4,1349.4,1349.4200439453125
Grown Steer,0-400,Feeder,D,3,1,NQ,272.0,272.0,272,NQ,513.2,513.2,513.2,1088.0,1088.0,1088
Grown Steer,400-500,Feeder,C,3,5,1,228.0,300.0,270.4,-9.1,414.5,545.5,491.6,975.8,1290.0,1199.5360229492187
Grown Steer,400-500,Processor,C,3,1,NQ,220.0,220.0,220,NQ,415.1,415.1,415.1,1095.6,1095.6,1095.5999755859375
Grown Steer,400-500,Processor,D,3,1,NQ,226.0,226.0,226,NQ,426.4,426.4,426.4,1062.2,1062.2,1062.199951171875
Grown Steer,500-600,Feeder,C,3,3,NQ,270.0,280.0,273.3333333333333,NQ,490.9,509.1,497.0,1416.8,1439.1,1431.6666666666667
Grown Steer,500-600,Processor,C,3,38,NQ,238.0,282.0,278.36842105263156,NQ,432.7,512.7,506.1,1418.5,1559.6,1467.3005499588817
Grown Steer,600-750,Feeder,D,3,1,NQ,240.0,240.0,240,NQ,452.8,452.8,452.8,1574.4,1574.4,1574.4000244140625
Grown Steer,600-750,Processor,C,3,14,NQ,258.0,264.0,262.2857142857143,NQ,469.1,480.0,476.9,1566.1,1713.4,1687.122837611607
Grown Heifer,0-540,Feeder,C,3,8,NC,220.0,282.0,272.5,NC,423.1,542.3,524.0,717.2,1300.0,1215.4150161743164
Grown Heifer,0-540,Feeder,D,3,25,1,218.0,218.0,218,-21.6,419.2,419.2,419.2,920.0,989.7,961.816015625
Grown Heifer,0-540,Processor,C,3,30,NQ,240.0,258.0,254.86666666666667,NQ,461.5,496.2,490.1,1066.8,1354.5,1295.8119832356772
Grown Heifer,0-540,Processor,D,3,22,19,222.0,228.0,225.72727272727272,53.1,426.9,438.5,434.1,974.1,1210.7,1088.3163840553977
Grown Heifer,540+,Processor,C,3,4,NQ,250.0,256.0,254.5,NQ,480.8,492.3,489.4,1665.0,1676.8,1673.85009765625
Cows,0-400,Feeder,D,2,20,-3,160.0,160.0,160,6.6,333.3,333.3,333.3,627.2,627.2,627.2
Cows,0-400,Feeder,D,3,50,30,60.0,180.0,132.4,-9.7,125.0,375.0,275.8,196.8,707.4,477.6160034179687
Cows,400-520,Feeder,D,2,13,11,140.0,200.0,181.53846153846155,27.5,291.7,416.7,378.2,655.2,928.0,854.8153780423678
Cows,400-520,Feeder,D,3,1,-12,150.0,150.0,150,-39.4,300.0,300.0,300.0,610.5,610.5,610.5
Cows,400-520,Processor,D,3,40,22,178.0,208.0,199.35,-17.8,356.0,416.0,405.3,740.5,933.9,892.364013671875
Cows,520+,Feeder,D,2,2,1,178.0,178.0,178,74.0,370.8,370.8,370.8,1053.8,1053.8,1053.760009765625
Cows,520+,Processor,D,3,49,-6,194.0,232.0,212.73469387755102,-10.0,388.0,464.0,425.5,1088.0,1755.5,1322.5869663783483
Cows,520+,Processor,D,4,9,NQ,180.0,228.0,206,NQ,360.0,456.0,412.0,1354.5,1602.8,1453.179958767361
Bulls,0-450,Live Export,C,2,7,NQ,180.0,250.0,195.71428571428572,NQ,339.6,471.7,369.3,475.2,510.0,484.57142857142856
Bulls,0-450,Live Export,C,3,25,-12,220.0,260.0,243.52,7.4,400.0,472.7,442.8,435.6,1001.0,863.5072192382812
Bulls,0-450,Live Export,D,2,2,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,401.4,401.4,401.3999938964844
Bulls,0-450,Live Export,D,3,21,NQ,246.0,248.0,246.47619047619048,NQ,464.2,467.9,465.0,654.4,696.9,664.4837937127976
Bulls,0-450,Restocker,C,2,6,NQ,158.0,158.0,158,NQ,298.1,298.1,298.1,330.2,330.2,330.2200113932292
Bulls,0-450,Restocker,D,2,55,NQ,82.0,220.0,161.23636363636365,NQ,164.0,415.1,316.1,196.8,419.8,328.1280007102273
Bulls,450-600,Feeder,C,3,1,NC,212.0,212.0,212,32.0,385.5,385.5,385.5,1229.6,1229.6,1229.5999755859375
Bulls,450-600,Feeder,D,3,1,NQ,196.0,196.0,196,NQ,369.8,369.8,369.8,1113.3,1113.3,1113.280029296875
Bulls,450-600,Live Export,C,3,6,NQ,204.0,230.0,223.66666666666666,NQ,370.9,418.2,406.7,1146.5,1229.4,1197.566650390625
Bulls,450-600,Live Export,D,3,5,NQ,202.0,230.0,224.4,NQ,381.1,434.0,423.4,1022.1,1131.6,1100.5039794921875
Bulls,450-600,Processor,D,2,1,NQ,160.0,160.0,160,NQ,307.7,307.7,307.7,931.2,931.2,931.2000122070312
Bulls,450-600,Processor,D,3,4,NQ,200.0,200.0,200,NQ,377.4,377.4,377.4,964.0,1186.0,1075
Bulls,600+,Feeder,D,2,1,NQ,182.0,182.0,182,NQ,350.0,350.0,350.0,1259.4,1259.4,1259.43994140625
Bulls,600+,Live Export,D,3,3,NQ,220.0,220.0,220,NQ,415.1,415.1,415.1,1377.2,1377.2,1377.1998697916667
Bulls,600+,Processor,B,3,1,NQ,230.0,230.0,230,NQ,418.2,418.2,418.2,2410.4,2410.4,2410.39990234375
Bulls,600+,Processor,C,3,9,-4,200.0,214.0,206.22222222222223,6.8,363.6,389.1,374.9,1280.0,2022.9,1780.6799994574653
Bulls,600+,Processor,D,3,3,NC,200.0,220.0,208,9.3,377.4,415.1,392.5,1321.9,1711.6,1548.5066731770833
