Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 23/07/2024
Comparison Date: 16/07/2024
Total Yarding: 1850 (+265)
Commentary
"There was an increase in numbers as producers continue to offload in the face of a strong market. Most categories were well represented in what was a generally good quality penning. A large percentage presented in forward condition with processors well catered for. The full compliment of buyers were in attendance.

A strong market for young cattle saw the weaners to restockers show little but a quality related price change. A reduced penning of medium and heavy weight yearling steers suitable to restock and feed experienced little but breed and quality related price change. Well finished heavy weight yearling steers suitable to the trade met with strong demand and competition to sell to a considerably dearer market trend. Yearlings heifers in all weight ranges saw an improved market with trends dearer throughout. There was some quality related price change. Once again the well finished heavy weights suitable to processors experienced strong gains and sold at comparable levels to that of the steers.

Well finished heavy grown steers with 2 or more teeth experienced strong gains whilst attracting domestic competition on the younger lines. The grown heifers followed a similar trend with an isolated sale in excess of those of the steers taking the weight variation into account. A very strong cow market once again saw the medium weight 2 and 3 score cows record some of the larger increases while the heavy weight 3 and 4 score cows were as much as 25c/kg dearer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,12,-1,310.0,368.0,339,-28.5,596.2,707.7,651.9,775.0,920.0,847.5
Yearling Steer,280-330,Feeder,C,2,37,13,300.0,356.0,335.02702702702703,-23.4,576.9,684.6,644.3,990.0,1168.2,1088.2702306798988
Yearling Steer,280-330,Processor,C,2,1,NQ,340.0,340.0,340,NQ,653.8,653.8,653.8,1122.0,1122.0,1122
Yearling Steer,280-330,Restocker,C,2,63,11,294.0,398.0,364.1904761904762,-15.1,565.4,765.4,700.4,970.2,1313.4,1177.844478546627
Yearling Steer,330-400,Feeder,C,2,110,40,316.0,396.0,351.6818181818182,-6.0,607.7,761.5,676.3,1122.0,1544.4,1307.2322798295454
Yearling Steer,330-400,Restocker,C,2,64,-18,350.0,398.0,382,21.9,673.1,765.4,734.6,1225.0,1465.2,1344.5562438964844
Yearling Steer,400+,Feeder,C,2,115,-78,332.0,392.0,362.3391304347826,-0.4,638.5,753.8,696.8,1427.6,1764.0,1595.9873896059783
Yearling Steer,400+,Feeder,C,3,17,3,330.0,390.0,366.2352941176471,17.7,611.1,722.2,678.2,1650.0,1950.0,1809.0647403492646
Yearling Steer,400+,Processor,C,3,24,12,345.0,392.0,384.7083333333333,29.3,638.9,725.9,712.4,1800.0,2116.8,2029.3792317708333
Yearling Steer,400+,Restocker,C,2,3,NQ,362.0,362.0,362,NQ,696.2,696.2,696.2,1665.2,1665.2,1665.1998697916667
Yearling Heifer,200-280,Restocker,C,2,14,2,345.0,345.0,345,67.5,663.5,663.5,663.5,931.5,931.5,931.5
Yearling Heifer,280-330,Feeder,D,2,66,NQ,323.0,323.0,323,NQ,646.0,646.0,646.0,1001.3,1001.3,1001.2999526515151
