Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 20/11/2024
Comparison Date: 13/11/2024
Total Yarding: 287 (-343)
Commentary
"There were approximately 250 export and 40 young cattle penned representing a decrease of 340 head week-on-week. The usual buying group was present and operating in a cheaper market in places. Quality declined with fewer prime lots and a larger proportion of secondary cattle. Trade cattle eased 10c/kg and more in places where quality was lacking. Manufacturing steers lost 12c/kg. Grown steers and bullocks sold firm. Cows eased 3c to 5c/kg on most sales. Heavy bulls lost 10c to 20c/kg. 

Yearling trade steers sold from 310c to 328c/kg. Yearling heifers to the trade sold between 292c and 310c/kg. Grown steers and bullocks made from 310c to 323c/kg. Manufacturing steers sold from 266c to 310c/kg. Most light and medium weight cows made between 189c and 236c/kg. Heavy weight cows sold mostly between 215c and 276c/kg. Heavy bulls made from 260c to 288c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,400+,Feeder,B,2,2,NQ,328.0,328.0,328,NQ,585.7,585.7,585.7,1558.0,1558.0,1558
Yearling Steer,400+,Feeder,C,2,2,NQ,319.0,319.0,319,NQ,590.7,590.7,590.7,1403.6,1403.6,1403.5999755859375
Yearling Steer,400+,Processor,B,2,1,NC,310.0,310.0,310,-38.0,553.6,553.6,553.6,1472.5,1472.5,1472.5
Yearling Steer,400+,Processor,C,3,2,NQ,310.0,325.0,317.5,NQ,563.6,590.9,577.3,1317.5,1543.8,1430.625
Yearling Steer,400+,Processor,D,3,2,NQ,310.0,313.0,311.5,NQ,574.1,579.6,576.9,1364.0,1408.5,1386.25
Yearling Heifer,280-330,Processor,D,2,2,NQ,283.0,290.0,286.5,NQ,534.0,557.7,545.8,870.0,933.9,901.9500122070312
Yearling Heifer,330-400,Processor,D,2,4,-2,210.0,236.0,229.5,-56.5,420.0,472.0,459.0,714.0,826.0,798
Yearling Heifer,330-400,Processor,D,3,1,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1240.0,1240.0,1240
Yearling Heifer,330-400,Restocker,D,2,4,-2,200.0,230.0,222.5,-39.5,400.0,460.0,445.0,720.0,805.0,783.75
Yearling Heifer,400+,Processor,D,3,12,-20,292.0,310.0,304,-8.4,550.9,574.1,566.4,1241.0,1395.0,1343.6666666666667
Yearling Heifer,400+,Processor,D,4,4,NQ,270.0,280.0,277.5,NQ,500.0,518.5,513.9,1215.0,1330.0,1301.25
Yearling Heifer,400+,Restocker,D,2,3,-9,248.0,270.0,255.33333333333334,-29.7,476.9,519.2,491.0,1054.0,1147.5,1085.1666666666667
Manufacturing Steer,540+,Dairy,D,2,6,-6,266.0,266.0,266,-12.8,501.9,501.9,501.9,1928.5,1928.5,1928.5
Manufacturing Steer,540+,Processor,D,2,8,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1512.0,1512.0,1512
