Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 11/03/2025
Comparison Date: 
Total Yarding: 1700 (NQ)
Commentary
"There were 1085 exports and 585 trade cattle offered, amongst the exports were 480 cows. It was noticeable that several feedlotters and store buyers were absent and some processors were present but not operating. 

The trade quality was very mixed with weights also highly variable. Prices for the heavy cattle with cover and shape sold at stronger rates as C4 bullocks rebounded 10 to 20c/kg. Both beef and dairy cows lifted slightly after last weeks heavy falls to be 5 to 10c/kg dearer. 

Top calves lifted, the best of the vealers reached 400c/kg. The B & C muscled yearling steers ranged from 320c to 408c/kg to average 386c/kg. The better end of the yearling heifer portion made from 320c to 417c/kg to average 350c/kg. 

The finished grown steers were not in abundance but still had some good lines presented. The 400 to 500kg steers made from 270c to 369c/kg. The 500 to 600kg C3 and C4 steers ranged from 374c to 390c/kg, with the 600kg plus steers C3 and C4 made from 360c to 390c/kg.

The heavy beef cows made from 265c to 310c/kg and the heavy dairy cows made from 228c to 265c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Manufacturing Steer,540+,Processor,C,4,2,NQ,271.0,271.0,271,NQ,511.3,511.3,511.3,2032.5,2032.5,2032.5
Grown Steer,0-400,Processor,C,2,2,-1,280.0,280.0,280,-31.0,538.5,538.5,538.5,1078.0,1078.0,1078
Grown Steer,400-500,Dairy,C,2,11,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,1440.0,1440.0,1440
Grown Steer,400-500,Feeder,C,1,11,-1,290.0,300.0,291.8181818181818,-46.2,580.0,600.0,583.6,1189.0,1230.0,1196.4545454545455
Grown Steer,400-500,Feeder,C,2,14,11,315.0,342.0,326.57142857142856,-3.4,605.8,657.7,628.0,1401.8,1624.5,1497.2142857142858
Grown Steer,400-500,Feeder,C,3,7,-17,354.0,362.0,355.14285714285717,-4.9,667.9,683.0,670.1,1629.0,1699.2,1689.1713169642858
Grown Steer,400-500,Processor,C,2,8,2,320.0,355.0,333.125,-19.4,603.8,669.8,628.5,1456.0,1508.8,1475.78125
Grown Steer,400-500,Processor,C,3,19,-11,362.0,369.0,365.3157894736842,11.8,683.0,683.3,683.2,1629.0,1771.2,1696.3578844572369
Grown Steer,400-500,Restocker,C,1,9,NQ,280.0,320.0,306.6666666666667,NQ,549.0,627.5,601.3,1162.0,1328.0,1272.6666666666667
Grown Steer,400-500,Restocker,D,1,9,NQ,271.0,271.0,271,NQ,542.0,542.0,542.0,1111.1,1111.1,1111.0999348958333
Grown Steer,500-600,Feeder,C,3,9,NQ,374.0,374.0,374,NQ,705.7,705.7,705.7,1926.1,1926.1,1926.1000434027778
Grown Steer,500-600,Processor,C,4,10,NQ,390.0,390.0,390,NQ,722.2,722.2,722.2,2145.0,2145.0,2145
Grown Steer,500-600,Processor,D,2,6,-6,286.0,286.0,286,-22.0,560.8,560.8,560.8,1458.6,1458.6,1458.5999348958333
Grown Steer,600-750,Processor,C,4,40,-7,362.0,390.0,382.025,23.2,670.4,722.2,707.8,2437.5,2782.5,2509.2125
Grown Heifer,0-540,Dairy,D,1,20,10,224.0,259.0,246.7,46.7,476.6,539.6,514.8,862.4,1292.4,1129.925048828125
