Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Dalby
Report Date: 08/01/2025
Comparison Date: 11/12/2024
Total Yarding: 942 (-3390)
Commentary
"The commencement of the 2025 selling season at Dalby witnessed agents penning 942 head. The yarding mainly contained feeder and restocker lines which sold to dearer trends of 4c to 20c/kg. The lighter penning of export cows sold to dearer prices of 10c to 25c/kg with heavy bulls up by 45c/kg compared to the last sale of 2024.

Light weight yearling steers to restockers sold to 468c and averaged 443c/kg. Yearling steers over 280kg to background topped at 486c to average 453c/kg. Yearling steers to feed for the domestic market sold to 454c and averaged 413c with those to restockers at 444c/kg. Heavy yearling steers to feed sold to 458c and averaged from 401c to 430c/kg. Yearling heifers to restockers made 379c to average 353c/kg. Yearling heifers over 280kg to feed made 398c to average 349c/kg. Yearling heifers to feed for the domestic market sold to 355c with restockers paying to 370c/kg. Heavy yearling heifers to feed made 368c to average 348c/kg.

Grown steers to processors made 346c to average 334c/kg. Grown heifers to processors sold to 324c/kg. Heavy score 2 cows to processors made 272c to average 263c with the best heavy cows topping at 308c to average 303c/kg. Light weight bulls to restockers made 381c to average 373c/kg. Heavy bulls to processors averaged 306c and sold to 329c/kg.

Market Reporter Errol Luck."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,3,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,658.0,658.0,658
Yearling Steer,200-280,Restocker,C,2,70,-155,378.0,468.0,442.7142857142857,8.0,700.0,866.7,819.8,1001.7,1287.0,1197.9471583775112
Yearling Steer,200-280,Restocker,D,2,24,14,336.0,366.0,358.9166666666667,13.0,622.2,677.8,664.7,789.6,969.9,930.1292012532552
Yearling Steer,280-330,Feeder,C,2,8,-18,380.0,436.0,429,21.8,703.7,807.4,794.4,1197.0,1417.0,1389.5
Yearling Steer,280-330,Feeder,D,2,2,NQ,304.0,304.0,304,NQ,563.0,563.0,563.0,866.4,866.4,866.4000244140625
Yearling Steer,280-330,Restocker,C,2,70,-147,352.0,486.0,452.85714285714283,22.1,651.9,900.0,838.6,1108.8,1430.1,1363.6371477399553
