Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Mt Compass
Report Date: 05/02/2025
Comparison Date: 29/01/2025
Total Yarding: 1407 (+471)
Commentary
"Numbers increased again this week as agents offered 1407 liveweight cattle. The female sell off continues as 519 cows and 340 heifers made up the majority of the offering along with an extremely mixed selection of 500 steers. Score 2, C and D muscle cattle were again over represented as the current seasonal conditions force many to quit light cattle. The usual trade and processor buyers, feeders and restockers again provided steady competition along with a strong feeder order from the North. The better conditioned cattle sold to marginally stronger competition however lighter cattle returned some mixed results with most again easing in price.

Vealer steers sold 10c to 15c dearer as they made from 220c to 361c with vealer heifers mostly firm and fetching 200c to 240c/kg. Yearling steers sold up to 30c/kg dearer as they made from 240c to 345c however the heifer portion lost a similar ammount as they sold from 150c to 293c/kg.

A small selection of manufacturing bullocks sold firm to make from 255c to 340c/kg.
Grown steers gained 10c to 20c/kg to sell from 213c to 351c with grown heifers easing by up to 30c and fetching 220c to 330c/kg. Store buyers pushed light cows up to 20c/kg dearer as beef types sold from 81c to 220c with dairy types fetching 130c to 140c/kg.
Medium weight cows eased 10c to 15c/kg as beef types sold from 151c to 270c with dairy types ranged from 163c to 210c/kg. Heavy beef cows also eased by up to 20c/kg as beef types ranged from 160c to 317c with dairy types fetching 150c to 257c/kg.
Bulls sold from 180c to 280c/kg.

Market reporter: John Traeger."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,330+,Restocker,C,2,6,NQ,309.0,309.0,309,NQ,618.0,618.0,618.0,1084.6,1084.6,1084.5900065104167
Vealer Heifer,200-280,Processor,C,3,2,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,560.0,560.0,560
Vealer Heifer,200-280,Restocker,C,2,1,-9,211.0,211.0,211,-4.0,422.0,422.0,422.0,590.8,590.8,590.7999877929688
Vealer Heifer,200-280,Restocker,C,3,4,NQ,205.0,220.0,212.5,NQ,410.0,440.0,425.0,547.3,616.0,581.6749877929688
Vealer Heifer,280-330,Processor,C,2,1,NQ,240.0,240.0,240,NQ,480.0,480.0,480.0,744.0,744.0,744
Manufacturing Steer,0-540,Processor,C,2,1,NQ,280.0,280.0,280,NQ,560.0,560.0,560.0,1428.0,1428.0,1428
Manufacturing Steer,540+,Processor,C,2,6,NQ,255.0,300.0,279.1666666666667,NQ,510.0,600.0,558.3,1428.0,2038.4,1816.5333658854167
Manufacturing Steer,540+,Processor,C,3,5,1,259.0,340.0,302.4,7.4,518.0,680.0,604.8,2086.5,2550.0,2306.881982421875
Grown Steer,0-400,Pastoral Cattle,C,3,23,NQ,283.0,283.0,283,NQ,566.0,566.0,566.0,1095.2,1095.2,1095.2099184782608
Grown Steer,0-400,Processor,C,2,1,NQ,213.0,213.0,213,NQ,426.0,426.0,426.0,852.0,852.0,852
Grown Steer,0-400,Restocker,C,2,3,1,291.0,291.0,291,6.0,582.0,582.0,582.0,1123.3,1123.3,1123.260009765625
Grown Steer,400-500,Dairy,C,2,1,NQ,180.0,180.0,180,NQ,360.0,360.0,360.0,882.0,882.0,882
Grown Steer,400-500,Dairy,D,2,1,NQ,225.0,225.0,225,NQ,478.7,478.7,478.7,911.3,911.3,911.25
Grown Steer,400-500,Feeder,C,2,30,18,285.0,345.0,327.5,18.6,570.0,690.0,655.0,1296.3,1615.3,1525.533341471354
Grown Steer,400-500,Feeder,C,3,26,25,290.0,343.0,330.2692307692308,10.3,580.0,686.0,660.5,1348.5,1661.1,1573.7796349158655
Grown Steer,400-500,Processor,C,2,3,-1,233.0,300.0,277.6666666666667,-0.8,466.0,600.0,555.3,1153.3,1395.0,1314.4499918619792
Grown Steer,400-500,Processor,C,3,1,-1,320.0,320.0,320,-18.5,640.0,640.0,640.0,1456.0,1456.0,1456
Grown Steer,400-500,Processor,D,2,1,NC,257.0,257.0,257,157.0,546.8,546.8,546.8,1079.4,1079.4,1079.4000244140625
Grown Steer,400-500,Restocker,C,2,4,NQ,260.0,283.0,276.5,NQ,520.0,566.0,553.0,1144.0,1259.3,1206.1749877929688
Grown Steer,400-500,Restocker,D,2,2,NQ,240.0,240.0,240,NQ,510.6,510.6,510.6,1108.8,1108.8,1108.800048828125
Grown Steer,500-600,Feeder,C,2,7,6,320.0,345.0,341.42857142857144,16.4,640.0,690.0,682.9,1648.0,1790.6,1770.185825892857
Grown Steer,500-600,Feeder,C,3,10,4,330.0,351.0,348.9,9.7,660.0,702.0,697.8,1765.5,1934.0,1917.158984375
Grown Steer,500-600,Processor,C,2,4,-4,240.0,265.0,248.5,-71.1,480.0,530.0,497.0,1257.4,1404.5,1345.8875122070312
Grown Steer,500-600,Processor,C,3,7,-15,290.0,340.0,320.85714285714283,-19.6,580.0,680.0,641.7,1479.0,2040.0,1755.642857142857
Grown Steer,600-750,Processor,C,3,6,5,320.0,347.0,329,-1.0,640.0,694.0,678.4,2089.6,2175.7,2124.6966959635415
Grown Heifer,0-540,Dairy,D,2,1,NQ,190.0,190.0,190,NQ,404.3,404.3,404.3,798.0,798.0,798
Grown Heifer,0-540,Feeder,C,2,3,-5,251.0,280.0,263.6666666666667,-20.0,502.0,560.0,527.3,1041.7,1274.0,1157.5500081380208
Grown Heifer,0-540,Feeder,C,3,1,-3,300.0,300.0,300,-1.5,600.0,600.0,600.0,1290.0,1290.0,1290
Grown Heifer,0-540,Pastoral Cattle,C,2,1,NQ,253.0,253.0,253,NQ,506.0,506.0,506.0,1201.8,1201.8,1201.75
Grown Heifer,0-540,Processor,C,2,1,-3,255.0,255.0,255,-30.3,510.0,510.0,510.0,1147.5,1147.5,1147.5
Grown Heifer,0-540,Processor,C,3,7,-17,255.0,319.0,286.7142857142857,-36.6,510.0,638.0,573.4,1147.5,1560.4,1353.6214076450892
Grown Heifer,0-540,Restocker,C,2,12,3,220.0,280.0,236.25,-37.5,440.0,560.0,472.5,864.6,1162.0,926.3083089192709
Grown Heifer,0-540,Restocker,C,3,6,NQ,251.0,281.0,276,NQ,502.0,562.0,552.0,1167.2,1292.6,1271.691670735677
Grown Heifer,540+,Processor,C,3,8,2,300.0,330.0,315.125,-1.4,600.0,660.0,635.0,1680.0,2083.7,1945.3125
Cows,0-400,Dairy,D,2,2,-1,130.0,140.0,135,95.0,276.6,297.9,287.2,429.0,504.0,466.5
Cows,0-400,Pastoral Cattle,D,2,2,NQ,180.0,200.0,190,NQ,383.0,425.5,404.3,570.0,630.0,600
Cows,0-400,Processor,D,2,24,15,100.0,210.0,196.875,30.9,212.8,446.8,418.9,350.0,829.5,745.8041585286459
Cows,0-400,Restocker,D,2,56,44,81.0,220.0,215.28571428571428,3.0,172.3,468.1,458.1,255.1,837.6,758.4983863830566
Cows,400-520,Dairy,D,2,2,-4,163.0,210.0,186.5,34.7,346.8,446.8,396.8,847.6,892.5,870.0499877929688
Cows,400-520,Feeder,C,2,14,NQ,227.0,255.0,253,NQ,454.0,510.0,506.0,1066.9,1320.9,1302.7572283063616
Cows,400-520,Pastoral Cattle,C,2,11,NQ,241.0,241.0,241,NQ,482.0,482.0,482.0,1091.7,1091.7,1091.7299360795455
Cows,400-520,Pastoral Cattle,D,2,1,NQ,218.0,218.0,218,NQ,463.8,463.8,463.8,915.6,915.6,915.5999755859375
Cows,400-520,Processor,C,2,92,59,221.0,267.0,244.7391304347826,-14.1,442.0,534.0,489.5,949.5,1351.0,1175.8644356105638
Cows,400-520,Processor,C,3,15,7,247.0,270.0,265.06666666666666,-8.4,494.0,540.0,530.1,1099.2,1360.8,1306.4433512369792
Cows,400-520,Processor,D,2,66,19,151.0,259.0,230.72727272727272,-25.5,321.3,551.1,490.9,628.2,1341.6,1080.6381882176254
Cows,400-520,Restocker,D,2,15,14,177.0,251.0,234.66666666666666,-2.3,376.6,534.0,499.3,891.0,1142.1,1044.9699951171874
Cows,520+,Dairy,C,3,3,NQ,270.0,270.0,270,NQ,540.0,540.0,540.0,1560.6,1560.6,1560.5999348958333
Cows,520+,Dairy,D,2,26,10,150.0,257.0,225.80769230769232,2.1,319.1,546.8,480.4,810.0,1832.6,1448.3430692232573
Cows,520+,Feeder,C,3,13,NQ,270.0,288.0,272.7692307692308,NQ,540.0,576.0,545.5,1503.4,1617.3,1599.7708270733174
Cows,520+,Feeder,D,2,4,NQ,239.0,239.0,239,NQ,508.5,508.5,508.5,1369.5,1369.5,1369.469970703125
Cows,520+,Processor,C,2,43,-18,230.0,275.0,256,-19.6,460.0,550.0,512.0,1235.8,1721.9,1458.0420830305231
Cows,520+,Processor,C,3,124,59,247.0,317.0,282.9274193548387,-10.2,494.0,634.0,565.9,1378.0,2615.3,1811.2708100349673
Cows,520+,Processor,D,2,17,8,160.0,249.0,226.88235294117646,-3.5,340.4,529.8,482.7,848.0,1486.8,1278.1517693014705
Bulls,450-600,Processor,C,2,4,3,181.0,227.0,207,-36.0,362.0,454.0,414.0,823.5,1350.7,1129.5500030517578
Bulls,600+,Processor,C,2,8,3,180.0,245.0,220.625,-29.4,360.0,490.0,441.3,1431.0,2030.4,1788.2750244140625
Bulls,600+,Processor,C,3,10,-4,240.0,280.0,260.6,-25.9,480.0,560.0,521.2,1833.0,2716.3,2167.314990234375
Bulls,600+,Processor,D,2,1,NQ,180.0,180.0,180,NQ,383.0,383.0,383.0,1332.0,1332.0,1332
