Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Powranna
Report Date: 28/05/2024
Comparison Date: 21/05/2024
Total Yarding: 222 (+60)
Commentary
"There was a larger yarding of 222 trade and export cattle (60 more) at Powranna on Tuesday with over half being cows.
With extra restocker competition yearlings improved 10c to 30c with steers making 210c to 246c and heifers 180c to 252c/kg.
With extra competition, grown steers improved 30c making 252c to 274c/kg.

There were approximately 120 cows and with extra interstate competition combined with strong local interest heavy cows averaged 17c dearer making 158c to 194c, leaner 110c to 140c and very lean D1 cows 72c to 110c.

Heavy bulls made 140c to 150c/kg live weight.

Market Reporter Richard Bailey"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,C,2,1,NQ,162.0,162.0,162,NQ,317.6,317.6,317.6,534.6,534.6,534.5999755859375
Yearling Steer,330-400,Restocker,C,2,1,NQ,150.0,150.0,150,NQ,294.1,294.1,294.1,585.0,585.0,585
Yearling Steer,330-400,Restocker,C,3,3,2,200.0,208.0,202.66666666666666,12.7,377.4,385.2,380.0,760.0,769.6,763.1999918619791
Yearling Steer,400+,Processor,C,3,3,NQ,200.0,220.0,210,NQ,377.4,407.4,391.2,860.0,1029.0,930.3333333333334
Yearling Steer,400+,Restocker,C,3,6,4,220.0,246.0,233.66666666666666,28.7,400.0,447.3,427.4,961.0,1205.4,1103.6600240071614
Yearling Heifer,330-400,Restocker,C,2,5,NQ,130.0,154.0,143.6,NQ,254.9,302.0,281.6,490.0,585.2,539.8800048828125
Yearling Heifer,330-400,Restocker,C,3,1,NQ,252.0,252.0,252,NQ,475.5,475.5,475.5,932.4,932.4,932.4000244140625
Yearling Heifer,400+,Processor,C,3,4,NC,200.0,252.0,239,25.5,377.4,466.7,444.3,920.0,1335.6,1231.699951171875
Yearling Heifer,400+,Restocker,C,3,43,36,180.0,252.0,228.13953488372093,21.0,339.6,466.7,427.6,756.0,1244.4,1067.6465070857557
Grown Steer,500-600,Processor,C,3,1,NQ,274.0,274.0,274,NQ,489.3,489.3,489.3,1616.6,1616.6,1616.5999755859375
Grown Steer,500-600,Restocker,C,3,10,9,252.0,262.0,259,49.0,450.0,476.4,468.5,1362.4,1368.4,1364.18798828125
Grown Steer,600-750,Processor,C,3,2,NQ,252.0,258.0,255,NQ,450.0,460.7,455.4,1612.8,1651.2,1632
Grown Heifer,0-540,Processor,C,3,7,NQ,180.0,216.0,199.71428571428572,NQ,346.2,415.4,384.1,918.0,1019.5,979.2942940848214
Cows,0-400,Restocker,D,1,1,-3,110.0,110.0,110,-10.0,229.2,229.2,229.2,429.0,429.0,429
Cows,400-520,Processor,D,2,24,NQ,150.0,160.0,156.41666666666666,NQ,294.1,313.7,307.2,694.5,800.0,769.1958414713541
Cows,400-520,Processor,D,3,2,-2,182.0,182.0,182,28.0,337.0,337.0,337.0,937.3,937.3,937.2999877929688
Cows,400-520,Restocker,D,1,18,10,72.0,110.0,100.44444444444444,-9.8,171.4,270.0,238.6,345.6,572.0,452.6089036729601
Cows,400-520,Restocker,D,2,2,-8,152.0,152.0,152,27.8,304.0,304.0,304.0,752.4,752.4,752.4000244140625
Cows,520+,Processor,D,2,5,1,140.0,162.0,155.2,8.7,274.5,317.6,304.3,840.0,924.0,890.316015625
Cows,520+,Processor,D,3,62,35,158.0,194.0,177.74193548387098,16.4,301.9,359.3,336.9,837.4,1422.0,1065.5499976373487
Cows,520+,Restocker,D,2,3,-7,140.0,140.0,140,9.6,291.7,291.7,291.7,751.8,751.8,751.7999674479166
Bulls,600+,Processor,C,2,4,NQ,140.0,150.0,147.5,NQ,241.4,258.6,254.3,1005.0,1410.0,1207.25
