Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Warwick
Report Date: 21/01/2025
Comparison Date: 14/01/2025
Total Yarding: 2103 (+1071)
Commentary
"The return to clear skies and the high prices attained last week resulted in agents at Warwick penning 2,103 cattle up by 1,071 head. All the regular buyers attended and operated on a softer market for most classes except the bullocks which sold to dearer trends. The prices for feeder and restocker lines varied along with the type and quality offered and lost from 3c to 20c/kg and more in places. 

Light weight yearling steers to restockers made 446c to average 395c/kg. Yearling steers over 280kg to background sold to 434c and averaged 411c/kg. Yearling steers to feed for the domestic market made 420c with restockers paying to 430c/kg. Heavy yearling steers to feed sold to 395c and averaged from 365c to 377c/kg. Light weight yearling heifers to restockers made 344c to average 318c/kg. Yearling heifers over 280kg to feed made 382c with the medium weights to feed at 390c to average 341c/kg. Heavy yearling heifers to the wholesale meat trade sold to 416c to average 363c/kg. 

Grown steers to processors made 371c with those over 600kg at 368c to average from 360c to 362c/kg. Light weight cows to processors sold to 270c and averaged 243c/kg. Heavy score 3 cows to processors made 290c to average 283c with the best heavy cows topping at 310c to average 300c/kg. Light weight bulls to restockers made 414c to average 340c/kg. Heavy bulls to processors made 320c to average 307c/kg.

Market Reporter Errol Luck."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,400+,Processor,C,2,48,40,296.0,393.0,351.7708333333333,13.8,548.1,727.8,651.4,1360.0,1724.8,1573.656255086263
Yearling Heifer,400+,Processor,C,3,77,52,310.0,416.0,360.72727272727275,-2.6,574.1,742.9,665.3,1311.4,2053.5,1609.805205902496
Yearling Heifer,400+,Processor,D,2,3,NQ,262.0,280.0,270.6666666666667,NQ,485.2,518.5,501.2,1192.1,1274.0,1231.5333251953125
Yearling Heifer,400+,Restocker,C,2,5,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,1485.0,1485.0,1485
Yearling Heifer,400+,Restocker,D,2,2,NQ,250.0,250.0,250,NQ,463.0,463.0,463.0,1062.5,1062.5,1062.5
Vealer Heifer,0-200,Processor,C,2,1,NQ,336.0,336.0,336,NQ,622.2,622.2,622.2,655.2,655.2,655.2000122070312
Manufacturing Steer,540+,Processor,C,3,10,6,321.0,327.0,323.4,-7.1,594.4,605.6,598.9,2006.3,2043.8,2021.25
Grown Steer,400-500,Feeder,C,2,8,-1,330.0,330.0,330,-70.0,611.1,611.1,611.1,1402.5,1501.5,1476.75
Grown Steer,400-500,Restocker,D,2,3,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,1336.5,1336.5,1336.5
Grown Steer,500-600,Feeder,C,2,2,NQ,370.0,370.0,370,NQ,685.2,685.2,685.2,1942.5,1942.5,1942.5
Grown Steer,500-600,Processor,C,2,3,NQ,291.0,291.0,291,NQ,538.9,538.9,538.9,1556.8,1556.8,1556.8499348958333
Grown Steer,500-600,Processor,C,3,31,-18,330.0,371.0,360.16129032258067,3.9,611.1,687.0,667.0,1831.5,2207.4,2062.908041677167
Grown Steer,600-750,Processor,C,3,24,22,334.0,368.0,361.7916666666667,14.8,618.5,681.5,670.0,2120.9,2407.3,2312.3770955403647
Grown Heifer,0-540,Feeder,C,2,1,-6,296.0,296.0,296,-56.9,548.1,548.1,548.1,1465.2,1465.2,1465.199951171875
Grown Heifer,0-540,Processor,C,2,3,1,291.0,305.0,295.6666666666667,15.7,538.9,564.8,547.5,1296.3,1411.3,1372.9833170572917
Grown Heifer,0-540,Processor,C,3,18,-2,281.0,328.0,301.27777777777777,-18.7,520.4,607.4,557.9,1385.5,1623.6,1567.6583319769966
Grown Heifer,0-540,Processor,D,2,1,NQ,230.0,230.0,230,NQ,425.9,425.9,425.9,1046.5,1046.5,1046.5
Grown Heifer,540+,Processor,C,3,37,24,290.0,343.0,325.9189189189189,-6.9,537.0,635.2,602.3,1609.5,2011.1,1837.5256677576012
Cows,0-400,Dairy,D,2,1,NQ,148.0,148.0,148,NQ,308.3,308.3,308.3,584.6,584.6,584.5999755859375
Cows,400-520,Dairy,D,2,2,NQ,209.0,209.0,209,NQ,435.4,435.4,435.4,1076.3,1076.3,1076.3499755859375
Cows,400-520,Processor,D,2,40,NC,210.0,270.0,243.325,-20.0,437.5,540.0,496.4,1018.5,1390.5,1230.1087463378906
Cows,400-520,Processor,D,3,6,NQ,276.0,288.0,278,NQ,552.0,576.0,556.0,1421.4,1483.2,1431.6999918619792
Cows,400-520,Restocker,D,2,11,2,156.0,244.0,217.27272727272728,-12.5,325.0,508.3,452.7,756.6,1256.6,1102.1908902254972
Cows,520+,Feeder,D,2,8,NQ,263.0,263.0,263,NQ,526.0,526.0,526.0,1538.6,1538.6,1538.550048828125
Cows,520+,Processor,D,2,41,10,225.0,278.0,257.5365853658537,-22.6,460.0,556.0,521.4,1181.3,1470.8,1369.5182926829268
Cows,520+,Processor,D,3,97,45,274.0,290.0,282.5670103092784,-13.0,548.0,580.0,565.1,1438.5,1644.5,1553.2964055956024
Cows,520+,Processor,D,4,123,80,290.0,310.0,299.9430894308943,-6.1,580.0,620.0,599.9,1572.9,2302.8,1743.8353718083079
Cows,520+,Processor,D,5,4,NQ,276.0,290.0,282.75,NQ,552.0,580.0,565.5,1806.3,2083.8,1946.5875244140625
Bulls,0-450,Feeder,C,2,1,NQ,320.0,320.0,320,NQ,592.6,592.6,592.6,1264.0,1264.0,1264
Bulls,0-450,Restocker,C,2,48,37,298.0,414.0,339.875,-62.3,551.9,766.7,629.4,705.0,1462.0,1065.9728876749675
Bulls,0-450,Restocker,D,2,6,4,240.0,318.0,271,39.0,444.4,588.9,501.9,720.0,1033.5,826.25
Bulls,450-600,Processor,C,2,3,1,250.0,344.0,290.3333333333333,-29.7,463.0,637.0,537.7,1312.5,1565.2,1471.6833089192708
Bulls,450-600,Processor,C,3,5,4,280.0,324.0,307.2,8.2,518.5,600.0,568.9,1554.0,1927.8,1780.32001953125
Bulls,450-600,Processor,D,3,1,NQ,253.0,253.0,253,NQ,468.5,468.5,468.5,1404.2,1404.2,1404.1500244140625
Bulls,450-600,Restocker,C,2,3,NQ,340.0,350.0,343.3333333333333,NQ,629.6,648.1,635.8,1547.0,1649.0,1596.1666666666667
Bulls,600+,Processor,C,3,13,-2,285.0,320.0,306.9230769230769,-10.3,527.8,592.6,568.4,1818.8,3465.0,2476.396183894231
Bulls,600+,Processor,D,3,1,NC,260.0,260.0,260,-19.0,481.5,481.5,481.5,1651.0,1651.0,1651
