Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,400+,Processor,C,3,26,21,228.0,270.0,268.38461538461536,-6.4,430.2,509.4,506.4,1003.2,1188.0,1180.8923081618088
Vealer Steer,200-280,Restocker,C,2,88,-10,260.0,306.0,282.40909090909093,25.5,500.0,588.5,543.1,567.6,745.0,655.625
Vealer Steer,200-280,Restocker,D,2,76,NQ,264.0,288.0,278,NQ,507.7,553.8,534.6,557.6,662.4,598.2421208431846
Vealer Heifer,0-200,Feeder,D,2,1,NQ,170.0,170.0,170,NQ,326.9,326.9,326.9,340.0,340.0,340
Vealer Heifer,0-200,Feeder,E,2,5,NQ,165.0,165.0,165,NQ,317.3,317.3,317.3,297.0,297.0,297
Vealer Heifer,0-200,Processor,C,2,27,NQ,210.0,222.0,215.62962962962962,NQ,403.8,426.9,414.7,357.0,402.8,399.91851128472223
Vealer Heifer,0-200,Processor,D,2,32,31,140.0,180.0,178.75,23.8,269.2,346.2,343.7,210.0,333.0,329.15625
Vealer Heifer,200-280,Feeder,C,2,17,NQ,242.0,242.0,242,NQ,465.4,465.4,465.4,653.4,653.4,653.4000459558823
Vealer Heifer,200-280,Processor,C,2,219,172,210.0,244.0,225.74429223744292,35.7,403.8,469.2,434.1,447.3,622.2,510.6936068600171
Vealer Heifer,200-280,Restocker,C,2,1,-43,242.0,242.0,242,15.0,465.4,465.4,465.4,580.8,580.8,580.7999877929688
Manufacturing Steer,0-540,Feeder,D,2,23,NQ,108.0,258.0,251.47826086956522,NQ,211.8,496.2,483.8,442.8,1006.2,981.7043642790421
Manufacturing Steer,0-540,Feeder,D,3,1,-1,250.0,250.0,250,24.0,471.7,471.7,471.7,1275.0,1275.0,1275
Manufacturing Steer,0-540,Feeder,E,3,1,NQ,210.0,210.0,210,NQ,396.2,396.2,396.2,1008.0,1008.0,1008
Manufacturing Steer,0-540,Live Export,D,3,17,NQ,251.0,308.0,283.94117647058823,NQ,464.8,570.4,525.8,1292.7,1647.8,1493.1558837890625
Manufacturing Steer,0-540,Processor,D,2,15,14,250.0,250.0,250,48.0,480.8,480.8,480.8,1087.5,1087.5,1087.5
Manufacturing Steer,0-540,Processor,D,3,26,-21,227.0,284.0,267.2307692307692,-4.1,436.5,535.8,504.5,1089.6,1448.4,1339.5692749023438
Manufacturing Steer,540+,Processor,D,3,15,-19,250.0,274.0,267.6,-3.7,463.0,507.4,495.6,1575.0,1675.0,1608.793359375
Manufacturing Steer,540+,Processor,D,4,3,-13,278.0,280.0,278.6666666666667,-1.2,514.8,518.5,516.0,1526.0,1584.6,1565.066650390625
Manufacturing Steer,540+,Processor,D,5,3,NQ,226.0,264.0,251.33333333333334,NQ,410.9,480.0,457.0,1762.8,2032.8,1942.800048828125
Grown Steer,0-400,Feeder,C,2,9,NQ,276.0,276.0,276,NQ,530.8,530.8,530.8,993.6,993.6,993.5999348958334
Grown Steer,0-400,Feeder,D,2,80,NQ,60.0,262.0,240.25,NQ,117.6,503.8,462.1,186.0,992.0,891.2524940490723
Grown Steer,0-400,Processor,D,2,27,NQ,196.0,264.0,235.66666666666666,NQ,376.9,507.7,453.2,695.8,1003.2,881.0147976345486
Grown Steer,400-500,Feeder,C,2,22,19,266.0,274.0,268.54545454545456,12.5,511.5,526.9,516.4,1090.6,1260.4,1144.6272638494318
Grown Steer,400-500,Feeder,C,3,24,-2,310.0,312.0,311,31.0,574.1,577.8,575.9,1519.0,1544.4,1531.7000325520833
Grown Steer,400-500,Feeder,D,2,15,-5,260.0,270.0,264.1333333333333,15.5,500.0,519.2,507.9,1113.5,1188.0,1156.8666666666666
Grown Steer,400-500,Feeder,D,3,12,NQ,270.0,270.0,270,NQ,509.4,509.4,509.4,1282.5,1282.5,1282.5
Grown Steer,400-500,Live Export,C,3,1,-1,280.0,280.0,280,12.0,518.5,518.5,518.5,1344.0,1344.0,1344
Grown Steer,400-500,Live Export,D,3,3,2,282.0,282.0,282,20.0,532.1,532.1,532.1,1395.9,1395.9,1395.9000651041667
Grown Steer,400-500,Processor,C,3,34,NQ,268.0,291.0,277.0882352941176,NQ,496.3,538.9,513.1,1326.6,1411.3,1343.6955530503217
Grown Steer,400-500,Processor,D,2,14,NC,240.0,270.0,242.78571428571428,0.8,461.5,519.2,466.9,972.0,1161.0,988.9928588867188
Grown Steer,400-500,Processor,D,3,20,-17,262.0,292.0,284.3,16.9,494.3,540.7,530.4,1283.8,1387.0,1355.8775146484375
Grown Steer,500-600,Processor,C,3,11,NQ,279.0,312.0,297,NQ,516.7,577.8,550.0,1422.9,1622.4,1531.7182173295455
Grown Steer,500-600,Processor,C,4,7,NQ,298.0,298.0,298,NQ,541.8,541.8,541.8,1758.2,1758.2,1758.199916294643
Grown Heifer,0-540,Feeder,D,2,22,NQ,120.0,224.0,180.63636363636363,NQ,240.0,430.8,351.2,354.0,710.4,561.69091796875
Grown Heifer,0-540,Processor,C,2,7,-13,230.0,230.0,230,-2.8,451.0,451.0,451.0,954.5,954.5,954.5
