Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 27/08/2024
Comparison Date: 20/08/2024
Total Yarding: 2250 (+800)
Commentary
"There was an increase in supply as the yards become more accessible following the wet weather. There were large numbers of young cattle, not many exports while cows were in fair supply. The quality and condition of the offering was fair to good however showed a greater variation than the previous sale. Most of the regular orders were in place however a couple of processors were absent.

Warm weather, green feed and a strong market saw restockers push prices for light and medium weight yearling steers upwards with the overall trend dearer while there were some very strong breed specific sales. Quality accounted for some price change. The heavy feeder steers experienced a mostly firm market trend, there were however odd cheaper sales in the mixed breed pens. There was a large price gap between the light weight yearling heifers and their steer counterparts with the lighter end of the weight range selling to a cheaper trend while the heavier end were a shade dearer. A drop in quality contributed to cheaper prices for the medium weight yearling heifers on a cheaper market trend. The heavy weight feeders saw little but a quality related change on an otherwise firm trend.

Heavy grown steers sold to a slightly dearer trend for a slightly drop in quality. The best of the grown heifers to process followed a similar trend. The overall quality of the cows on offer was not as good as the previous sale and this was reflected in price. The market trend was a shade cheaper for the most part."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,540+,Processor,C,4,13,11,340.0,370.0,360.7692307692308,3.8,641.5,698.1,680.7,2007.5,2040.0,2023.4615384615386
Cows,400-520,Processor,D,2,43,39,265.0,295.0,277.69767441860466,-20.3,588.9,653.3,615.8,1166.0,1470.0,1278.8464980014535
Cows,400-520,Processor,D,3,88,67,305.0,329.0,318.5681818181818,11.9,635.4,664.6,647.1,1372.5,1645.0,1539.6431884765625
Cows,400-520,Processor,D,4,1,NQ,315.0,315.0,315,NQ,630.0,630.0,630.0,1575.0,1575.0,1575
Cows,520+,Processor,C,4,1,NQ,340.0,340.0,340,NQ,680.0,680.0,680.0,2040.0,2040.0,2040
Cows,520+,Processor,D,3,80,47,287.0,335.0,315.425,6.0,610.6,697.9,655.4,1578.5,2176.0,1760.4575073242188
Cows,520+,Processor,D,4,49,-37,310.0,335.0,321.53061224489795,-3.9,620.0,670.0,643.6,1674.0,2294.8,1947.1673708545918
Cows,520+,Processor,D,5,17,NQ,336.0,336.0,336,NQ,700.0,700.0,700.0,2251.2,2352.0,2292.705882352941
Bulls,0-450,Processor,C,2,7,5,260.0,298.0,276.2857142857143,26.3,481.5,573.1,528.7,962.0,1170.0,1026.4285714285713
Bulls,450-600,Processor,C,2,7,6,240.0,270.0,265.7142857142857,10.7,444.4,500.0,492.1,1152.0,1566.0,1445.142857142857
Bulls,600+,Processor,B,2,8,-5,270.0,298.0,288.125,8.9,482.1,532.1,514.5,2102.4,2552.0,2368.762451171875
Bulls,600+,Processor,B,3,15,NQ,276.0,300.0,284.6666666666667,NQ,492.9,535.7,507.7,2175.0,2660.0,2455.286669921875
Bulls,600+,Processor,C,2,4,-5,255.0,278.0,264.5,10.3,472.2,514.8,489.8,1809.0,2422.5,2170.8500061035156
