Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 01/10/2024
Comparison Date: 24/09/2024
Total Yarding: 2320 (-780)
Commentary
"There was a reduction in supply following the recent rain event. Young cattle were well supplied along with cows. The condition of the offering reflected to very good seasonal conditions being experienced over the drawing area. There was a greater supply of cattle in the 3 score and above condition classes. There was less than the full compliment of processors in attendance however most of the regular feedlot and restocker orders were in place. Quality was generally good with some mixed and lessor quality cattle penned.

Market trends varied through the young cattle with light and medium weight yearling steers selling to a slightly cheaper trend while quality and breed had some effect on price change. The heavy weight feeder steers experienced little but quality and breed related change on an otherwise firm market trend. Most of the yearling heifer classes sold to cheaper trends with condition becoming an issue in the light and medium weights. The heavy weights were less affected where condition compared to weight was less of a concern.

Well finished heavy grown steers to process sold to a slightly dearer trend with an improvement in quality. The well finished grown heifers to feed saw trends a little cheaper. Medium weight cows were also slightly cheaper while there was a small improvement in the heavy weight classes."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,5,-5,374.0,398.0,390.8,10.8,719.2,765.4,751.5,1009.8,1094.5,1063.1200073242187
Yearling Steer,280-330,Processor,C,2,5,NQ,310.0,345.0,331,NQ,596.2,663.5,636.5,1023.0,1035.0,1030.2
Yearling Steer,280-330,Processor,C,3,1,NQ,345.0,345.0,345,NQ,638.9,638.9,638.9,1138.5,1138.5,1138.5
Yearling Steer,280-330,Restocker,C,2,39,4,255.0,385.0,368.53846153846155,7.7,490.4,740.4,708.7,739.5,1232.0,1186.7717973758013
Yearling Steer,330-400,Feeder,C,2,123,-47,352.0,382.0,368.1788617886179,-8.8,676.9,734.6,708.0,1288.0,1528.0,1400.396728515625
Yearling Steer,330-400,Processor,C,2,8,NQ,284.0,284.0,284,NQ,546.2,546.2,546.2,965.6,965.6,965.5999755859375
Yearling Steer,330-400,Restocker,C,2,168,36,360.0,384.0,375.14285714285717,3.5,692.3,738.5,721.4,1224.0,1464.0,1325.2726236979167
Yearling Steer,400+,Feeder,C,2,140,-293,344.0,398.0,369.49285714285713,-5.5,661.5,765.4,710.6,1410.4,1711.4,1602.219970703125
Yearling Steer,400+,Feeder,C,3,241,166,355.0,396.0,372.49792531120335,-1.0,657.4,733.3,690.2,1496.5,2035.0,1762.6317483102632
Yearling Steer,400+,Processor,C,3,25,24,330.0,370.0,357.28,-4.7,611.1,685.2,661.6,1545.6,2261.7,1767.836005859375
Yearling Steer,400+,Restocker,C,3,1,NQ,363.0,363.0,363,NQ,672.2,672.2,672.2,1597.2,1597.2,1597.199951171875
Yearling Heifer,200-280,Restocker,C,2,10,-22,286.0,337.0,306.4,6.1,550.0,648.1,589.2,772.2,943.6,840.760009765625
Yearling Heifer,280-330,Processor,C,2,5,NQ,274.0,280.0,276.4,NQ,526.9,538.5,531.5,798.0,876.8,845.27998046875
