Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 01/10/2024
Comparison Date: 24/09/2024
Total Yarding: 2320 (-780)
Commentary
"There was a reduction in supply following the recent rain event. Young cattle were well supplied along with cows. The condition of the offering reflected to very good seasonal conditions being experienced over the drawing area. There was a greater supply of cattle in the 3 score and above condition classes. There was less than the full compliment of processors in attendance however most of the regular feedlot and restocker orders were in place. Quality was generally good with some mixed and lessor quality cattle penned.

Market trends varied through the young cattle with light and medium weight yearling steers selling to a slightly cheaper trend while quality and breed had some effect on price change. The heavy weight feeder steers experienced little but quality and breed related change on an otherwise firm market trend. Most of the yearling heifer classes sold to cheaper trends with condition becoming an issue in the light and medium weights. The heavy weights were less affected where condition compared to weight was less of a concern.

Well finished heavy grown steers to process sold to a slightly dearer trend with an improvement in quality. The well finished grown heifers to feed saw trends a little cheaper. Medium weight cows were also slightly cheaper while there was a small improvement in the heavy weight classes."
Yearling Heifer,280-330,Processor,C,3,14,13,300.0,330.0,318,-12.0,576.9,622.6,601.6,990.0,1029.6,1006.9714006696429
Yearling Heifer,280-330,Processor,D,2,4,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,600.0,600.0,600
Yearling Heifer,280-330,Restocker,C,2,65,-68,268.0,324.0,300.3692307692308,-24.7,515.4,623.1,577.6,804.0,1036.8,933.9938777043269
Yearling Heifer,280-330,Restocker,C,3,1,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,1024.0,1024.0,1024
Yearling Heifer,330-400,Feeder,C,2,42,-4,285.0,318.0,305.9047619047619,-22.9,548.1,611.5,588.3,997.5,1272.0,1151.3809523809523
Yearling Heifer,330-400,Feeder,C,3,23,-110,285.0,330.0,304.5217391304348,-12.1,548.1,634.6,585.6,1026.0,1254.0,1149.695652173913
Yearling Heifer,330-400,Processor,C,2,1,-2,264.0,264.0,264,-4.0,507.7,507.7,507.7,910.8,910.8,910.7999877929688
Yearling Heifer,330-400,Processor,C,3,9,4,270.0,340.0,297.77777777777777,10.4,519.2,641.5,564.0,1039.5,1224.0,1087
Yearling Heifer,330-400,Processor,D,2,15,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,700.0,700.0,700
Yearling Heifer,330-400,Restocker,C,2,113,72,290.0,310.0,296.2300884955752,-18.4,557.7,596.2,569.7,986.0,1162.5,1029.4725611863937
Yearling Heifer,330-400,Restocker,C,3,73,59,290.0,310.0,300.2739726027397,-4.7,556.6,596.2,574.1,986.0,1180.0,1099.041095890411
Yearling Heifer,400+,Feeder,C,2,46,27,314.0,315.0,314.5,-3.2,603.8,605.8,604.8,1287.4,1307.3,1297.3250254755435
Yearling Heifer,400+,Feeder,C,3,51,-62,290.0,354.0,326.84313725490193,11.2,557.7,667.9,623.5,1203.5,1593.0,1415.1039368872548
Yearling Heifer,400+,Feeder,C,4,17,NQ,272.0,328.0,308.2352941176471,NQ,513.2,618.9,581.6,1169.6,1705.6,1516.4234834558824
Yearling Heifer,400+,Processor,C,3,11,8,280.0,320.0,294,4.0,538.5,615.4,564.3,1190.0,1312.0,1232.127274946733
Vealer Heifer,200-280,Restocker,C,2,2,-2,323.0,323.0,323,8.0,621.2,621.2,621.2,742.9,742.9,742.9000244140625
Vealer Heifer,280-330,Processor,C,3,12,7,325.0,325.0,325,-25.0,613.2,613.2,613.2,1040.0,1040.0,1040
Manufacturing Steer,0-540,Dairy,D,2,50,NQ,190.0,230.0,213.98,NQ,380.0,460.0,428.0,800.0,1092.5,967.652001953125
Manufacturing Steer,0-540,Processor,C,2,4,NQ,255.0,255.0,255,NQ,490.4,490.4,490.4,1096.5,1096.5,1096.5
Manufacturing Steer,540+,Processor,C,3,4,-2,288.0,288.0,288,-52.0,533.3,533.3,533.3,1612.8,1612.8,1612.800048828125
Grown Steer,400-500,Feeder,C,2,9,-38,270.0,330.0,310,-52.1,519.2,634.6,596.2,1269.0,1419.0,1354.3333333333333
Grown Steer,500-600,Feeder,C,2,10,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1643.0,1643.0,1643
Grown Steer,500-600,Feeder,C,3,39,3,335.0,365.0,354.71794871794873,9.1,620.4,675.9,656.9,1775.5,2080.5,1928.9384765625
Grown Steer,500-600,Processor,C,2,17,NQ,295.0,300.0,297.94117647058823,NQ,567.3,576.9,573.0,1650.0,1681.5,1662.9705882352941
Grown Steer,500-600,Processor,C,3,16,-22,330.0,359.0,352.8125,15.1,611.1,664.8,653.4,1897.5,2047.5,1987.056251525879
Grown Steer,600-750,Processor,C,3,13,-7,364.0,364.0,364,11.5,674.1,674.1,674.1,2256.8,2256.8,2256.800030048077
Grown Steer,600-750,Processor,C,4,8,NQ,350.0,350.0,350,NQ,648.1,648.1,648.1,2380.0,2380.0,2380
Grown Heifer,0-540,Feeder,C,2,12,-11,292.0,315.0,311.1666666666667,12.9,561.5,605.8,598.4,1168.0,1417.5,1360.1666666666667
Grown Heifer,0-540,Feeder,C,3,15,NC,305.0,310.0,308.3333333333333,11.7,575.5,596.2,589.3,1479.3,1550.0,1526.4166666666667
Grown Heifer,0-540,Processor,C,2,1,-22,270.0,270.0,270,-23.5,519.2,519.2,519.2,1215.0,1215.0,1215
Grown Heifer,0-540,Processor,C,3,27,-28,310.0,330.0,321.4074074074074,25.9,584.9,622.6,611.9,1449.0,1749.0,1657.75555645978
Grown Heifer,0-540,Processor,C,4,2,-46,310.0,320.0,315,-4.3,584.9,603.8,594.3,1674.0,1696.0,1685
Grown Heifer,0-540,Processor,D,3,11,8,255.0,275.0,270.90909090909093,-21.1,500.0,539.2,531.2,1045.5,1215.0,1184.8181818181818
Grown Heifer,0-540,Restocker,D,2,20,13,265.0,308.0,297.25,13.3,530.0,616.0,594.5,980.5,1139.6,1099.825
Grown Heifer,0-540,Restocker,D,3,6,NQ,240.0,240.0,240,NQ,470.6,470.6,470.6,1020.0,1020.0,1020
Grown Heifer,540+,Processor,C,3,9,NQ,312.0,315.0,314.3333333333333,NQ,588.7,605.8,602.0,1716.0,1827.0,1802.3333333333333
Grown Heifer,540+,Processor,C,4,9,-15,318.0,325.0,319.22222222222223,-7.0,600.0,613.2,602.3,1828.5,2242.5,1880.611111111111
Cows,400-520,Processor,D,3,44,2,245.0,276.0,261.1363636363636,-4.9,521.3,575.0,550.4,1163.8,1380.0,1264.2102272727273
Cows,400-520,Processor,D,4,4,-7,296.0,296.0,296,8.6,616.7,616.7,616.7,1480.0,1480.0,1480
Cows,400-520,Restocker,D,3,21,-14,275.0,275.0,275,-21.0,572.9,572.9,572.9,1333.8,1333.8,1333.75
Cows,520+,Processor,D,3,89,-96,276.0,310.0,295.55056179775283,3.8,575.0,620.0,604.8,1510.5,1950.0,1644.1955100070224
Cows,520+,Processor,D,4,202,-5,275.0,315.0,298.0940594059406,-1.3,572.9,630.0,611.0,1512.5,2196.0,1756.7420708684638
Cows,520+,Processor,D,5,8,-11,295.0,300.0,297.5,18.5,590.0,600.0,595.0,2040.0,2065.0,2052.5
Bulls,0-450,Processor,C,2,8,NC,260.0,260.0,260,-7.5,500.0,500.0,500.0,910.0,910.0,910
Bulls,450-600,Processor,C,2,2,NC,240.0,260.0,250,NC,444.4,481.5,463.0,1164.0,1261.0,1212.5
Bulls,600+,Processor,B,2,8,NC,261.0,285.0,273.875,-21.4,474.5,508.9,491.2,1870.0,2475.0,2229.375
Bulls,600+,Processor,B,3,12,-12,265.0,290.0,279.6666666666667,-7.1,473.2,508.9,496.4,2241.0,3045.0,2500.6500040690103
Bulls,600+,Processor,B,4,5,NQ,265.0,295.0,283,NQ,473.2,526.8,505.4,2538.0,3097.5,2856.6
Bulls,600+,Processor,C,2,12,-4,245.0,270.0,263.75,-0.6,453.7,500.0,486.9,1641.5,2295.0,1915.5833333333333
Bulls,600+,Processor,C,3,1,NQ,260.0,260.0,260,NQ,472.7,472.7,472.7,2340.0,2340.0,2340
