Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 17/03/2025
Comparison Date: 10/03/2025
Total Yarding: 3150 (+1940)
Commentary
"Female cattle dominated supply in a penning that almost tripled in size to last weeks reduced penning. The rainfall not enough to make much difference in what has become a fairly plain season. Of those female cows made up a large proportion. Overall the quality of the offering was mixed with condition also varying. There were limited numbers of well finished young cattle, not many heavy grown steers or heifers. It was a similar buying group to the previous sale.

On the back of a reduction in quality the weaner steers to restock sold to cheaper trends. There was not a lot of change in the heifer portion. Light weight yearling steers in limited supply sold to a dearer trend with a breed and quality related improvement. The medium and heavy weights to restock and feed saw quality related price change for the most part with odd dearer sales in both weight classes.  A generally firm market trend for medium and heavy weight yearling heifers with quality related change within the keenly sought breeds accounting for price change.  Extra competition saw the medium and heavy trade yearlings sell to a dearer trend.

With limited processor competition the well finished grown steers and heifers sold to cheaper trends. The large supply of cows sold to cheaper trends of 10c to 15c/kg on the well finished heavy weights while the plainer conditioned medium weights attracted strong competition to show a firm to slightly dearer trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Feeder,C,3,8,7,332.0,360.0,353,5.0,614.8,666.7,653.7,1792.8,1944.0,1906.2000122070312
Grown Steer,600-750,Processor,C,3,19,18,321.0,325.0,322.4736842105263,-7.5,594.4,601.9,597.2,1982.5,2022.3,2007.6369243421052
Grown Heifer,0-540,Feeder,C,2,6,-2,320.0,320.0,320,-4.0,615.4,615.4,615.4,1360.0,1360.0,1360
Grown Heifer,0-540,Feeder,C,3,2,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1350.0,1350.0,1350
Grown Heifer,0-540,Feeder,D,2,6,NQ,252.0,252.0,252,NQ,504.0,504.0,504.0,856.8,856.8,856.7999674479166
Grown Heifer,0-540,Feeder,D,3,9,NQ,290.0,325.0,313.3333333333333,NQ,568.6,637.3,614.4,1450.0,1543.8,1512.5
Grown Heifer,0-540,Processor,C,3,15,9,270.0,340.0,286.6666666666667,-19.5,519.2,641.5,548.1,1431.0,1802.0,1483.0333333333333
Grown Heifer,0-540,Processor,D,2,7,6,250.0,256.0,252.57142857142858,32.6,500.0,512.0,505.1,1075.0,1100.8,1086.057163783482
Grown Heifer,0-540,Processor,D,3,24,20,261.0,269.0,264.1666666666667,-20.8,511.8,527.5,518.0,1200.6,1325.0,1246.3499755859375
Grown Heifer,0-540,Restocker,C,2,5,NQ,326.0,326.0,326,NQ,626.9,626.9,626.9,1238.8,1238.8,1238.8
Grown Heifer,0-540,Restocker,C,3,1,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1472.5,1472.5,1472.5
Grown Heifer,0-540,Restocker,D,2,9,NQ,240.0,250.0,247.77777777777777,NQ,480.0,500.0,495.6,900.0,937.5,929.1666666666666
Grown Heifer,540+,Feeder,C,3,7,NQ,321.0,321.0,321,NQ,605.7,605.7,605.7,1797.6,1797.6,1797.6000279017858
Grown Heifer,540+,Processor,C,3,11,10,284.0,300.0,296.90909090909093,-13.1,535.8,566.0,560.2,1562.0,1755.0,1710.69091796875
Grown Heifer,540+,Processor,C,4,3,2,310.0,310.0,310,-10.0,584.9,584.9,584.9,1736.0,1736.0,1736
Grown Heifer,540+,Processor,D,3,3,NQ,290.0,290.0,290,NQ,568.6,568.6,568.6,1624.0,1624.0,1624
Cows,0-400,Processor,D,2,5,-21,208.0,208.0,208,10.2,462.2,462.2,462.2,832.0,832.0,832
Cows,0-400,Processor,D,3,38,NQ,200.0,200.0,200,NQ,444.4,444.4,444.4,720.0,720.0,720
Cows,400-520,Dairy,D,2,14,NQ,198.0,198.0,198,NQ,440.0,440.0,440.0,831.6,831.6,831.5999581473214
Cows,400-520,Processor,D,2,216,176,150.0,260.0,246.86574074074073,20.3,333.3,577.8,548.6,705.0,1300.0,1126.6222240306713
Cows,400-520,Processor,D,3,152,129,242.0,265.0,256.88157894736844,-11.4,514.9,553.2,534.2,1180.8,1362.4,1264.9006676924855
Cows,400-520,Processor,D,4,1,NQ,255.0,255.0,255,NQ,531.3,531.3,531.3,1275.0,1275.0,1275
Cows,400-520,Restocker,D,2,110,104,210.0,256.0,246.42727272727274,38.4,466.7,568.9,547.6,924.0,1253.2,1042.712724165483
Cows,520+,Dairy,D,3,7,NQ,243.0,243.0,243,NQ,517.0,517.0,517.0,1287.9,1287.9,1287.8999720982142
Cows,520+,Processor,D,2,2,NQ,256.0,256.0,256,NQ,568.9,568.9,568.9,1408.0,1408.0,1408
Cows,520+,Processor,D,3,152,116,251.0,273.0,260.6513157894737,-9.1,533.3,558.3,543.3,1360.8,1719.9,1443.882892809416
Cows,520+,Processor,D,4,146,87,254.0,288.0,271.2808219178082,-18.2,524.0,576.0,544.3,1346.2,1904.0,1651.708904109589
Bulls,0-450,Processor,C,2,12,10,250.0,280.0,254.58333333333334,-45.4,480.8,518.5,484.8,950.0,1120.0,980.9166666666666
Bulls,450-600,Processor,B,2,3,NQ,270.0,270.0,270,NQ,482.1,482.1,482.1,1593.0,1593.0,1593
Bulls,450-600,Processor,C,2,6,-1,230.0,265.0,257.6666666666667,-17.3,425.9,490.7,477.2,1325.0,1414.8,1362.6666870117188
Bulls,600+,Processor,B,2,4,2,260.0,270.0,265.5,-25.5,464.3,482.1,474.1,1869.0,2160.0,2034.25
Bulls,600+,Processor,B,3,4,2,260.0,280.0,273.25,-16.8,464.3,500.0,487.9,2132.0,2660.0,2352.3499755859375
Bulls,600+,Processor,C,2,6,-9,250.0,270.0,260.5,-14.7,463.0,500.0,482.4,1850.0,2358.4,2000.566650390625
Bulls,600+,Processor,D,2,3,NQ,144.0,230.0,201.33333333333334,NQ,276.9,442.3,387.2,979.2,1495.0,1323.066670735677
