Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 12/03/2025
Comparison Date: 05/03/2025
Total Yarding: 1265 (-1872)
Commentary
"Following some useful falls of rain in parts of the draw area, CQLX Vendors only penned 1265 head - 1872 less than last week. Cattle came from local areas and some coastal areas around Mackay mainly. The quality and condition of the yard was better than last sale with prices similar to last sale despite limited numbers - variations were a reflection of quality in the lines. 

A few vealer steers topped at 363c/kg to average 317c to 355c/kg. Vealer heifers averaged 255c to 260c/kg. 

Light weight yearling steers topped at 419c/kg to return averages from 332c to 375c/kg. Medium weight lines averaged 386c/kg for the best -bred pens. Yearling heifers in light weight pens reached 299c/kg, returning averages from 266c to 288c/kg for well-bred pens. Best-bred, medium weight yearling heifers averaged 268c to 296c/kg.

Grown steers to feedlots averaged 325c to 354c/kg for the best with processors paying 299c to 333c/kg average for their bullocks. Trade heifers in prime condition averaged 313c to 333c/kg.


A few store cows sold to 261c/kg, whilst the heavy, four score cows improved to average 279c/kg. Heavy bulls averaged 248c/kg to processors. A small offering of cows and calves saw beef breeds make from $1,025 to $1,400 per unit, with a pair of Dairy cows with calves at foot, making $2,200 and $2,400 per unit. Reporter:  Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,7,-3,347.0,347.0,347,70.0,667.3,667.3,667.3,676.7,676.7,676.6500418526786
Yearling Steer,0-200,Restocker,D,2,5,1,315.0,315.0,315,-12.0,605.8,605.8,605.8,630.0,630.0,630
Yearling Steer,200-280,Processor,D,2,19,-5,317.0,321.0,317.8421052631579,37.8,609.6,617.3,611.2,818.5,887.6,873.0631553248355
Yearling Steer,200-280,Restocker,C,2,99,-171,335.0,419.0,375.4343434343434,20.8,644.2,805.8,722.0,714.0,1152.3,929.8581764914773
