Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 19/11/2024
Comparison Date: 12/11/2024
Total Yarding: 2430 (+680)
Commentary
"There were large numbers of yearlings and more well finished heavy grown steers to suit the export processors than have been seen recently in an increased penning. The quality of the offering was generally good while the majority of the offering were in good condition. There was a full field of buyers in operation.

Strong demand from restockers resulted in the light weight steers selling to dearer trends with odd sales showing strong gains. The medium and heavy weights to restock and feed sold on a firm to slightly dearer trend under solid competition. Well finished heavy yearling steers into the Supermarket trade were a shade cheaper. Light weight yearling heifers to restockers sold to a slightly cheaper trend with buyers prepared to pay as much as 100c/kg more for similar weight steers. There was little but quality related price change on a generally firm market trend for medium and heavy weights to restock and feed with the price gap between steers and heifers was not as great.

Grown steers to feed were keenly sought with the majority carrying 2 teeth. Well finished heavy grown steers to export processors sold on a firm trend for the most part with age a factor in price change. Well finished grown heifers to the same destination saw a slightly dearer trend. There was little change in the market through the middle run of cows while the better heavy weights sold to a slightly cheaper trend. Heavy bulls sold to a dearer trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Feeder,C,3,17,NQ,300.0,310.0,307.05882352941177,NQ,576.9,596.2,590.5,1350.0,1658.5,1567.764705882353
Grown Heifer,0-540,Processor,C,3,1,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1500.0,1500.0,1500
Grown Heifer,0-540,Processor,C,4,10,NQ,309.0,311.0,310.2,NQ,583.0,586.8,585.3,1508.3,1637.7,1560.08994140625
Grown Heifer,540+,Processor,C,3,15,9,310.0,329.0,318.2,-1.0,584.9,609.3,598.1,1722.2,2072.7,1795.2865885416666
Grown Heifer,540+,Processor,C,4,17,NQ,295.0,328.0,309.5882352941176,NQ,556.6,618.9,584.1,1711.0,2099.2,1861.0823471966912
Cows,400-520,Processor,D,2,1,-12,248.0,248.0,248,-8.9,551.1,551.1,551.1,1202.8,1202.8,1202.800048828125
Cows,400-520,Processor,D,3,7,NQ,248.0,248.0,248,NQ,527.7,527.7,527.7,1289.6,1289.6,1289.6000279017858
Cows,520+,Processor,C,3,1,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1980.0,1980.0,1980
Cows,520+,Processor,C,4,5,-5,285.0,285.0,285,-3.0,570.0,570.0,570.0,1909.5,1909.5,1909.5
Cows,520+,Processor,D,3,75,-32,257.0,282.0,269.29333333333335,0.4,546.8,575.0,560.1,1372.7,1635.6,1470.9919840494792
Cows,520+,Processor,D,4,116,-37,264.0,285.0,279.5258620689655,-14.2,544.0,579.2,562.0,1452.0,1960.0,1753.1254282984241
Cows,520+,Processor,D,5,8,-3,282.0,285.0,282.75,10.9,564.0,570.0,565.5,1692.0,1710.0,1696.5
Calves,80+,Restocker,C,1,15,NQ,374.0,374.0,374,NQ,719.2,719.2,719.2,374.0,374.0,374
Bulls,450-600,Processor,B,2,2,NC,255.0,270.0,262.5,2.5,455.4,482.1,468.8,1269.0,1479.0,1374
Bulls,450-600,Processor,C,2,1,NQ,242.0,242.0,242,NQ,448.1,448.1,448.1,1331.0,1331.0,1331
Bulls,600+,Processor,B,3,14,8,265.0,292.0,278.7142857142857,1.2,473.2,521.4,497.7,1946.0,2520.0,2245.964285714286
Bulls,600+,Processor,C,2,1,NQ,260.0,260.0,260,NQ,481.5,481.5,481.5,2054.0,2054.0,2054
Bulls,600+,Processor,C,3,2,NQ,260.0,260.0,260,NQ,472.7,472.7,472.7,1924.0,1924.0,1924
