Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 17/12/2024
Comparison Date: 10/12/2024
Total Yarding: 985 (-1935)
Commentary
"Yearlings steers made up a large percentage in a greatly reduced offering. There were very few grown cattle while cows were in fair numbers. The quality of the offering was very mixed. Condition also varied with a lot of the young cattle showing the effects of the drier feed conditions. There was a reduced field of buyers throughout.

Demand from restockers for light weight steers was strong with the market trend generally dearer. The medium and heavy weights sold to a cheaper trend, however there was not a lot in it when taking quality variation into account. There was a big drop in quality through the yearling heifers. Light weights to restockers sold on a firm to slightly dearer market trend. The medium weights were also a shade dearer. The few heavy weights sold to a slightly cheaper trend.

Too few grown cattle to quote a trend. The cow market was slightly cheaper under the reduced processor attendance."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,79,74,338.0,452.0,438.45569620253167,38.5,650.0,869.2,843.2,929.5,1188.0,1141.8341759790349
Yearling Steer,200-280,Restocker,D,2,4,NQ,350.0,350.0,350,NQ,700.0,700.0,700.0,875.0,875.0,875
Yearling Steer,280-330,Restocker,C,2,6,-18,348.0,348.0,348,-28.8,669.2,669.2,669.2,1078.8,1078.8,1078.800048828125
Yearling Steer,330-400,Feeder,C,2,78,-66,310.0,390.0,385.29487179487177,-5.3,596.2,750.0,741.0,1193.5,1540.5,1465.140387119391
Yearling Steer,330-400,Feeder,D,2,9,NQ,269.0,269.0,269,NQ,538.0,538.0,538.0,1049.1,1049.1,1049.0999348958333
Yearling Steer,330-400,Restocker,C,2,38,-100,300.0,390.0,373.7894736842105,-14.2,576.9,750.0,718.8,1050.0,1443.0,1376.1789486533717
Yearling Steer,400+,Feeder,C,2,200,-357,346.0,390.0,380.295,-6.4,665.4,750.0,731.3,1435.0,1766.4,1625.666259765625
Yearling Steer,400+,Feeder,C,3,5,-33,310.0,340.0,334,-35.7,574.1,629.6,618.5,1643.0,1700.0,1688.6
Yearling Steer,400+,Feeder,D,2,5,NQ,300.0,300.0,300,NQ,600.0,600.0,600.0,1230.0,1230.0,1230
Yearling Steer,400+,Restocker,C,2,42,-26,350.0,383.0,373.45238095238096,-14.9,673.1,736.5,718.2,1435.0,1581.0,1545.7690894717261
Yearling Heifer,200-280,Processor,C,2,2,NQ,274.0,274.0,274,NQ,526.9,526.9,526.9,739.8,739.8,739.7999877929688
Yearling Heifer,200-280,Restocker,C,2,3,-2,300.0,334.0,311.3333333333333,-7.5,576.9,642.3,598.7,780.0,918.5,826.1666666666666
Yearling Heifer,200-280,Restocker,D,2,7,NQ,274.0,278.0,276.85714285714283,NQ,526.9,556.0,547.7,630.2,708.9,686.414289202009
Yearling Heifer,280-330,Feeder,C,2,6,-4,336.0,336.0,336,26.0,634.0,634.0,634.0,1108.8,1108.8,1108.800048828125
