Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 17/12/2024
Comparison Date: 10/12/2024
Total Yarding: 985 (-1935)
Commentary
"Yearlings steers made up a large percentage in a greatly reduced offering. There were very few grown cattle while cows were in fair numbers. The quality of the offering was very mixed. Condition also varied with a lot of the young cattle showing the effects of the drier feed conditions. There was a reduced field of buyers throughout.

Demand from restockers for light weight steers was strong with the market trend generally dearer. The medium and heavy weights sold to a cheaper trend, however there was not a lot in it when taking quality variation into account. There was a big drop in quality through the yearling heifers. Light weights to restockers sold on a firm to slightly dearer market trend. The medium weights were also a shade dearer. The few heavy weights sold to a slightly cheaper trend.

Too few grown cattle to quote a trend. The cow market was slightly cheaper under the reduced processor attendance."
Yearling Heifer,280-330,Restocker,C,2,59,23,290.0,330.0,316.9491525423729,-3.6,557.7,634.6,609.5,869.3,1075.8,981.6974580409163
Yearling Heifer,280-330,Restocker,D,2,3,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,570.0,570.0,570
Yearling Heifer,330-400,Feeder,C,2,81,15,320.0,346.0,332.5308641975309,8.6,615.4,665.4,639.5,1104.0,1261.7,1189.8493682484568
Yearling Heifer,330-400,Feeder,C,3,7,-3,320.0,320.0,320,13.0,615.4,615.4,615.4,1200.0,1200.0,1200
Yearling Heifer,330-400,Processor,C,3,9,-2,355.0,355.0,355,24.5,669.8,669.8,669.8,1242.5,1242.5,1242.5
Yearling Heifer,330-400,Restocker,C,2,13,-176,286.0,340.0,309.53846153846155,-15.7,550.0,653.8,595.3,1033.6,1224.0,1117.3538536658655
Yearling Heifer,330-400,Restocker,C,3,1,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1155.0,1155.0,1155
Yearling Heifer,400+,Feeder,C,2,2,1,312.0,312.0,312,-14.0,600.0,600.0,600.0,1341.6,1341.6,1341.5999755859375
Yearling Heifer,400+,Feeder,C,3,16,-74,294.0,325.0,315.4375,-12.3,565.4,625.0,602.3,1332.5,1417.5,1376.375
Yearling Heifer,400+,Processor,C,3,1,-1,340.0,340.0,340,5.0,641.5,641.5,641.5,1530.0,1530.0,1530
Vealer Steer,200-280,Restocker,C,2,1,NQ,400.0,400.0,400,NQ,769.2,769.2,769.2,840.0,840.0,840
Vealer Heifer,0-200,Restocker,D,2,22,NQ,300.0,300.0,300,NQ,600.0,600.0,600.0,480.0,480.0,480
Vealer Heifer,200-280,Restocker,C,2,1,NQ,354.0,354.0,354,NQ,680.8,680.8,680.8,902.7,902.7,902.7000122070312
Manufacturing Steer,0-540,Processor,D,3,8,NQ,274.0,274.0,274,NQ,526.9,526.9,526.9,1301.5,1301.5,1301.5
Grown Steer,0-400,Feeder,D,2,4,-45,296.0,296.0,296,-6.7,592.0,592.0,592.0,1154.4,1154.4,1154.4000244140625
Grown Steer,0-400,Restocker,C,2,3,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,1104.0,1104.0,1104
Grown Steer,400-500,Feeder,C,2,12,11,292.0,328.0,304.1666666666667,-8.8,561.5,630.8,584.9,1255.6,1640.0,1391.8000183105469
Grown Steer,400-500,Feeder,D,2,3,-5,278.0,278.0,278,-20.0,556.0,556.0,556.0,1195.4,1195.4,1195.4000651041667
Grown Steer,400-500,Restocker,C,2,4,NQ,357.0,357.0,357,NQ,686.5,686.5,686.5,1570.8,1570.8,1570.800048828125
Grown Steer,600-750,Processor,C,3,1,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,2079.0,2079.0,2079
Grown Heifer,0-540,Feeder,C,2,5,-15,316.0,316.0,316,5.8,607.7,607.7,607.7,1295.6,1295.6,1295.6
Grown Heifer,0-540,Feeder,C,3,11,-38,311.0,311.0,311,-23.7,598.1,598.1,598.1,1306.2,1306.2,1306.1999289772727
Grown Heifer,0-540,Feeder,D,2,1,-21,260.0,260.0,260,16.0,520.0,520.0,520.0,1118.0,1118.0,1118
Grown Heifer,0-540,Processor,D,2,3,NQ,250.0,250.0,250,NQ,500.0,500.0,500.0,1025.0,1025.0,1025
Grown Heifer,0-540,Processor,D,3,3,-9,285.0,285.0,285,7.7,558.8,558.8,558.8,1425.0,1425.0,1425
Grown Heifer,0-540,Restocker,C,2,1,NQ,296.0,296.0,296,NQ,569.2,569.2,569.2,1095.2,1095.2,1095.199951171875
Grown Heifer,0-540,Restocker,D,2,2,NQ,288.0,288.0,288,NQ,576.0,576.0,576.0,1065.6,1065.6,1065.5999755859375
Cows,400-520,Feeder,D,3,3,NQ,265.0,265.0,265,NQ,563.8,563.8,563.8,1219.0,1219.0,1219
Cows,400-520,Processor,D,2,18,12,236.0,250.0,248.44444444444446,-5.1,524.4,555.6,552.1,1085.6,1212.5,1198.3999972873264
Cows,400-520,Processor,D,3,6,-16,265.0,275.0,273.3333333333333,8.8,563.8,585.1,581.6,1182.5,1272.0,1197.4166666666667
Cows,400-520,Processor,D,4,1,NQ,245.0,245.0,245,NQ,510.4,510.4,510.4,1274.0,1274.0,1274
Cows,520+,Feeder,D,3,5,3,288.0,288.0,288,-3.0,600.0,600.0,600.0,1612.8,1612.8,1612.8
Cows,520+,Feeder,D,4,1,NQ,280.0,280.0,280,NQ,583.3,583.3,583.3,1540.0,1540.0,1540
Cows,520+,Processor,C,3,1,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,1980.0,1980.0,1980
Cows,520+,Processor,C,4,1,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,2100.0,2100.0,2100
Cows,520+,Processor,D,3,18,-44,263.0,270.0,267.55555555555554,-22.3,559.6,570.2,565.3,1474.0,1755.0,1569.7777777777778
Cows,520+,Processor,D,4,26,-65,272.0,290.0,277.9230769230769,-18.0,560.0,600.0,570.8,1632.0,1827.0,1699.1615365835337
Cows,520+,Processor,D,5,11,10,220.0,220.0,220,-20.0,458.3,458.3,458.3,1540.0,1540.0,1540
Bulls,0-450,Processor,C,2,13,-11,260.0,280.0,269.2307692307692,-27.4,500.0,538.5,517.8,952.0,1040.0,999.3846153846154
Bulls,600+,Processor,B,2,1,-8,265.0,265.0,265,-3.8,473.2,473.2,473.2,2080.3,2080.3,2080.25
Bulls,600+,Processor,B,3,3,-10,250.0,260.0,256.6666666666667,-13.7,446.4,464.3,458.3,2080.0,2250.0,2136.6666666666665
Bulls,600+,Processor,C,2,4,-8,220.0,250.0,238.75,-26.2,407.4,463.0,442.1,1620.0,2000.0,1835
