Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 03/04/2024
Comparison Date: 13/03/2024
Total Yarding: 944 (-1099)
Commentary
"The first sale for three weeks resulted in 944 cattle penned in a very mixed quality yarding. The supply of prime cattle was minimal, however there were several small lines of good quality store cattle. Three regular processors were operating selectively, supported by one live exporter and opportunity feeders, backgrounders and restockers.  Demand from the buyer panel was very selective, with poorer quality lines difficult to sell. Cattle were drawn from Richmond, Pentland, local and coastal areas.

Good quality weaned steers  returning to the paddock reached 325c,  most sales from 210c to 270c similar heifers made to 246c to average 220c/kg. Light yearling steers averaged 216c reaching a top of 292c, a small sample of steers above 280kg to live export made 270c, while steers above 330kg to feed averaged 273c/kg. Yearling heifers above 280kg to processors sold to 238c to average 220c/kg.  

A small sample of grown steers to live export made to  276c to average 275c/kg. A small number of grown heifers to the trade sold to 246c to average 243c/kg. There were insufficient numbers of bullocks to reliably quote.

Medium weight three score cows averaged 226c, isolated single sales between 260 and 280c/kg. A small number of prime heavyweight cows averaged 228c/kg.  A small quantity of  bulls to processors sold to 270c, most around 240c/kg.

A small number of cows and calves sold to $800/unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Processor,D,2,11,-1,254.0,254.0,254,9.8,488.5,488.5,488.5,1130.3,1130.3,1130.3000710227273
Grown Steer,400-500,Processor,D,3,1,-1,260.0,260.0,260,25.0,500.0,500.0,500.0,1092.0,1092.0,1092
Grown Heifer,0-540,Processor,D,3,3,-51,238.0,246.0,243.33333333333334,34.4,457.7,473.1,467.9,987.7,1070.1,1042.633321126302
Cows,0-400,Processor,D,2,13,-33,160.0,224.0,185.07692307692307,16.3,340.4,466.7,395.5,504.0,884.8,680.1230797400841
Cows,0-400,Processor,E,2,1,NQ,170.0,170.0,170,NQ,369.6,369.6,369.6,535.5,535.5,535.5
Cows,0-400,Restocker,D,1,2,NQ,100.0,100.0,100,NQ,222.2,222.2,222.2,360.0,360.0,360
Cows,400-520,Processor,D,2,1,-21,210.0,210.0,210,4.8,446.8,446.8,446.8,913.5,913.5,913.5
Cows,400-520,Processor,D,3,60,-43,206.0,280.0,225.83333333333334,20.8,426.9,583.3,464.0,885.8,1339.0,1032.6516743977866
Cows,520+,Processor,D,3,5,4,228.0,228.0,228,12.0,456.0,456.0,456.0,1208.4,1208.4,1208.4
Cows,520+,Processor,D,4,1,NQ,230.0,230.0,230,NQ,460.0,460.0,460.0,1207.5,1207.5,1207.5
Bulls,0-450,Live Export,C,2,2,-1,230.0,230.0,230,-26.0,442.3,442.3,442.3,770.5,770.5,770.5
Bulls,0-450,Live Export,D,2,46,NQ,240.0,276.0,260.3478260869565,NQ,461.5,530.8,500.7,828.0,1131.6,999.5999915081521
Bulls,0-450,Processor,C,2,2,NQ,202.0,202.0,202,NQ,388.5,388.5,388.5,747.4,747.4,747.4000244140625
Bulls,0-450,Processor,D,2,3,-1,165.0,200.0,188.33333333333334,-47.4,317.3,384.6,362.2,684.8,890.0,784.9166666666666
Bulls,0-450,Restocker,C,2,4,-21,250.0,250.0,250,50.0,480.8,480.8,480.8,737.5,737.5,737.5
Bulls,0-450,Restocker,D,2,8,-14,60.0,194.0,132.75,-76.3,115.4,373.1,255.3,162.0,412.5,316.6499938964844
Bulls,450-600,Feeder,D,2,21,19,244.0,244.0,244,7.0,469.2,469.2,469.2,1110.2,1110.2,1110.199962797619
Bulls,450-600,Live Export,D,2,2,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,1150.0,1150.0,1150
Bulls,450-600,Processor,D,2,4,NQ,200.0,242.0,231.5,NQ,384.6,465.4,445.2,1020.0,1197.9,1153.425048828125
Bulls,450-600,Processor,D,3,9,NQ,220.0,270.0,261.77777777777777,NQ,415.1,509.4,493.9,1269.0,1328.4,1276.3777804904514
Bulls,600+,Processor,C,3,8,4,224.0,260.0,240.5,-9.5,407.3,472.7,433.4,1752.0,2150.4,1956.9249877929688
