Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,2,NQ,402.0,402.0,402,NQ,744.4,744.4,744.4,723.6,723.6,723.5999755859375
Yearling Steer,200-280,Feeder,C,2,16,8,296.0,426.0,361,43.5,548.1,788.9,668.5,769.6,1150.2,959.8999633789062
Yearling Steer,200-280,Restocker,C,2,9,-15,372.0,390.0,382.22222222222223,-42.4,688.9,722.2,707.8,892.8,1026.0,1002.4000040690104
Yearling Steer,280-330,Feeder,C,2,22,17,366.0,436.0,378.8181818181818,-7.0,677.8,807.4,701.5,1116.0,1438.8,1189.2273171164773
Yearling Steer,280-330,Restocker,C,2,4,-28,305.0,305.0,305,-112.0,564.8,564.8,564.8,1006.5,1006.5,1006.5
Yearling Steer,330-400,Feeder,C,2,160,-14,318.0,424.0,388.2875,-8.7,588.9,785.2,719.1,1144.8,1508.4,1413.341872406006
Yearling Steer,330-400,Processor,C,3,1,-1,390.0,390.0,390,-10.0,722.2,722.2,722.2,1404.0,1404.0,1404
Yearling Steer,330-400,Restocker,C,2,26,-73,360.0,424.0,378.4230769230769,-19.1,666.7,785.2,700.8,1277.5,1611.2,1367.6653771033655
Yearling Steer,400+,Feeder,C,2,34,NQ,300.0,394.0,379.7647058823529,NQ,555.6,729.6,703.3,1320.0,2068.0,1840.3882123161766
Yearling Steer,400+,Feeder,C,3,7,NQ,334.0,334.0,334,NQ,618.5,618.5,618.5,2004.0,2004.0,2004
Yearling Steer,400+,Processor,C,3,42,8,304.0,424.0,379.07142857142856,-3.8,563.0,785.2,702.0,1452.0,2267.8,2063.0523739769346
Yearling Steer,400+,Restocker,C,2,1,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,1386.0,1386.0,1386
Yearling Heifer,200-280,Restocker,C,2,9,-70,318.0,340.0,332.8888888888889,1.8,600.0,641.5,628.1,826.8,884.0,865.5111083984375
Yearling Heifer,280-330,Feeder,C,2,27,-11,320.0,350.0,342.6666666666667,5.1,603.8,660.4,646.5,992.0,1148.4,1106.1185619212963
Yearling Heifer,280-330,Processor,C,2,1,NQ,362.0,362.0,362,NQ,683.0,683.0,683.0,1158.4,1158.4,1158.4000244140625
Yearling Heifer,280-330,Restocker,C,2,8,-6,314.0,314.0,314,-27.9,592.5,592.5,592.5,973.4,973.4,973.4000244140625
Yearling Heifer,330-400,Feeder,C,2,400,276,335.0,388.0,367.4775,8.6,632.1,732.1,693.4,1162.8,1552.0,1355.224248046875
Yearling Heifer,330-400,Feeder,D,2,13,NQ,360.0,360.0,360,NQ,679.2,679.2,679.2,1224.0,1224.0,1224
Yearling Heifer,330-400,Processor,C,2,4,3,324.0,380.0,352,-4.0,611.3,717.0,664.2,1198.8,1444.0,1294.2999877929688
Yearling Heifer,330-400,Processor,C,3,10,6,372.0,380.0,378.4,22.4,701.9,717.0,714.0,1264.8,1455.4,1413.860009765625
Yearling Heifer,330-400,Restocker,C,2,18,-7,318.0,355.0,347.72222222222223,-7.3,600.0,669.8,656.1,1113.0,1313.5,1256.3500027126736
Yearling Heifer,330-400,Restocker,C,3,4,NQ,365.0,365.0,365,NQ,688.7,688.7,688.7,1460.0,1460.0,1460
Yearling Heifer,400+,Feeder,C,2,63,32,371.0,382.0,373.6666666666667,10.4,700.0,720.8,705.0,1562.4,1663.2,1634.6222136966767
Yearling Heifer,400+,Feeder,C,3,6,-2,355.0,359.0,356.3333333333333,8.3,669.8,677.4,672.3,1491.0,2010.4,1664.1333414713542
Yearling Heifer,400+,Feeder,D,3,7,NQ,275.0,275.0,275,NQ,550.0,550.0,550.0,1540.0,1540.0,1540
Yearling Heifer,400+,Processor,C,3,16,7,369.0,390.0,386.75,-2.3,696.2,735.8,729.7,1794.0,2140.2,1858.5249938964844
Vealer Steer,0-200,Restocker,C,2,3,-7,362.0,375.0,370.6666666666667,-24.7,670.4,694.4,686.4,651.6,675.0,667.1999918619791
Vealer Steer,200-280,Restocker,C,2,8,-18,434.0,434.0,434,-4.6,803.7,803.7,803.7,1128.4,1128.4,1128.4000244140625
Vealer Heifer,200-280,Restocker,C,2,5,-36,362.0,362.0,362,13.0,683.0,683.0,683.0,941.2,941.2,941.2
Manufacturing Steer,540+,Processor,D,2,9,NQ,255.0,255.0,255,NQ,481.1,481.1,481.1,1428.0,1428.0,1428
Manufacturing Steer,540+,Processor,D,3,8,NQ,210.0,210.0,210,NQ,396.2,396.2,396.2,1260.0,1260.0,1260
Grown Steer,500-600,Feeder,C,2,24,NQ,345.0,360.0,350.625,NQ,638.9,666.7,649.3,1897.5,2016.0,1941.9375
Grown Steer,500-600,Processor,C,3,28,20,325.0,330.0,327.4642857142857,22.2,601.9,611.1,606.4,1950.0,1980.0,1964.7857142857142
Grown Steer,600-750,Processor,C,3,13,-3,310.0,345.0,326.15384615384613,-35.8,574.1,638.9,604.0,2015.0,2242.5,2120
Grown Heifer,0-540,Feeder,C,3,5,NQ,290.0,290.0,290,NQ,580.0,580.0,580.0,1508.0,1508.0,1508
Grown Heifer,0-540,Processor,C,2,9,4,248.0,269.0,262,-18.6,496.0,517.3,510.2,843.2,1022.2,962.5333658854166
Grown Heifer,0-540,Processor,C,3,1,NQ,266.0,266.0,266,NQ,511.5,511.5,511.5,1064.0,1064.0,1064
Grown Heifer,0-540,Processor,D,2,1,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1431.0,1431.0,1431
Grown Heifer,0-540,Restocker,C,2,29,10,294.0,294.0,294,-36.3,565.4,565.4,565.4,1117.2,1117.2,1117.1999595905172
Grown Heifer,0-540,Restocker,D,2,10,NQ,272.0,272.0,272,NQ,523.1,523.1,523.1,979.2,979.2,979.2
Grown Heifer,540+,Processor,C,3,10,NC,315.0,325.0,320,-4.6,605.8,625.0,615.4,1856.0,2080.0,1917
Cows,0-400,Feeder,D,4,23,NQ,295.0,295.0,295,NQ,590.0,590.0,590.0,1003.0,1003.0,1003
Cows,0-400,Processor,D,2,4,2,160.0,245.0,181.25,-86.8,347.8,532.6,394.0,640.0,931.0,712.75
Cows,0-400,Restocker,D,2,4,NQ,246.0,246.0,246,NQ,534.8,534.8,534.8,934.8,934.8,934.7999877929688
Cows,400-520,Processor,D,2,37,22,242.0,262.0,257.8378378378378,1.2,526.1,569.6,560.5,1113.2,1362.4,1256.086498363598
Cows,400-520,Restocker,D,2,16,10,272.0,272.0,272,-0.7,591.3,591.3,591.3,1251.2,1251.2,1251.199951171875
Cows,400-520,Restocker,D,3,10,NQ,276.0,276.0,276,NQ,575.0,575.0,575.0,1435.2,1435.2,1435.2
