Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 22/04/2024
Comparison Date: 15/04/2024
Total Yarding: 1545 (-1180)
Commentary
"There was a sharp drop in the overall numbers with cows making up a large percentage. Young cattle were also well supplied however export weight grown steers and heifers were scarce. The quality of the offering was fair to good while condition varied. Not all the regular feedlot and restockers were in attendance while not all processors operated.

There were varying trends through the young cattle with weaners to restockers selling to dearer trends, odd pens of steers showing strong gains. Light and medium weight yearling steers to restock and feed also sold to dearer trends with some quality related price change. Heavy feeder steers sold to a dearer trend with the preferred lines improving by 4c/kg. Yearlings heifers to restock and feed sold on a firm to dearer 
 trend for the most part. The leaner medium weights were cheaper with breed and quality contributing. Once again the preferred lines experienced the best of prices.

An improved quality penning of heavy grown steers to process were considerably dearer while the well finished grown heifers to process sold to a cheaper trend. A large percentage of the cows presented in store condition and were keenly sought by fatteners with the trend dearer. The quality and breed of the cows contributed to strong gains. Processor demand was weaker with cheaper trends resulting in all classes."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Processor,D,2,5,2,166.0,170.0,166.8,-31.2,332.0,340.0,333.6,597.6,765.0,631.07998046875
Grown Heifer,0-540,Processor,D,3,5,NQ,194.0,238.0,218.4,NQ,380.4,466.7,428.2,989.4,1188.0,1115.1400146484375
Grown Heifer,0-540,Restocker,C,2,3,-1,194.0,194.0,194,-45.0,373.1,373.1,373.1,834.2,834.2,834.2000325520834
Grown Heifer,0-540,Restocker,C,3,1,NQ,268.0,268.0,268,NQ,505.7,505.7,505.7,1179.2,1179.2,1179.199951171875
Grown Heifer,0-540,Restocker,D,2,3,-1,192.0,192.0,192,26.0,384.0,384.0,384.0,787.2,787.2,787.2000325520834
Grown Heifer,0-540,Restocker,D,3,1,NQ,205.0,205.0,205,NQ,402.0,402.0,402.0,1025.0,1025.0,1025
Grown Heifer,540+,Processor,C,4,3,-1,246.0,255.0,252,-18.8,464.2,481.1,475.5,1530.0,1549.8,1536.6000162760417
Cows,0-400,Processor,D,2,20,NQ,90.0,141.0,117.1,NQ,214.3,313.3,263.8,324.0,535.8,445.6199951171875
Cows,400-520,Processor,C,3,1,NQ,252.0,252.0,252,NQ,484.6,484.6,484.6,1260.0,1260.0,1260
Cows,400-520,Processor,D,2,15,-53,140.0,178.0,153.53333333333333,-8.5,311.1,395.6,341.2,588.0,863.3,705.419999186198
