Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 01/07/2024
Comparison Date: 
Total Yarding: 1100 (NQ)
Commentary
"With a rain event over the weekend and the start of a new financial year the numbers fell by 50%. Young cattle and cows were well supplied along with a few grown steers and heifers. The quality and condition of the offering was fair to good with all buyers catered for. The full field of regular buyers were in attendance.

Restockers participated strongly in the light weight classes through the young cattle. Weaners were keenly sought and posted strong gains in a much improved market trend. Yearlings steers saw little but quality related price change with the market trend generally unchanged. Medium weight yearling heifers to feed sold on a firm to slightly dearer trend while heavy weights attracted strong competition from feedlots to post good improvement. There was little in the way of domestic trade competition with too few suitable.

Processor demand for well finished grown cattle was strong resulting in dearer trends for both the steers and heifers while those suitable to feed were also keenly sought. The biggest improvement in the market was for cows where trends were as much as 40c/kg dearer in places. Most improvement however was in the range of 20c to 30c on the well finished lines."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Processor,C,2,2,-11,285.0,285.0,285,72.7,548.1,548.1,548.1,1197.0,1197.0,1197
Grown Heifer,0-540,Processor,C,3,30,NQ,254.0,290.0,277.3333333333333,NQ,488.5,551.9,531.3,1066.0,1431.0,1370.8416666666667
Grown Heifer,0-540,Processor,C,4,3,NQ,295.0,295.0,295,NQ,556.6,556.6,556.6,1534.0,1534.0,1534
Grown Heifer,0-540,Processor,D,3,2,NQ,248.0,248.0,248,NQ,486.3,486.3,486.3,1190.4,1190.4,1190.4000244140625
Grown Heifer,540+,Processor,C,3,3,-7,288.0,288.0,288,20.5,543.4,543.4,543.4,1584.0,1584.0,1584
Grown Heifer,540+,Processor,C,4,2,NQ,255.0,255.0,255,NQ,490.4,490.4,490.4,1530.0,1530.0,1530
Cows,400-520,Dairy,D,2,8,NQ,150.0,160.0,153.75,NQ,333.3,355.6,341.7,712.5,800.0,745.3125
Cows,400-520,Processor,D,2,36,-4,178.0,210.0,194.44444444444446,14.7,395.6,466.7,432.1,747.6,1018.5,860.0916476779514
Cows,400-520,Processor,D,3,75,NQ,189.0,253.0,234.84,NQ,402.1,518.8,489.9,916.7,1294.8,1176.3659912109374
Cows,400-520,Processor,D,4,8,NQ,234.0,257.0,246.125,NQ,468.0,535.4,500.3,1122.4,1248.0,1203.7249908447266
Cows,400-520,Restocker,D,2,10,-53,162.0,192.0,189,9.2,360.0,426.7,420.0,680.4,825.6,811.0799926757812
Cows,520+,Dairy,D,3,2,NQ,200.0,200.0,200,NQ,425.5,425.5,425.5,1100.0,1100.0,1100
Cows,520+,Processor,D,3,8,-91,220.0,258.0,234.25,41.8,468.1,516.0,486.1,1188.0,1419.0,1307.625
Cows,520+,Processor,D,4,77,6,230.0,270.0,256.35064935064935,42.8,479.2,540.0,513.0,1219.0,1596.0,1474.759759283685
Bulls,0-450,Processor,C,2,9,5,184.0,270.0,247.11111111111111,-27.9,353.8,519.2,475.2,644.0,918.0,826.8888888888889
Bulls,450-600,Processor,C,2,4,NQ,220.0,230.0,227.5,NQ,407.4,425.9,421.3,1056.0,1081.0,1074.75
Bulls,600+,Processor,B,2,5,2,220.0,235.0,226,46.0,392.9,419.6,403.6,1495.0,1716.0,1621
Bulls,600+,Processor,D,2,1,NQ,120.0,120.0,120,NQ,230.8,230.8,230.8,912.0,912.0,912
