Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 26/03/2025
Comparison Date: 19/03/2025
Total Yarding: 2250 (-1707)
Commentary
"CQLX Gracemere vendors from, Clermont, Collinsville and areas south to Miriamvale and west to Moura presented 2250 head for sale. That was back 1707 head on last sale. Overall it was a good quality yarding in forward condition. The usual processor panel were present and operating on increased limits, although feeders are less adventurous at present.

 The best bred pens of vealer steers made to 429c/kg with averages  to  416c/kg. Vealer heifers in light weight pens sold to 333c/kg to average 255c to 295c/kg.

Light weight yearling steers sold to 429c/kg also, with the best-bred pens averaging 388c/kg. Medium weight lots averaged 359c to 377c/kg. Light weight yearling heifers averaged from 260c to 304c/kg for the well-bred pens with medium weight lots averaging 263c to 286c/kg for the well bred pens. Mediun weight yearling heifers averaged  232c to 286c/kg. 

Bullocks sold to processors to 346c/kg, whilst grown steers to feed averaged 321c to 360c/kg. Grown heifers to the trade improved for the well finished lines to top at 327c/kg and average 308c to 316c/kg. A strong lineup of heavy, four score cows sold to 316c/kg and average 286c/kg. Heavy bulls sold to processors to a top of 281c/kg and averaged 267c/kg.
Cows and calves were plentiful this week with the best bred pens selling from $1,250 to $1,600per unit.  Reporter: Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,D,2,5,-2,381.0,381.0,381,94.0,732.7,732.7,732.7,723.9,723.9,723.9
Yearling Steer,200-280,Feeder,D,2,13,NQ,367.0,367.0,367,NQ,705.8,705.8,705.8,1027.6,1027.6,1027.5999849759614
Yearling Steer,200-280,Restocker,A,2,8,NQ,344.0,344.0,344,NQ,661.5,661.5,661.5,911.6,911.6,911.5999755859375
Yearling Steer,200-280,Restocker,C,2,141,-86,319.0,429.0,388.4113475177305,24.8,613.5,825.0,746.9,785.4,1150.8,948.7528361868351
Yearling Steer,200-280,Restocker,D,2,171,-93,240.0,409.0,350.48538011695905,24.2,461.5,786.5,674.0,528.0,1020.3,903.4444405182063
Yearling Steer,200-280,Restocker,E,2,1,-5,283.0,283.0,283,54.0,544.2,544.2,544.2,707.5,707.5,707.5
Yearling Steer,280-330,Restocker,C,2,108,-101,319.0,429.0,375.5833333333333,25.0,613.5,825.0,722.3,959.9,1257.3,1151.0389178240741
Yearling Steer,280-330,Restocker,D,2,103,-17,273.0,383.0,362.2330097087379,40.8,525.0,736.5,696.6,832.7,1174.9,1085.862173135998
Yearling Steer,330-400,Feeder,C,3,4,-36,339.0,339.0,339,18.6,639.6,639.6,639.6,1305.2,1305.2,1305.1500244140625
Yearling Steer,330-400,Feeder,D,2,2,-3,317.0,317.0,317,22.0,609.6,609.6,609.6,1093.7,1093.7,1093.6500244140625
Yearling Steer,330-400,Processor,D,3,1,NQ,270.0,270.0,270,NQ,509.4,509.4,509.4,918.0,918.0,918
Yearling Steer,330-400,Restocker,C,2,46,-23,305.0,385.0,358.5217391304348,13.7,586.5,740.4,689.5,1128.5,1341.4,1235.5956606657608
Yearling Steer,330-400,Restocker,C,3,3,NQ,331.0,331.0,331,NQ,624.5,624.5,624.5,1191.6,1191.6,1191.5999348958333
Yearling Steer,330-400,Restocker,D,2,26,-28,293.0,351.0,308.88461538461536,30.7,563.5,675.0,594.0,1005.0,1246.1,1104.3750375600962
Yearling Steer,400+,Feeder,C,2,1,NQ,359.0,359.0,359,NQ,690.4,690.4,690.4,1525.8,1525.8,1525.75
Yearling Heifer,200-280,Feeder,D,2,20,-21,241.0,269.0,258.2,20.1,463.5,517.3,496.5,650.7,753.2,705.6100036621094
Yearling Heifer,200-280,Processor,C,2,18,-55,243.0,281.0,260.27777777777777,-18.4,467.3,540.4,500.5,619.7,668.8,650.7222154405382
Yearling Heifer,200-280,Processor,D,2,29,-77,240.0,268.0,252.72413793103448,3.6,461.5,515.4,486.0,586.5,686.0,635.8310294315733
Yearling Heifer,200-280,Restocker,C,2,154,32,253.0,345.0,303.8181818181818,23.6,486.5,663.5,584.3,632.5,915.6,777.950636033888
Yearling Heifer,200-280,Restocker,D,2,164,38,200.0,323.0,287.5609756097561,29.4,384.6,621.2,553.0,446.0,882.0,739.724081458115
Yearling Heifer,280-330,Feeder,C,2,13,-16,260.0,297.0,286.15384615384613,22.7,500.0,571.2,550.3,845.0,980.1,939.1384465144231
Yearling Heifer,280-330,Feeder,D,2,16,11,225.0,271.0,262.375,6.0,432.7,521.2,504.6,675.0,853.7,820.1531372070312
Yearling Heifer,280-330,Processor,D,2,5,-31,220.0,240.0,232,-21.4,423.1,461.5,446.2,696.0,704.0,699.2
Yearling Heifer,280-330,Processor,D,3,2,NQ,269.0,269.0,269,NQ,517.3,517.3,517.3,860.8,860.8,860.7999877929688
Yearling Heifer,280-330,Restocker,C,2,30,-23,269.0,301.0,279.2,-3.3,517.3,578.8,536.9,858.7,913.5,879.1416910807292
Yearling Heifer,280-330,Restocker,D,2,16,-22,271.0,273.0,271.25,1.4,521.2,525.0,521.6,778.0,867.2,856.0562362670898
Yearling Heifer,330-400,Feeder,D,2,6,-15,279.0,279.0,279,18.9,536.5,536.5,536.5,976.5,976.5,976.5
Yearling Heifer,330-400,Processor,C,3,6,-1,281.0,281.0,281,8.0,530.2,530.2,530.2,997.5,997.5,997.5499674479166
Yearling Heifer,330-400,Processor,D,2,12,NQ,251.0,277.0,263.1666666666667,NQ,482.7,532.7,506.1,891.0,997.2,938.8583119710287
Yearling Heifer,330-400,Restocker,C,3,3,-1,263.0,263.0,263,-23.0,496.2,496.2,496.2,946.8,946.8,946.7999674479166
Yearling Heifer,330-400,Restocker,D,2,30,25,279.0,279.0,279,26.0,536.5,536.5,536.5,990.5,990.5,990.45
Vealer Steer,0-200,Restocker,C,2,14,7,319.0,429.0,415.85714285714283,2.9,613.5,825.0,799.7,462.5,858.0,809.039284842355
Vealer Steer,0-200,Restocker,D,2,16,NQ,296.0,393.0,332.125,NQ,569.2,755.8,638.7,444.0,727.0,611.3249969482422
Vealer Steer,200-280,Restocker,C,2,20,19,293.0,415.0,401.1,81.1,563.5,798.1,771.3,630.0,913.0,878.890005493164
Vealer Steer,200-280,Restocker,D,2,8,6,353.0,400.0,376.5,71.5,678.8,769.2,724.0,741.3,880.0,810.6499938964844
Vealer Heifer,0-200,Processor,D,2,10,NQ,240.0,270.0,255,NQ,461.5,519.2,490.4,437.5,513.0,462
Vealer Heifer,0-200,Restocker,C,2,10,-3,281.0,305.0,295,25.2,540.4,586.5,567.3,407.5,594.8,536.010009765625
Vealer Heifer,0-200,Restocker,D,2,1,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,396.0,396.0,396
Vealer Heifer,200-280,Processor,C,2,11,8,243.0,285.0,277.3636363636364,27.4,467.3,548.1,533.4,607.5,684.0,670.0909090909091
Vealer Heifer,200-280,Processor,D,2,12,NQ,230.0,255.0,249,NQ,442.3,490.4,478.8,471.5,612.0,553.7791544596354
Vealer Heifer,200-280,Restocker,C,2,18,NQ,270.0,333.0,296.1111111111111,NQ,519.2,640.4,569.4,580.5,716.0,651.0249871148003
Vealer Heifer,200-280,Restocker,D,2,4,NC,219.0,267.0,255,-22.0,421.2,513.5,490.4,525.6,587.4,571.9500122070312
Grown Steer,0-400,Feeder,C,2,6,-69,333.0,359.0,341.6666666666667,8.2,640.4,690.4,657.1,1184.7,1315.3,1271.7999674479167
Grown Steer,0-400,Feeder,D,2,4,-34,353.0,353.0,353,81.4,678.8,678.8,678.8,1306.1,1306.1,1306.0999755859375
Grown Steer,0-400,Restocker,C,2,5,-41,337.0,337.0,337,21.9,648.1,648.1,648.1,1297.4,1297.4,1297.45
Grown Steer,0-400,Restocker,D,2,17,-63,301.0,353.0,342.52941176470586,26.7,578.8,678.8,658.7,1173.9,1306.1,1276.4940616383271
Grown Steer,0-400,Restocker,E,2,1,NQ,170.0,170.0,170,NQ,326.9,326.9,326.9,680.0,680.0,680
Grown Steer,400-500,Feeder,C,2,35,-122,299.0,335.0,321.22857142857146,-1.3,575.0,644.2,617.7,1324.4,1474.0,1411.8428571428572
Grown Steer,400-500,Feeder,C,3,11,NQ,315.0,343.0,333.90909090909093,NQ,594.3,647.2,630.0,1433.3,1539.2,1524.8682084517045
Grown Steer,400-500,Feeder,D,2,6,-55,260.0,317.0,296.5,9.5,500.0,609.6,570.2,1144.0,1460.3,1348.7416585286458
Grown Steer,400-500,Processor,C,3,1,-26,293.0,293.0,293,11.4,552.8,552.8,552.8,1391.8,1391.8,1391.75
Grown Steer,400-500,Processor,D,2,4,-11,280.0,314.0,305,22.8,538.5,603.8,586.5,1274.0,1444.4,1399.5000305175781
Grown Steer,400-500,Processor,D,3,3,-18,339.0,343.0,340.3333333333333,49.6,639.6,647.2,642.1,1543.5,1610.3,1588
Grown Steer,400-500,Restocker,C,2,6,-3,335.0,365.0,360,37.0,644.2,701.9,692.3,1457.3,1478.3,1474.75
Grown Steer,400-500,Restocker,D,2,2,-9,273.0,273.0,273,-38.4,525.0,525.0,525.0,1187.6,1187.6,1187.550048828125
Grown Steer,500-600,Processor,C,4,11,6,331.0,334.0,331.27272727272725,1.1,613.0,618.5,613.5,1770.8,1920.5,1784.4545454545455
Grown Steer,500-600,Processor,D,3,3,NQ,260.0,260.0,260,NQ,490.6,490.6,490.6,1352.0,1352.0,1352
Grown Steer,600-750,Processor,C,4,10,9,329.0,346.0,340.9,17.9,609.3,640.7,631.3,2039.8,2197.1,2149.91015625
Grown Steer,600-750,Processor,D,4,1,NQ,331.0,331.0,331,NQ,624.5,624.5,624.5,2168.1,2168.1,2168.050048828125
Grown Heifer,0-540,Feeder,C,2,19,-1,269.0,315.0,285.42105263157896,10.7,517.3,605.8,548.9,958.5,1307.3,1058.12890625
Grown Heifer,0-540,Feeder,C,3,5,NQ,281.0,281.0,281,NQ,530.2,530.2,530.2,1109.9,1109.9,1109.95
Grown Heifer,0-540,Feeder,D,2,45,39,255.0,300.0,275.24444444444447,12.2,490.4,576.9,529.3,892.5,1051.2,982.1666341145833
Grown Heifer,0-540,Processor,C,2,7,-77,271.0,271.0,271,4.0,521.2,521.2,521.2,962.0,962.0,962.0500139508929
Grown Heifer,0-540,Processor,C,3,35,-47,260.0,327.0,307.9714285714286,30.3,490.6,613.2,578.5,1092.0,1553.3,1423.7228690011161
Grown Heifer,0-540,Processor,C,4,53,42,297.0,325.0,315.49056603773585,39.3,550.0,601.9,584.2,1387.8,1626.1,1548.2226193985848
Grown Heifer,0-540,Processor,D,2,52,7,200.0,273.0,256.2692307692308,-2.3,384.6,525.0,492.8,518.2,1066.8,852.7673081618088
Grown Heifer,0-540,Processor,D,3,19,-17,240.0,318.0,277.5263157894737,15.3,461.5,600.0,525.9,1044.0,1446.9,1229.4289486533717
Grown Heifer,0-540,Processor,D,4,6,-2,281.0,321.0,287.6666666666667,2.2,540.4,594.4,549.4,1292.6,1540.8,1333.9666748046875
Grown Heifer,0-540,Restocker,D,2,7,-31,251.0,265.0,261,-3.6,482.7,509.6,501.9,928.7,940.8,937.307146344866
Grown Heifer,540+,Processor,C,4,1,NQ,317.0,317.0,317,NQ,587.0,587.0,587.0,1727.7,1727.7,1727.6500244140625
Cows,0-400,Processor,D,2,4,NQ,237.0,247.0,239.5,NQ,515.2,537.0,520.7,912.5,975.7,928.2500305175781
Cows,0-400,Processor,E,2,3,NQ,220.0,220.0,220,NQ,500.0,500.0,500.0,814.0,814.0,814
Cows,0-400,Restocker,D,1,4,NC,210.0,210.0,210,-3.0,500.0,500.0,500.0,724.5,724.5,724.5
Cows,0-400,Restocker,D,2,6,-14,170.0,229.0,219.16666666666666,-13.3,386.4,508.9,488.5,586.5,870.2,822.9166666666666
Cows,400-520,Processor,C,4,5,NQ,316.0,316.0,316,NQ,585.2,585.2,585.2,1516.8,1516.8,1516.8
Cows,400-520,Processor,D,2,37,-1,230.0,271.0,255.21621621621622,2.1,500.0,576.6,547.5,966.0,1260.2,1161.3756631387246
Cows,400-520,Processor,D,3,51,-31,247.0,293.0,273.8235294117647,12.5,504.1,610.4,566.6,1111.5,1409.2,1303.3539033777574
Cows,400-520,Processor,D,4,57,-44,270.0,292.0,279.140350877193,16.3,540.0,580.0,552.2,1269.0,1508.0,1359.4842079564144
Cows,520+,Processor,C,4,10,NQ,298.0,298.0,298,NQ,573.1,573.1,573.1,2145.6,2145.6,2145.6
Cows,520+,Processor,D,3,10,-7,276.0,285.0,276.9,11.5,563.3,593.8,566.3,1462.8,1553.3,1471.84501953125
Cows,520+,Processor,D,4,99,-104,271.0,297.0,286.2929292929293,18.2,525.0,590.0,556.4,1436.3,1856.3,1602.1666580354324
Bulls,0-450,Feeder,C,2,1,NQ,269.0,269.0,269,NQ,517.3,517.3,517.3,1143.3,1143.3,1143.25
Bulls,0-450,Processor,D,2,25,12,237.0,265.0,250,6.9,455.8,509.6,480.8,624.0,1091.4,798.157998046875
Bulls,0-450,Processor,E,2,4,NQ,229.0,229.0,229,NQ,440.4,440.4,440.4,813.0,813.0,812.9500122070312
Bulls,0-450,Restocker,C,2,39,26,205.0,375.0,298.43589743589746,-4.6,394.2,721.2,573.9,496.5,941.0,719.6769283979366
Bulls,0-450,Restocker,D,2,11,8,260.0,289.0,265.09090909090907,-19.2,500.0,555.8,509.8,494.0,939.6,685.9545399058949
Bulls,450-600,Feeder,C,2,3,NQ,251.0,269.0,257,NQ,473.6,517.3,488.2,1237.4,1330.3,1299.3333740234375
Bulls,450-600,Processor,C,3,5,NQ,253.0,269.0,257.4,NQ,460.0,489.1,468.0,1425.7,1528.1,1486.3799072265624
Bulls,450-600,Restocker,C,3,1,NQ,248.0,248.0,248,NQ,450.9,450.9,450.9,1302.0,1302.0,1302
