Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 16/05/2024
Comparison Date: 02/05/2024
Total Yarding: 2000 (+955)
Commentary
"The numbers almost doubled with an influx of cows. All categories were well represented in a mixed quality penning. There was a good supply of young cattle . The condition of the offering was fair to good with quite a lot of plainer condition cows alongside the well finished lines. The young cattle also showed a deal of variation. There were a few new faces in the buying gallery that also had some absentees.

Despite the increase in supply the young cattle market was strong under high demand. Weaner steers to restock in all weight categories sold to dearer trends with some quality related price change. There was little change in the heifer weaners to restock. Medium and heavy weight yearling steers to feed sold on a firm to dearer trend with the strongest gains in the well finished heavy weights where quality was a factor. There was increased demand for yearling heifers with those to restock and feed selling to a dearer trend.

Grown steers with 2 or more teeth going to feed saw considerable price improvement with breed and quality contributing. The plainer condition and lightly muscled grown heifers to feed sold strongly on a cents per kilogram basis in comparison to the more forward heavier weight. The well finished heifers to process sold to a dearer trend. Strong competition for all classes of cows resulted in dearer trends throughout with some quality related price gains."
Yearling Heifer,400+,Feeder,C,3,48,44,282.0,332.0,312.4583333333333,-4.5,542.3,626.4,593.2,1170.3,1610.2,1366.9364547729492
Vealer Steer,0-200,Restocker,C,2,17,10,292.0,408.0,350.5882352941176,-3.3,561.5,784.6,674.2,571.2,652.0,585.9764763327206
Vealer Steer,200-280,Restocker,C,2,104,6,278.0,412.0,346.5769230769231,1.6,534.6,792.3,666.5,667.2,1008.8,862.358651968149
Vealer Steer,280-330,Restocker,C,2,25,23,310.0,380.0,350.4,36.4,596.2,730.8,673.8,961.0,1116.0,1040.96
Vealer Steer,330+,Processor,C,3,2,NQ,348.0,348.0,348,NQ,644.4,644.4,644.4,1339.8,1339.8,1339.800048828125
Vealer Steer,330+,Restocker,C,2,10,NQ,354.0,398.0,393.6,NQ,680.8,765.4,756.9,1203.6,1452.7,1427.7899780273438
Vealer Heifer,200-280,Restocker,C,2,78,48,254.0,330.0,293.56410256410254,-11.8,488.5,634.6,564.5,593.4,841.5,724.6807751777844
Vealer Heifer,280-330,Restocker,C,2,28,NQ,290.0,308.0,304.5357142857143,NQ,557.7,592.3,585.6,841.0,924.0,895.7946428571429
Vealer Heifer,330+,Processor,C,3,11,9,280.0,310.0,296.3636363636364,-8.6,528.3,584.9,559.2,938.0,1054.0,1010.7272727272727
Vealer Heifer,330+,Restocker,C,2,4,NQ,298.0,298.0,298,NQ,573.1,573.1,573.1,1013.2,1013.2,1013.2000122070312
Grown Steer,400-500,Feeder,C,2,55,38,290.0,376.0,351.96363636363634,80.4,557.7,723.1,676.9,1450.0,1830.0,1687.850918856534
Grown Steer,400-500,Processor,C,2,10,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1350.0,1350.0,1350
Grown Steer,500-600,Feeder,C,2,16,NQ,328.0,328.0,328,NQ,607.4,607.4,607.4,1738.4,1738.4,1738.4000244140625
Grown Steer,500-600,Feeder,C,3,9,5,310.0,326.0,324.22222222222223,5.7,574.1,603.7,600.4,1760.4,1767.0,1761.1333550347222
Grown Steer,500-600,Processor,C,3,1,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,1620.0,1620.0,1620
Grown Steer,600-750,Processor,C,3,3,NQ,278.0,280.0,278.6666666666667,NQ,514.8,518.5,516.0,1736.0,1946.0,1876
Grown Heifer,0-540,Feeder,C,2,11,NQ,309.0,309.0,309,NQ,594.2,594.2,594.2,1158.8,1158.8,1158.75
Grown Heifer,0-540,Feeder,C,3,34,27,260.0,330.0,301.11764705882354,17.1,490.6,622.6,571.7,1143.8,1650.0,1467.9676513671875
Grown Heifer,0-540,Feeder,D,2,51,39,255.0,298.0,277.5686274509804,82.6,510.0,596.0,555.1,979.2,1215.0,1042.1411994485295
Grown Heifer,0-540,Feeder,D,3,1,-4,224.0,224.0,224,6.0,439.2,439.2,439.2,1120.0,1120.0,1120
Grown Heifer,0-540,Processor,C,3,14,9,226.0,268.0,259.42857142857144,16.4,434.6,507.7,496.1,904.0,1420.4,1291.7142944335938
Grown Heifer,0-540,Processor,C,4,1,-3,240.0,240.0,240,-18.0,452.8,452.8,452.8,1296.0,1296.0,1296
Grown Heifer,0-540,Processor,D,2,2,NQ,196.0,196.0,196,NQ,392.0,392.0,392.0,754.6,754.6,754.5999755859375
Grown Heifer,0-540,Processor,D,3,5,2,238.0,262.0,257.2,18.2,466.7,513.7,504.3,1071.0,1231.4,1199.32001953125
Grown Heifer,0-540,Restocker,D,2,22,-5,200.0,220.0,208.63636363636363,3.0,400.0,440.0,416.9,690.0,946.0,803.4545454545455
Grown Heifer,540+,Processor,C,3,1,-3,276.0,276.0,276,22.3,511.1,511.1,511.1,1738.8,1738.8,1738.800048828125
Grown Heifer,540+,Processor,C,4,15,5,240.0,250.0,242.66666666666666,-13.9,452.8,480.8,460.3,1368.0,1437.5,1386.5333333333333
Cows,0-400,Restocker,D,2,7,NQ,180.0,180.0,180,NQ,400.0,400.0,400.0,684.0,684.0,684
Cows,400-520,Processor,D,2,32,-6,158.0,208.0,199.28125,28.2,351.1,462.2,442.8,750.5,1040.0,952.9609375
Cows,400-520,Processor,D,3,39,21,206.0,212.0,210.35897435897436,13.5,429.2,451.1,440.6,1007.0,1071.2,1057.5281951121794
Cows,400-520,Processor,D,4,7,-3,226.0,226.0,226,16.6,470.8,470.8,470.8,1073.5,1073.5,1073.5
Cows,400-520,PTIC,D,2,52,NQ,226.0,238.0,234.07692307692307,NQ,502.2,528.9,520.2,949.2,1071.0,1031.1807767427886
Cows,400-520,Restocker,D,2,156,73,104.0,225.0,200.57692307692307,14.1,247.6,480.0,442.7,436.8,1170.0,914.9192293607272
Cows,400-520,Restocker,D,3,6,NQ,205.0,205.0,205,NQ,436.2,436.2,436.2,973.8,973.8,973.75
Cows,520+,Processor,C,3,1,NQ,230.0,230.0,230,NQ,460.0,460.0,460.0,1242.0,1242.0,1242
Cows,520+,Processor,C,4,8,NC,242.0,242.0,242,13.6,484.0,484.0,484.0,1573.0,1573.0,1573
Cows,520+,Processor,D,3,81,48,208.0,228.0,218.17283950617283,9.1,437.5,475.0,455.7,1102.5,1299.6,1210.251838589892
Cows,520+,Processor,D,4,107,34,212.0,238.0,229.5981308411215,7.9,441.7,476.0,461.4,1272.0,1618.4,1393.9514274240655
Cows,520+,Processor,D,5,43,23,208.0,238.0,232.11627906976744,14.7,442.6,476.0,468.6,1417.0,1761.2,1707.553461119186
Bulls,0-450,Processor,C,2,10,1,190.0,268.0,252.4,26.4,365.4,515.4,485.4,830.8,836.0,831.839990234375
Bulls,450-600,Processor,B,2,4,NQ,234.0,234.0,234,NQ,417.9,417.9,417.9,1216.8,1216.8,1216.800048828125
Bulls,450-600,Processor,C,2,9,NQ,200.0,215.0,210.44444444444446,NQ,370.4,398.1,389.7,1113.0,1236.3,1152.9444444444443
Bulls,600+,Processor,B,2,8,5,215.0,240.0,228.375,-2.0,383.9,428.6,408.7,1462.0,2006.4,1782.9750061035156
Bulls,600+,Processor,B,3,1,-1,214.0,214.0,214,-17.5,382.1,382.1,382.1,1883.2,1883.2,1883.199951171875
Bulls,600+,Processor,C,2,13,-9,190.0,230.0,217.07692307692307,7.2,351.9,418.2,400.2,1425.0,1848.0,1624.4769193209136
