Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 16/05/2024
Comparison Date: 02/05/2024
Total Yarding: 2000 (+955)
Commentary
"The numbers almost doubled with an influx of cows. All categories were well represented in a mixed quality penning. There was a good supply of young cattle . The condition of the offering was fair to good with quite a lot of plainer condition cows alongside the well finished lines. The young cattle also showed a deal of variation. There were a few new faces in the buying gallery that also had some absentees.

Despite the increase in supply the young cattle market was strong under high demand. Weaner steers to restock in all weight categories sold to dearer trends with some quality related price change. There was little change in the heifer weaners to restock. Medium and heavy weight yearling steers to feed sold on a firm to dearer trend with the strongest gains in the well finished heavy weights where quality was a factor. There was increased demand for yearling heifers with those to restock and feed selling to a dearer trend.

Grown steers with 2 or more teeth going to feed saw considerable price improvement with breed and quality contributing. The plainer condition and lightly muscled grown heifers to feed sold strongly on a cents per kilogram basis in comparison to the more forward heavier weight. The well finished heifers to process sold to a dearer trend. Strong competition for all classes of cows resulted in dearer trends throughout with some quality related price gains."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,7,-10,322.0,322.0,322,-12.5,619.2,619.2,619.2,1062.6,1062.6,1062.5999581473213
Yearling Steer,280-330,Restocker,C,2,23,NQ,294.0,336.0,320.95652173913044,NQ,565.4,646.2,617.2,837.9,1095.6,999.1695609714674
Yearling Steer,330-400,Feeder,C,2,81,31,304.0,370.0,345.25925925925924,3.4,584.6,711.5,664.0,1048.8,1443.0,1257.1679084683642
Yearling Steer,400+,Feeder,C,2,34,-8,330.0,362.0,342.8529411764706,-3.6,634.6,696.2,659.3,1394.4,1673.3,1512.6441434972426
Yearling Steer,400+,Feeder,C,3,73,NQ,320.0,378.0,356.75342465753425,NQ,603.8,700.0,662.0,1312.0,1950.4,1767.427440068493
Yearling Steer,400+,Processor,C,2,1,NQ,262.0,262.0,262,NQ,503.8,503.8,503.8,1205.2,1205.2,1205.199951171875
Yearling Heifer,280-330,Feeder,C,2,4,-1,204.0,204.0,204,-86.0,392.3,392.3,392.3,652.8,652.8,652.7999877929688
Yearling Heifer,280-330,Restocker,C,2,14,NQ,300.0,324.0,318.85714285714283,NQ,576.9,623.1,613.2,930.0,1053.0,1026.642857142857
Yearling Heifer,330-400,Feeder,C,2,44,27,268.0,340.0,321.1363636363636,20.4,515.4,680.0,632.2,1000.5,1292.0,1198.845458984375
Yearling Heifer,330-400,Processor,C,3,1,-2,255.0,255.0,255,-25.0,490.4,490.4,490.4,892.5,892.5,892.5
Yearling Heifer,330-400,Restocker,C,2,9,-1,308.0,308.0,308,38.0,592.3,592.3,592.3,1047.2,1047.2,1047.199978298611
Yearling Heifer,400+,Feeder,C,2,2,NQ,300.0,310.0,305,NQ,576.9,596.2,586.5,1230.0,1271.0,1250.5
