Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 26/02/2025
Comparison Date: 19/02/2025
Total Yarding: 3053 (+278)
Commentary
"The yarding at CQLX Gracemere sale increased by 278 head to 3053. Cattle came to hand from all the usual draw areas with quality and condition improved in some areas of the offering. Competition came from the usual panel of processors and feed lot operators with values for the best bred lines a little better than last sale.

Small numbers of vealer steers made to 439c/kg to average 404c/kg for the best lines. Vealer heifers reached a top of 300c/kg to the veal trade.

Light weight yearling steers reached 453c/kg on occasions to return averages for best-bred pens from 363c to 394c/kg. Medium weight pens sold out to 429c/kg, averaging 331c to 390c/kg for the best quality lines.  Light weight yearling heifers sold to top at 307c/kg and average 259c to 288c/kg. Medium weights topped at 331c/kg returning quality related averages from 259c to 324c/kg.

Bullocks and grown steers to processors averaged 324c to 340c/kg. The best-bred feeders averaged 356c to 374c/kg. Trade heifers made to 346c/kg, averaging 319c to 340c/kg.

Heavy, four score cows averaged a little better again at 293c/kg. Heavy bulls sold to average 277c/kg to processors. Cows and calves sold from $1,100 to $2,250 per unit. Reporter: Richard Thomson"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,9,NQ,400.0,400.0,400,NQ,769.2,769.2,769.2,780.0,780.0,780
Yearling Steer,0-200,Restocker,D,2,4,-4,283.0,283.0,283,-81.4,544.2,544.2,544.2,537.7,537.7,537.7000122070312
Yearling Steer,200-280,Feeder,D,2,5,3,279.0,279.0,279,25.0,536.5,536.5,536.5,572.0,572.0,571.95
Yearling Steer,200-280,Feeder,E,2,11,NQ,180.0,307.0,266.27272727272725,NQ,360.0,614.0,532.5,423.0,859.6,711.7454279119319
Yearling Steer,200-280,Processor,D,2,20,19,250.0,319.0,296.55,36.6,480.8,613.5,570.3,587.5,813.5,737.8365173339844
Yearling Steer,200-280,Restocker,C,2,267,-4,326.0,453.0,392.15355805243445,-3.4,626.9,871.2,754.1,818.4,1174.3,979.691378589873
Yearling Steer,200-280,Restocker,D,2,124,-267,250.0,369.0,306.91129032258067,-77.0,480.8,709.6,590.4,588.3,922.4,768.8915282218687
