Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 19/03/2025
Comparison Date: 12/03/2025
Total Yarding: 3957 (+2692)
Commentary
"CQLX Vendors penned 3957 head at Gracemere sale- 2692 up on the previous wet sale. Quality and condition were much improved on the preceding sales, although prices failed to hold last week’s rates for most categories. The usual processors were present and operating and there were several local feeders who were not operating. There were quality related variations in some categories, with an overall easing tendency evident. 

Vealer steers sold to an occasional 413c/kg, whilst vealer heifers topped at 279c/kg, averaging 270c/kg.

Yearling steers in light weight pens made to 409c/kg, yielding averages of 326c to 364c/kg. Medium weight pens averaged 301c to 347c/kg. Light weight yearling heifers went to the veal trade and to restockers, averaging 279c to 286c/kg for well-bred pens. Medium weights sold to 355c/kg to backgrounders on occasions to average 272c to 286c/kg.

Grown steers to feed eased, selling to 349c/kg and averaging  316c to 333c/kg while those grown steers and bullocks to processors made from 278c to 333c/kg average, relative to condition. Grown heifers to the trade were also easier than last sale with sales mostly from 267c to 286c/kg average and to a top of 301c/kg. 

Plain conditioned cows sold to 257c/kg with the best, four score cows making to 289c/kg and averaging 268c/kg. Heavy bulls averaged 262c/kg with sales to 275c/kg. A mixed  offering of cows and calves sold from $1,150 to $1,800 per unit. Reporter: Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,D,1,6,NQ,280.0,283.0,282,NQ,560.0,566.0,564.0,462.0,523.5,503.0333251953125
Yearling Steer,0-200,Restocker,D,2,7,2,287.0,287.0,287,-28.0,551.9,551.9,551.9,574.0,574.0,574
Yearling Steer,200-280,Feeder,E,2,4,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,500.0,500.0,500
Yearling Steer,200-280,Processor,D,2,1,-18,243.0,243.0,243,-74.8,467.3,467.3,467.3,680.4,680.4,680.4000244140625
Yearling Steer,200-280,Restocker,C,1,1,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,602.0,602.0,602
Yearling Steer,200-280,Restocker,C,2,227,128,257.0,409.0,363.5947136563877,-11.8,494.2,786.5,699.2,604.0,1100.0,926.450449670464
Yearling Steer,200-280,Restocker,D,2,264,162,231.0,377.0,326.32954545454544,-5.9,444.2,725.0,627.6,594.0,920.7,795.9685618082682
Yearling Steer,200-280,Restocker,E,2,6,5,229.0,229.0,229,-12.0,440.4,440.4,440.4,584.0,584.0,583.9500325520834
Yearling Steer,280-330,Feeder,C,2,5,NQ,299.0,303.0,300.6,NQ,575.0,582.7,578.1,986.7,999.9,991.980029296875
Yearling Steer,280-330,Feeder,D,2,13,NQ,297.0,297.0,297,NQ,571.2,571.2,571.2,965.3,965.3,965.25
Yearling Steer,280-330,Feeder,D,3,5,NQ,321.0,321.0,321,NQ,605.7,605.7,605.7,1043.3,1043.3,1043.25
Yearling Steer,280-330,Processor,D,2,1,-11,297.0,297.0,297,-23.3,571.2,571.2,571.2,882.1,882.1,882.0900268554688
Yearling Steer,280-330,Processor,D,3,1,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,769.5,769.5,769.5
Yearling Steer,280-330,Restocker,C,2,209,165,291.0,389.0,350.5980861244019,-34.9,559.6,748.1,674.2,886.3,1196.8,1061.9425840240917
Yearling Steer,280-330,Restocker,D,2,120,103,269.0,359.0,321.44166666666666,10.7,517.3,690.4,618.2,820.5,1049.8,997.974668375651
Yearling Steer,280-330,Restocker,E,2,1,NQ,229.0,229.0,229,NQ,440.4,440.4,440.4,744.3,744.3,744.25
Yearling Steer,330-400,Feeder,C,2,58,49,325.0,349.0,347.2068965517241,-6.2,625.0,671.2,667.7,1153.8,1335.9,1316.536166487069
Yearling Steer,330-400,Feeder,C,3,40,NQ,319.0,321.0,320.45,NQ,613.5,617.3,616.3,1123.5,1180.3,1152.7625
Yearling Steer,330-400,Feeder,D,2,5,NQ,295.0,295.0,295,NQ,567.3,567.3,567.3,1062.0,1062.0,1062
Yearling Steer,330-400,Processor,E,2,1,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,724.5,724.5,724.5
Yearling Steer,330-400,Restocker,C,2,69,20,237.0,367.0,344.7826086956522,7.4,455.8,705.8,663.0,817.7,1316.3,1235.7173939580503
Yearling Steer,330-400,Restocker,D,2,54,51,240.0,321.0,278.18518518518516,-40.8,461.5,617.3,535.0,864.0,1139.6,994.9138816550926
Yearling Steer,400+,Restocker,D,2,1,NQ,293.0,293.0,293,NQ,563.5,563.5,563.5,1215.9,1215.9,1215.949951171875
Yearling Heifer,0-200,Feeder,D,1,15,NQ,120.0,217.0,209.6,NQ,230.8,417.3,403.1,192.0,412.3,395.839990234375
Yearling Heifer,0-200,Feeder,D,2,2,NQ,215.0,215.0,215,NQ,413.5,413.5,413.5,408.5,408.5,408.5
Yearling Heifer,0-200,Processor,D,2,4,NQ,261.0,261.0,261,NQ,501.9,501.9,501.9,482.9,482.9,482.8500061035156
Yearling Heifer,0-200,Restocker,D,2,16,NQ,229.0,273.0,243.8125,NQ,440.4,525.0,468.9,400.8,518.7,461.0968780517578
Yearling Heifer,200-280,Feeder,C,2,12,NQ,269.0,289.0,286,NQ,517.3,555.8,550.0,669.8,765.8,729.3999735514323
Yearling Heifer,200-280,Feeder,D,1,2,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,420.0,420.0,420
Yearling Heifer,200-280,Feeder,D,2,41,NQ,200.0,271.0,238.14634146341464,NQ,384.6,521.2,458.0,430.5,704.6,568.4024300924161
Yearling Heifer,200-280,Feeder,E,2,2,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,460.0,460.0,460
Yearling Heifer,200-280,Processor,C,2,73,46,240.0,296.0,278.6849315068493,12.4,461.5,569.2,535.9,574.2,785.7,703.4849351856807
Yearling Heifer,200-280,Processor,D,1,1,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,441.0,441.0,441
Yearling Heifer,200-280,Processor,D,2,106,-8,200.0,262.0,249.0754716981132,-8.5,384.6,503.8,479.0,460.0,676.0,593.9057490510761
Yearling Heifer,200-280,Restocker,C,2,122,54,249.0,340.0,280.26229508196724,-7.6,478.8,653.8,539.0,599.3,791.1,702.0282802894467
Yearling Heifer,200-280,Restocker,D,1,37,NQ,227.0,241.0,229.27027027027026,NQ,436.5,463.5,440.9,499.4,566.3,510.25673696157094
Yearling Heifer,200-280,Restocker,D,2,126,100,221.0,283.0,258.2063492063492,0.8,425.0,544.2,496.6,496.6,778.3,623.3539617629278
Yearling Heifer,280-330,Feeder,C,2,29,23,260.0,267.0,263.41379310344826,-27.6,500.0,513.5,506.6,746.7,867.8,820.6017308728449
Yearling Heifer,280-330,Feeder,D,2,5,-1,230.0,263.0,256.4,6.4,442.3,505.8,493.1,690.0,815.3,790.239990234375
Yearling Heifer,280-330,Processor,C,2,26,12,249.0,280.0,269.11538461538464,0.9,478.8,538.5,517.5,796.8,892.8,837.0249938964844
Yearling Heifer,280-330,Processor,D,2,36,17,227.0,271.0,253.38888888888889,-6.3,436.5,521.2,487.3,692.3,848.0,782.7486300998264
Yearling Heifer,280-330,Restocker,C,2,53,39,253.0,299.0,282.49056603773585,-3.0,486.5,575.0,543.3,809.6,971.8,891.0650934183373
Yearling Heifer,280-330,Restocker,D,2,38,12,227.0,279.0,269.89473684210526,-28.6,436.5,536.5,519.0,726.4,892.8,855.3460629111842
Yearling Heifer,330-400,Feeder,C,2,44,-33,250.0,287.0,272.20454545454544,-22.8,480.8,551.9,523.5,850.0,990.2,951.2954476096413
Yearling Heifer,330-400,Feeder,C,3,5,-5,286.0,286.0,286,-41.0,550.0,550.0,550.0,1029.6,1029.6,1029.6
Yearling Heifer,330-400,Feeder,D,2,21,2,251.0,267.0,260.14285714285717,-18.9,482.7,513.5,500.3,847.5,905.3,887.7285795665923
Yearling Heifer,330-400,Processor,C,3,7,NQ,258.0,279.0,273,NQ,486.8,526.4,515.1,954.6,1046.3,1020.0642787388393
Yearling Heifer,330-400,Restocker,C,2,91,53,253.0,355.0,285.3736263736264,-10.8,486.5,682.7,548.8,898.2,1207.0,997.636235834478
Yearling Heifer,330-400,Restocker,C,3,4,NQ,286.0,286.0,286,NQ,550.0,550.0,550.0,1029.6,1029.6,1029.5999755859375
Yearling Heifer,330-400,Restocker,D,2,5,1,253.0,253.0,253,4.5,486.5,486.5,486.5,898.2,898.2,898.15
Yearling Heifer,400+,Feeder,C,2,3,NQ,259.0,259.0,259,NQ,498.1,498.1,498.1,1100.8,1100.8,1100.75
Vealer Steer,0-200,Restocker,C,2,7,6,413.0,413.0,413,152.0,794.2,794.2,794.2,722.8,764.0,746.3499930245536
Vealer Steer,200-280,Processor,C,2,1,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,605.0,605.0,605
Vealer Steer,200-280,Restocker,C,2,1,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,816.0,816.0,816
Vealer Steer,200-280,Restocker,D,2,2,-21,305.0,305.0,305,-50.4,586.5,586.5,586.5,671.0,671.0,671
Vealer Heifer,0-200,Restocker,C,2,13,10,259.0,279.0,269.7692307692308,10.8,498.1,536.5,518.8,432.5,479.1,454.0038499098558
Vealer Heifer,200-280,Processor,C,2,3,-4,250.0,250.0,250,-10.0,480.8,480.8,480.8,587.5,587.5,587.5
Vealer Heifer,200-280,Restocker,D,2,4,NQ,277.0,277.0,277,NQ,532.7,532.7,532.7,637.1,637.1,637.0999755859375
Manufacturing Steer,0-540,Restocker,E,2,2,NQ,251.0,251.0,251,NQ,502.0,502.0,502.0,1179.7,1179.7,1179.699951171875
Grown Steer,0-400,Feeder,C,2,75,67,310.0,341.0,333.44,-1.6,596.2,655.8,641.2,1116.0,1356.0,1246.4353385416666
Grown Steer,0-400,Feeder,C,3,1,NQ,299.0,299.0,299,NQ,564.2,564.2,564.2,1166.1,1166.1,1166.0999755859375
Grown Steer,0-400,Feeder,D,2,38,NQ,241.0,317.0,271.60526315789474,NQ,463.5,609.6,522.3,831.5,1252.2,978.3407978258634
Grown Steer,0-400,Live Export,D,2,2,NQ,261.0,261.0,261,NQ,501.9,501.9,501.9,1004.8,1004.8,1004.8499755859375
Grown Steer,0-400,Processor,D,2,23,NQ,269.0,281.0,275.95652173913044,NQ,517.3,540.4,530.7,983.5,1092.0,1042.7391304347825
Grown Steer,0-400,Restocker,C,2,46,NQ,280.0,343.0,315.0652173913044,NQ,538.5,659.6,605.9,1014.4,1354.8,1154.9297724184783
