Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 18/01/2024
Comparison Date: 31/08/2023
Total Yarding: 1090 (+190)
Commentary
"Following good rain over the 6 week layoff between sales the numbers were well down. The first of the weaners were penned along with a good supply of yearlings and cows. Quite a few at the heavier end of the weight classes. The quality of the offering was generally good with the majority of the cattle presenting in good condition. There was a full field of buyers in attendance including some extra orders.

Demand for young cattle was very strong through all classes and categories. Restockers and feedlots competed strongly on the medium and heavy weight young cattle while restockers showed a confidence in the market going forward by bidding strongly on the lighter weights. All young cattle sold to dearer trends with most showings significant improvement. The yearling heifers posted some of the greater increases.

Processors also competed strongly for the well finished grown cattle with both the steers and heifers showing strong improvement. There was increased competition from feedlotters on suitable lines. It was a very good quality penning of well finished cows with the market much dearer and in line with what’s been happening elsewhere. There was increased competition from processors on bulls with substantially dearer prices achieved."
Yearling Heifer,330-400,Feeder,C,3,17,NQ,295.0,314.0,305.6470588235294,NQ,556.6,592.5,576.7,1076.8,1193.5,1152.2235179227941
Yearling Heifer,330-400,Processor,C,2,1,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,960.0,960.0,960
Yearling Heifer,330-400,Processor,C,3,6,1,305.0,305.0,305,102.0,575.5,575.5,575.5,1098.0,1098.0,1098
Yearling Heifer,330-400,Restocker,C,2,24,-4,270.0,326.0,322.9583333333333,108.7,519.2,626.9,621.1,1039.5,1304.0,1198.0625
Yearling Heifer,400+,Feeder,C,3,28,26,296.0,320.0,308.39285714285717,42.4,558.5,603.8,585.8,1213.6,1472.0,1358.7142857142858
Vealer Steer,0-200,Restocker,C,2,14,7,350.0,392.0,369,149.0,673.1,753.8,709.6,676.8,784.0,700.4000069754464
Vealer Steer,200-280,Restocker,C,2,77,NQ,330.0,382.0,371.8961038961039,NQ,634.6,734.6,715.2,836.0,1031.4,901.6207846108969
Vealer Steer,280-330,Restocker,C,2,2,NQ,334.0,352.0,343,NQ,642.3,676.9,659.6,1102.2,1108.8,1105.5
Vealer Heifer,0-200,Restocker,C,2,11,3,282.0,320.0,311.6363636363636,149.6,542.3,615.4,599.3,468.0,640.0,579.5272716175426
Vealer Heifer,0-200,Restocker,D,2,3,NQ,308.0,308.0,308,NQ,616.0,616.0,616.0,462.0,462.0,462
Vealer Heifer,200-280,Restocker,C,2,23,NQ,298.0,318.0,313.4782608695652,NQ,573.1,611.5,602.8,625.8,842.7,777.3782799762229
Grown Steer,0-400,Feeder,C,2,4,NQ,314.0,324.0,319,NQ,603.8,623.1,613.5,1146.1,1247.4,1196.75
Grown Steer,400-500,Feeder,C,2,4,-3,287.0,287.0,287,6.0,551.9,551.9,551.9,1176.7,1176.7,1176.699951171875
Grown Steer,400-500,Feeder,C,3,1,NC,300.0,300.0,300,20.0,555.6,555.6,555.6,1500.0,1500.0,1500
Grown Steer,400-500,Processor,C,4,4,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1457.0,1457.0,1457
Grown Steer,500-600,Feeder,C,2,4,NQ,274.0,274.0,274,NQ,507.4,507.4,507.4,1534.4,1534.4,1534.4000244140625
Grown Steer,500-600,Feeder,C,3,12,NQ,290.0,290.0,290,NQ,537.0,537.0,537.0,1508.0,1508.0,1508
Grown Steer,500-600,Processor,C,3,12,1,280.0,285.0,284.0833333333333,21.9,518.5,527.8,526.1,1505.2,1624.0,1571.7249959309895
Grown Steer,500-600,Restocker,C,3,1,NQ,265.0,265.0,265,NQ,509.6,509.6,509.6,1484.0,1484.0,1484
Grown Steer,600-750,Processor,C,4,3,NQ,290.0,306.0,300.6666666666667,NQ,537.0,566.7,556.8,1885.0,1927.8,1913.5333658854167
Grown Heifer,0-540,Feeder,C,2,2,-4,261.0,261.0,261,53.0,501.9,501.9,501.9,1096.2,1096.2,1096.199951171875
Grown Heifer,0-540,Feeder,C,3,6,-4,300.0,300.0,300,46.6,566.0,566.0,566.0,1290.0,1320.0,1305
Grown Heifer,0-540,Feeder,D,2,4,NQ,250.0,274.0,256,NQ,500.0,548.0,512.0,931.6,1050.0,1020.3999938964844
Grown Heifer,0-540,Processor,C,2,2,-4,240.0,240.0,240,-6.5,461.5,461.5,461.5,960.0,960.0,960
Grown Heifer,0-540,Processor,C,3,26,24,260.0,275.0,270.38461538461536,22.4,490.6,528.8,518.5,1196.0,1378.0,1313.2596153846155
Grown Heifer,0-540,Processor,D,3,21,5,230.0,265.0,257.04761904761904,44.1,451.0,519.6,504.0,897.0,1378.0,1267.076183500744
Grown Heifer,0-540,Restocker,C,2,3,1,297.0,297.0,297,87.0,594.0,594.0,594.0,980.1,980.1,980.0999348958334
Grown Heifer,0-540,Restocker,D,2,4,2,200.0,248.0,236,32.0,400.0,496.0,472.0,550.0,868.0,788.5
Grown Heifer,540+,Processor,C,3,6,4,276.0,278.0,277.3333333333333,28.3,524.5,530.8,526.6,1518.0,1612.4,1580.933349609375
Grown Heifer,540+,Processor,C,4,6,5,261.0,285.0,279.1666666666667,31.2,492.5,537.7,526.7,1590.4,1925.0,1667.8499959309895
Cows,400-520,Processor,D,2,4,-17,170.0,240.0,187.5,46.6,377.8,533.3,416.7,714.0,1200.0,835.5
Cows,400-520,Processor,D,3,28,-5,245.0,257.0,248.35714285714286,57.9,520.8,535.4,525.6,1145.4,1300.0,1225.7000034877233
Cows,400-520,Restocker,D,2,6,-49,240.0,251.0,245.5,82.9,533.3,557.8,545.6,1080.0,1255.0,1167.5
Cows,520+,Processor,D,3,47,29,220.0,271.0,261.40425531914894,53.7,468.1,547.9,530.4,1155.0,1663.2,1531.110637258976
Cows,520+,Processor,D,4,91,79,248.0,270.0,262.010989010989,43.5,500.0,540.0,526.8,1355.4,2040.0,1619.927484868647
Cows,520+,Processor,D,5,12,9,180.0,250.0,214.33333333333334,7.7,375.0,500.0,435.6,1350.0,1800.0,1502.1583353678386
Bulls,0-450,Processor,C,2,12,3,228.0,248.0,233.16666666666666,51.8,422.2,459.3,440.1,900.9,1116.0,944.5500284830729
Bulls,450-600,Processor,C,2,1,-2,246.0,246.0,246,67.3,455.6,455.6,455.6,1377.6,1377.6,1377.5999755859375
Bulls,600+,Processor,B,2,10,NC,265.0,282.0,274.5,58.7,473.2,503.6,490.2,1802.0,2749.5,2210.7050048828123
Bulls,600+,Processor,B,3,5,NQ,270.0,292.0,280.6,NQ,482.1,521.4,501.1,2320.0,2569.6,2433.92001953125
Bulls,600+,Processor,C,2,25,19,249.0,284.0,268.4,76.4,461.1,525.9,496.3,1612.0,2464.0,2042.6160009765624
