Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 18/01/2024
Comparison Date: 31/08/2023
Total Yarding: 1090 (+190)
Commentary
"Following good rain over the 6 week layoff between sales the numbers were well down. The first of the weaners were penned along with a good supply of yearlings and cows. Quite a few at the heavier end of the weight classes. The quality of the offering was generally good with the majority of the cattle presenting in good condition. There was a full field of buyers in attendance including some extra orders.

Demand for young cattle was very strong through all classes and categories. Restockers and feedlots competed strongly on the medium and heavy weight young cattle while restockers showed a confidence in the market going forward by bidding strongly on the lighter weights. All young cattle sold to dearer trends with most showings significant improvement. The yearling heifers posted some of the greater increases.

Processors also competed strongly for the well finished grown cattle with both the steers and heifers showing strong improvement. There was increased competition from feedlotters on suitable lines. It was a very good quality penning of well finished cows with the market much dearer and in line with what’s been happening elsewhere. There was increased competition from processors on bulls with substantially dearer prices achieved."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,3,-64,338.0,338.0,338,66.0,650.0,650.0,650.0,929.5,929.5,929.5
Yearling Steer,280-330,Restocker,C,2,46,16,326.0,376.0,344.9130434782609,89.4,626.9,723.1,663.3,929.1,1152.0,1040.7869395380435
Yearling Steer,330-400,Feeder,C,2,1,-36,318.0,318.0,318,33.1,611.5,611.5,611.5,1160.7,1160.7,1160.699951171875
Yearling Steer,330-400,Restocker,C,2,29,9,304.0,376.0,342.2068965517241,47.0,584.6,723.1,658.1,1099.0,1372.4,1255.1723927464977
Yearling Steer,400+,Feeder,C,2,27,-10,316.0,356.0,337.4074074074074,47.0,607.7,684.6,648.9,1376.0,1637.6,1544.429628725405
Yearling Steer,400+,Feeder,C,3,18,NQ,306.0,350.0,331.44444444444446,NQ,566.7,648.1,613.8,1575.0,1750.0,1698.022243923611
Yearling Steer,400+,Processor,C,3,1,NQ,290.0,290.0,290,NQ,537.0,537.0,537.0,1682.0,1682.0,1682
Yearling Steer,400+,Restocker,C,2,40,NQ,334.0,364.0,355.775,NQ,642.3,700.0,684.2,1369.4,1566.0,1516.2500274658203
Yearling Heifer,200-280,Restocker,C,2,8,-60,310.0,314.0,312.5,100.1,596.2,603.8,601.0,852.5,863.5,859.375
Yearling Heifer,200-280,Restocker,D,2,4,-57,286.0,286.0,286,58.4,572.0,572.0,572.0,657.8,657.8,657.7999877929688
Yearling Heifer,280-330,Feeder,C,2,19,NQ,292.0,311.0,302.94736842105266,NQ,561.5,598.1,582.6,963.6,1026.3,999.726318359375
Yearling Heifer,280-330,Restocker,C,2,82,58,272.0,330.0,312.3658536585366,96.3,523.1,634.6,600.7,775.2,1042.8,958.680479468369
Yearling Heifer,330-400,Feeder,C,2,26,-11,302.0,326.0,314.84615384615387,78.1,580.8,626.9,605.5,1026.8,1209.0,1160.688495342548
