Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 06/05/2024
Comparison Date: 29/04/2024
Total Yarding: 1780 (-195)
Commentary
"There was a small reduction in supply however the overall quality of the penning showed a vast improvement. This was particularly evident in the heavy grown cattle. Young cattle were also well supplied with some high quality heavy weight weaners penned. Not all regular restocker and feedlot orders were in place. Most regular processors were in attendance along with an extra order operating on heavy cattle.

Firm to dearer trends through the weaner steers to restock with some quality related price change. The heifer portion saw a slightly dearer trend. There was not a lot of change in trends for medium and heavy weight yearling steers to restock and feed with quality accounting for most price change. There were similar trends for the heifer portion with quality variation also accounting for price changes.

The quality of the heavy grown steers to process stood out while processors competed strongly. Prices showed strong improvement while quality showed little similarity to the small number last week. The well finished grown heifers sold to dearer trends in line with a quality improvement. Competition was strong in the cow market particularly the well finished cows showing high yield potential. A combination of factors contributed to significant price improvement on a firm to dearer market trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Processor,C,2,7,NC,255.0,255.0,255,-4.3,472.2,472.2,472.2,1351.5,1351.5,1351.5
Grown Steer,500-600,Processor,C,3,9,7,252.0,280.0,274.6666666666667,18.7,466.7,518.5,508.6,1456.0,1539.0,1475.0666639539932
Grown Steer,600-750,Processor,C,3,1,NC,278.0,278.0,278,28.0,514.8,514.8,514.8,1779.2,1779.2,1779.199951171875
Grown Steer,600-750,Processor,C,4,22,NQ,298.0,304.0,303.45454545454544,NQ,542.9,551.9,543.7,1907.2,2128.0,2107.9272682883525
Grown Heifer,0-540,Feeder,C,3,1,-22,300.0,300.0,300,68.1,566.0,566.0,566.0,1455.0,1455.0,1455
Grown Heifer,0-540,Feeder,D,2,8,-6,266.0,266.0,266,70.0,532.0,532.0,532.0,1117.2,1117.2,1117.199951171875
Grown Heifer,0-540,Processor,C,2,7,NQ,202.0,230.0,222,NQ,388.5,442.3,426.9,848.4,989.0,948.8285784040179
Grown Heifer,0-540,Processor,C,3,4,-40,282.0,282.0,282,37.9,532.1,532.1,532.1,1367.7,1367.7,1367.699951171875
Grown Heifer,0-540,Processor,C,4,13,NQ,266.0,290.0,281.0769230769231,NQ,501.9,547.2,530.3,1143.8,1566.0,1470.7538499098557
Grown Heifer,0-540,Processor,D,2,12,-19,188.0,200.0,189,8.8,376.0,400.0,378.0,700.0,770.8,764.8999837239584
Grown Heifer,0-540,Restocker,C,3,10,NQ,285.0,285.0,285,NQ,548.1,548.1,548.1,1182.8,1182.8,1182.75
Grown Heifer,0-540,Restocker,D,2,8,-16,276.0,276.0,276,75.8,552.0,552.0,552.0,1007.4,1007.4,1007.4000244140625
Grown Heifer,540+,Processor,C,3,2,1,265.0,270.0,267.5,-2.5,500.0,509.4,504.7,1484.0,1539.0,1511.5
Grown Heifer,540+,Processor,C,4,21,15,255.0,284.0,269.0952380952381,14.1,481.1,535.8,507.7,1450.4,1643.0,1512.4571707589287
Cows,400-520,Processor,D,2,87,41,155.0,213.0,189.7816091954023,15.6,344.4,473.3,419.7,635.5,1065.0,858.8011460578305
Cows,400-520,Processor,D,3,66,30,195.0,219.0,211.12121212121212,15.7,414.9,466.0,445.8,975.0,1138.8,1076.7621071555398
Cows,400-520,Processor,D,4,2,1,222.0,222.0,222,47.0,444.0,444.0,444.0,1154.4,1154.4,1154.4000244140625
Cows,400-520,Restocker,D,2,104,33,170.0,214.0,203.7403846153846,13.5,377.8,475.6,452.8,731.0,1016.5,930.5144230769231
Cows,400-520,Restocker,D,3,5,-3,208.0,208.0,208,22.8,433.3,433.3,433.3,1040.0,1040.0,1040
Cows,520+,Processor,C,3,1,NC,230.0,230.0,230,11.0,442.3,442.3,442.3,1955.0,1955.0,1955
Cows,520+,Processor,C,4,51,NQ,230.0,241.0,236.54901960784315,NQ,442.3,464.0,457.4,1495.0,1638.8,1590.8627594592524
Cows,520+,Processor,D,3,54,31,190.0,231.0,216.7037037037037,20.2,395.8,476.6,451.7,1026.0,1293.6,1179.185171621817
Cows,520+,Processor,D,4,37,-65,210.0,236.0,223.24324324324326,21.3,434.0,472.0,449.3,1155.0,1541.0,1297.945945945946
Cows,520+,Processor,D,5,1,-21,205.0,205.0,205,22.1,427.1,427.1,427.1,1107.0,1107.0,1107
Cows,520+,Restocker,D,2,6,NQ,175.0,175.0,175,NQ,388.9,388.9,388.9,927.5,927.5,927.5
Bulls,0-450,Processor,C,2,12,NQ,265.0,304.0,291,NQ,509.6,584.6,559.6,689.0,988.0,888.3333333333334
Bulls,600+,Processor,B,2,3,NC,220.0,232.0,227.33333333333334,12.3,392.9,414.3,406.0,1725.0,2320.0,1971.6666666666667
Bulls,600+,Processor,C,2,9,-1,165.0,230.0,188.22222222222223,-14.9,305.6,425.9,348.6,1204.5,2001.0,1426.866672092014
Bulls,600+,Processor,D,2,1,-4,155.0,155.0,155,-9.8,298.1,298.1,298.1,1201.3,1201.3,1201.25
