Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 27/05/2024
Comparison Date: 20/05/2024
Total Yarding: 2050 (-200)
Commentary
"There was a small reduction in numbers with unproductive cows plentiful. Yearlings heifers also saw an increase in numbers. The overall quality of the offering was very mixed as was quality. There were some very well finished cattle to suit processors however a large portion of the penning were showing the effects of the cooler weather. Not all regular processors were in attendance however all the regular feedlot orders were in place.

There were varying trends through the young cattle with restocker steers weaners selling on a firm to cheaper trend. The better quality lines showing little change. The trend was similar for the heifer portion. Light weight yearling steers sold to cheaper trends. Medium weight steers experienced little change however the heavy weight feeder steers saw a firm to dearer trend with breed and quality contributing.  Medium and heavy weight yearling heifers to feed saw a firm to cheaper trend with a greater emphasis placed on the heavier weights. The increased supply brought about a large quality related price change in the negative on the medium weights.

There were too few well finished heavy grown steers to quote. The well finished grown heifers to process sold to cheaper trends with prices showing a moderate fall. The plain condition cows were least affected in a cheaper market trend. They were somewhat underpinned by restocker activity. The well finished cows met with weaker demand from processors to show significant price reductions."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,D,2,4,-2,225.0,225.0,225,-25.0,450.0,450.0,450.0,596.3,596.3,596.25
Yearling Steer,280-330,Restocker,C,2,18,9,255.0,330.0,275.8333333333333,-62.8,490.4,634.6,530.4,841.5,1023.0,891.9166666666666
Yearling Steer,330-400,Feeder,C,2,43,4,330.0,350.0,340.6279069767442,0.3,634.6,673.1,655.1,1139.0,1384.0,1219.8976766896803
Yearling Steer,330-400,Processor,C,2,3,NQ,258.0,258.0,258,NQ,496.2,496.2,496.2,980.4,980.4,980.4000651041666
Yearling Steer,330-400,Restocker,C,2,16,3,368.0,368.0,368,-3.8,707.7,707.7,707.7,1361.6,1361.6,1361.5999755859375
Yearling Steer,400+,Feeder,C,2,67,6,314.0,372.0,344.6865671641791,7.3,603.8,715.4,662.9,1377.6,1748.4,1584.8716457993237
Yearling Steer,400+,Feeder,C,3,17,1,310.0,365.0,343.11764705882354,24.1,574.1,675.9,635.4,1561.5,1792.8,1662.8882553998162
Yearling Steer,400+,Processor,C,3,3,-8,320.0,345.0,328.3333333333333,5.0,592.6,638.9,608.0,1376.0,1673.3,1475.0833333333333
Yearling Steer,400+,Restocker,C,2,4,NQ,202.0,202.0,202,NQ,388.5,388.5,388.5,828.2,828.2,828.2000122070312
Yearling Heifer,200-280,Processor,D,2,10,6,148.0,148.0,148,14.0,296.0,296.0,296.0,310.8,310.8,310.8
Yearling Heifer,200-280,Restocker,D,2,2,NQ,250.0,250.0,250,NQ,500.0,500.0,500.0,625.0,625.0,625
Yearling Heifer,280-330,Feeder,D,2,6,NQ,170.0,170.0,170,NQ,340.0,340.0,340.0,510.0,510.0,510
