Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,540+,Processor,C,4,13,-5,320.0,341.0,332.9230769230769,-12.1,603.8,643.4,628.2,1824.0,1909.6,1876.6769080528845
Grown Heifer,540+,Processor,C,5,1,NQ,338.0,338.0,338,NQ,637.7,637.7,637.7,2298.4,2298.4,2298.39990234375
Grown Heifer,540+,Processor,D,3,3,NQ,315.0,315.0,315,NQ,617.6,617.6,617.6,1795.5,1795.5,1795.5
Cows,0-400,Processor,D,2,21,5,272.0,272.0,272,90.5,604.4,604.4,604.4,1088.0,1088.0,1088
Cows,400-520,Feeder,D,2,35,NQ,268.0,288.0,279.74285714285713,NQ,595.6,640.0,621.7,1237.5,1440.0,1339.602863420759
Cows,400-520,Feeder,D,3,14,1,284.0,284.0,284,-6.2,591.7,591.7,591.7,1476.8,1476.8,1476.800083705357
Cows,400-520,Processor,D,2,45,42,240.0,277.0,260.77777777777777,15.8,533.3,615.6,579.5,1016.8,1288.1,1201.9744737413193
Cows,400-520,Processor,D,3,93,-12,244.0,293.0,268.8709677419355,-13.0,519.1,610.4,566.6,1183.4,1523.6,1327.5392593876009
Cows,520+,Feeder,D,3,15,-15,296.0,296.0,296,16.7,616.7,616.7,616.7,1598.4,1598.4,1598.4
Cows,520+,Processor,C,3,1,-4,308.0,308.0,308,13.2,603.9,603.9,603.9,1872.6,1872.6,1872.6400146484375
Cows,520+,Processor,D,3,72,40,275.0,303.0,290.1666666666667,14.1,572.9,606.3,598.2,1457.5,1914.0,1745.5888773600261
Cows,520+,Processor,D,4,132,-144,290.0,312.0,303.34090909090907,5.1,590.0,624.0,608.3,1650.0,2226.5,1875.7276518850615
Cows,520+,Processor,D,5,24,NQ,290.0,297.0,295.5833333333333,NQ,580.0,618.8,614.8,1957.5,2058.0,2040.074951171875
Bulls,0-450,Processor,C,2,12,-9,276.0,328.0,305.5,33.8,530.8,607.7,571.1,1009.8,1368.0,1194.5000254313152
Bulls,450-600,Processor,C,2,7,5,266.0,296.0,280.2857142857143,22.8,475.0,548.1,516.5,1404.0,1658.8,1496.4400111607142
Bulls,600+,Processor,B,2,2,-2,300.0,303.0,301.5,6.0,535.7,541.1,538.4,2181.6,2250.0,2215.800048828125
Bulls,600+,Processor,B,3,6,-1,280.0,314.0,293.3333333333333,4.9,500.0,560.7,523.8,1938.0,2755.0,2417.3333333333335
Bulls,600+,Processor,B,4,3,NQ,295.0,320.0,303.3333333333333,NQ,526.8,571.4,541.7,2802.5,3360.0,2988.3333333333335
Bulls,600+,Processor,C,2,22,18,256.0,300.0,275.8181818181818,-2.2,474.1,555.6,510.8,1732.4,2707.5,2149.2022760564632
