Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 14/04/2025
Comparison Date: 07/04/2025
Total Yarding: 2517 (+396)
Commentary
"Numbers lifted this sale with agents yarding 2517 head. Quality continues to be mixed with some good lines of well bred cattle offered along with the secondary lines. The usual buyers were present and competing in a mostly easier market. 

Yearling steers were the exception lifting 5 to 10c/kg to sell from 343 to 438c/kg for middle and heavyweights to feed. Those to processors received from 300 to 390c/kg. 
The heifer portion to feed ranged from 322 to 370c with finished lines receiving from 300 to 390c/kg. 

Heavy steers and bullocks sold from 343 to 400c/kg. Grown heifers received from 290 to 371c/kg. A large offering of cows saw prices ease 10c with heavy 2 score from 259 to 286c and 3 score 281 to 335c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,23,NQ,440.0,440.0,440,NQ,814.8,814.8,814.8,1232.0,1232.0,1232
Yearling Steer,200-280,Restocker,C,2,42,31,341.0,420.0,377.9761904761905,-19.9,631.5,777.8,700.0,784.3,1176.0,966.7261846633185
Yearling Steer,280-330,Feeder,C,2,21,NQ,390.0,400.0,391.42857142857144,NQ,722.2,740.7,724.9,1200.0,1248.0,1241.142857142857
Yearling Steer,280-330,Restocker,C,2,19,NQ,360.0,370.0,366.8421052631579,NQ,666.7,685.2,679.3,1110.0,1152.0,1123.2631578947369
Yearling Steer,330-400,Feeder,C,2,225,30,351.6,438.2,397.2417827690972,14.4,651.1,811.5,735.6,1295.0,1688.0,1512.8647026909723
Yearling Steer,330-400,Feeder,C,3,135,79,365.0,428.0,408.76740813078703,-10.5,675.9,792.6,757.0,1400.0,1688.0,1584.4550925925926
Yearling Steer,330-400,Processor,C,3,27,25,355.0,400.0,370.11112015335647,-8.0,657.4,740.7,685.4,1321.9,1520.0,1402.2288953993057
Yearling Steer,330-400,Restocker,C,2,36,31,350.0,390.0,380.72222222222223,43.5,648.1,722.2,705.0,1190.0,1365.0,1322.6222330729167
Yearling Steer,330-400,Restocker,C,3,27,NQ,377.0,396.2,387.6666666666667,NQ,698.1,733.7,717.9,1432.6,1465.9,1451.1221788194443
Yearling Steer,400+,Feeder,C,2,182,4,343.0,424.6,402.8901098901099,6.5,635.2,786.3,746.1,1440.6,1835.7,1697.1531700721155
Yearling Steer,400+,Feeder,C,3,136,77,370.0,429.2,412.6941241096048,-6.6,685.2,794.8,764.2,1591.0,1931.4,1758.8373592601104
Yearling Steer,400+,Processor,C,3,59,19,370.0,412.2,385.8678019895392,14.7,685.2,763.3,714.6,1554.0,2241.1,1869.2739009533898
Yearling Heifer,200-280,Restocker,C,2,21,17,308.0,322.0,319.3333333333333,-0.7,570.4,596.3,591.4,772.8,831.6,783.9999767485119
Yearling Heifer,280-330,Feeder,C,3,7,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,1122.0,1122.0,1122
Yearling Heifer,280-330,Processor,C,3,14,6,300.0,335.0,326.42857142857144,-16.1,555.6,620.4,604.5,990.0,1005.0,992.1428571428571
Yearling Heifer,280-330,Restocker,C,2,37,26,324.2,345.0,336.9621713999155,13.8,600.4,638.9,624.0,1005.0,1035.0,1026.8664880701012
Yearling Heifer,330-400,Feeder,C,2,34,-4,322.4,340.0,333.88235294117646,-30.9,597.0,629.6,618.3,1128.4,1312.0,1197.8235294117646
Yearling Heifer,330-400,Feeder,C,3,208,124,324.6,370.0,358.41346271221454,-3.2,601.1,685.2,663.7,1156.0,1443.0,1346.153280404898
Yearling Heifer,330-400,Feeder,D,2,3,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,918.0,918.0,918
Yearling Heifer,330-400,Processor,C,3,38,29,340.0,395.2,360.0552673339844,27.2,629.6,731.9,666.8,1156.0,1580.8,1330.0681634200246
Yearling Heifer,330-400,Restocker,C,2,37,13,370.0,370.0,370,48.7,685.2,685.2,685.2,1332.0,1332.0,1332
Yearling Heifer,400+,Feeder,C,2,11,-50,350.0,350.0,350,7.6,648.1,648.1,648.1,1435.0,1435.0,1435
Yearling Heifer,400+,Feeder,C,3,52,12,355.0,370.0,362.44615760216345,-5.4,657.4,685.2,671.2,1455.5,1887.0,1639.4138559194712
Yearling Heifer,400+,Processor,C,2,19,NQ,318.2,320.0,319.5263157894737,NQ,589.3,592.6,591.7,1312.0,1400.1,1335.1789422286183
Yearling Heifer,400+,Processor,C,3,62,1,300.0,390.0,353.4419378465222,-7.3,555.6,722.2,654.5,1410.0,1796.2,1610.7286947927166
Grown Steer,400-500,Processor,C,3,41,39,343.0,343.0,343,-23.0,635.2,635.2,635.2,1612.1,1612.1,1612.100038109756
Grown Steer,500-600,Processor,C,3,26,19,370.0,370.0,370,5.0,685.2,685.2,685.2,1961.0,1961.0,1961
Grown Heifer,0-540,Processor,C,2,5,-26,295.0,295.0,295,-21.4,546.3,546.3,546.3,1416.0,1416.0,1416
Grown Heifer,0-540,Processor,C,3,6,-22,345.0,355.0,353.3333333333333,21.7,638.9,657.4,654.3,1794.0,1917.0,1878.75
Grown Heifer,0-540,Processor,D,2,36,NQ,255.0,255.0,255,NQ,472.2,472.2,472.2,1224.0,1224.0,1224
Grown Heifer,540+,Processor,C,2,29,NQ,290.5,312.0,303.3448275862069,NQ,538.0,577.8,561.7,1680.0,1996.8,1856.4758890086207
Grown Heifer,540+,Processor,C,3,53,37,300.0,371.2,349.98113437868517,-10.2,555.6,687.4,648.1,1920.0,2375.7,2196.9727944428064
Cows,400-520,Processor,D,2,26,1,252.0,260.2,253.8076946551983,-29.5,504.0,520.4,507.6,1260.0,1276.0,1266.0361703725962
Cows,520+,Processor,D,2,99,-29,259.2,286.0,274.6787923177083,-15.4,518.4,572.0,549.4,1436.4,1773.2,1546.7420099431818
Cows,520+,Processor,D,3,318,29,281.6,335.2,305.0823924706417,-9.7,563.2,670.4,610.2,1515.8,2411.5,2013.3294009802476
Cows,520+,Restocker,D,3,5,NQ,295.0,295.0,295,NQ,590.0,590.0,590.0,1976.5,1976.5,1976.5
Bulls,600+,Processor,C,2,9,-18,275.0,316.6,303.2888895670573,-16.2,509.3,586.3,561.6,1885.0,3370.5,2723.168891059028
