Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Naracoorte
Report Date: 01/10/2024
Comparison Date: 24/09/2024
Total Yarding: 974 (+217)
Commentary
"Numbers increased to 974 cattle to boost supply by 25pc on a week ago. There was bigger lines available, particularly in the grown heifers and steer sections to suit feedlots. The market trend was generally firm to dearer, although there was still a selective tone to bidding and there was some young cattle there were judged to be softer in places. The positive was the return of two export orders that have been absent in recent weeks although they really didn’t impact results only buying limited numbers.  Not quite half the yarding was cows and the best pens showing plenty of weight and condition were firm, however the plainer mid and third run of cows were sometimes a few cents easier.

The pick of the grain fed yearlings sold to 398c/kg and the better types of young steers and heifers to the trade were generally in the range of 360c to 390c/kg. Underneath this was a lot of sales from 310c to 370c for heifers and steers selling to a mix of processors, feedlot orders and the regular restocking interest from the south and Victoria. Secondary animals and odd lots of a couple of head 250c to 280c/kg.

Quality improved in the grown steer section which helped support prices to a top of 393c/kg for hard finished heavy steers to processors. Feedlots paid from 350c to 384c/kg for steers with frame and weight, while competition for feeder heifers was more robust at a top of 375c/kg to average 356c/kg over the main run.

In the cow run exporters consistently paid from 310c to 330c/kg for penlots of heavy cows in prime score 3 and 4 condition, just a few sales higher to a top of 338c/kg. Where the market showed a little more variance was on the mid-run of cows with less fat cover and yield, prices varying from 240c to 290c/kg for most.

Note: this is a preliminary report and subject to change.

Market reporter: Jenny Kelly"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,D,2,3,NQ,255.0,260.0,258.3333333333333,NQ,500.0,520.0,513.3,650.0,675.8,658.5833333333334
Yearling Steer,280-330,Restocker,C,2,18,NQ,302.0,330.0,315.44444444444446,NQ,580.8,634.6,606.6,884.5,1062.6,978.5333251953125
Yearling Steer,330-400,Feeder,C,2,23,NQ,302.0,372.0,351.7826086956522,NQ,569.8,701.9,663.7,1026.8,1339.2,1244.6478324558425
Yearling Steer,330-400,Feeder,C,3,3,-4,360.0,380.0,370.6666666666667,13.2,679.2,703.7,690.6,1231.2,1349.0,1300.2666422526042
Yearling Steer,330-400,Processor,C,3,1,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,1207.0,1207.0,1207
Yearling Steer,330-400,Processor,C,4,1,NQ,398.0,398.0,398,NQ,710.7,710.7,710.7,1592.0,1592.0,1592
Yearling Steer,330-400,Restocker,C,2,18,NQ,335.0,335.0,335,NQ,632.1,644.2,638.8,1239.5,1239.5,1239.5
Yearling Steer,330-400,Restocker,D,2,1,NQ,255.0,255.0,255,NQ,490.4,490.4,490.4,854.3,854.3,854.25
Yearling Steer,400+,Feeder,C,2,29,NQ,335.0,388.0,362.9655172413793,NQ,644.2,732.1,689.9,1474.0,1707.2,1609.8068426724137
Yearling Steer,400+,Feeder,C,3,40,19,333.0,376.0,358.5,-20.7,628.3,709.4,672.5,1498.5,2100.0,1748.27998046875
Yearling Steer,400+,Processor,C,3,8,6,353.0,353.0,353,-179.0,641.8,653.7,647.8,1623.8,1623.8,1623.800048828125
Yearling Steer,400+,Processor,C,4,13,NQ,350.0,380.0,360.7692307692308,NQ,636.4,678.6,652.1,1633.0,1942.5,1804.9615384615386
Yearling Heifer,200-280,Restocker,D,2,25,NQ,295.0,295.0,295,NQ,578.4,578.4,578.4,796.5,796.5,796.5
Yearling Heifer,280-330,Processor,C,3,2,NQ,305.0,305.0,305,NQ,564.8,564.8,564.8,884.5,884.5,884.5
Yearling Heifer,280-330,Restocker,C,2,3,NQ,275.0,275.0,275,NQ,528.8,528.8,528.8,858.0,858.0,858
Yearling Heifer,280-330,Restocker,D,2,18,NQ,254.0,330.0,297.1111111111111,NQ,508.0,647.1,583.7,762.0,1056.0,935.3333333333334
Yearling Heifer,280-330,Restocker,D,3,5,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,930.0,930.0,930
Yearling Heifer,330-400,Feeder,D,2,1,NQ,290.0,290.0,290,NQ,568.6,568.6,568.6,986.0,986.0,986
Yearling Heifer,330-400,Feeder,D,3,6,NQ,335.0,352.0,349.1666666666667,NQ,644.2,676.9,671.5,1179.2,1196.8,1193.8666585286458
Yearling Heifer,330-400,Processor,C,4,2,NQ,350.0,390.0,370,NQ,648.1,709.1,678.6,1204.0,1365.0,1284.5
Yearling Heifer,330-400,Processor,D,3,6,NQ,295.0,355.0,321.1666666666667,NQ,567.3,657.4,605.7,1003.0,1313.5,1206.9833374023438
Yearling Heifer,330-400,Restocker,D,2,5,NQ,330.0,330.0,330,NQ,634.6,634.6,634.6,1161.6,1161.6,1161.6
Yearling Heifer,330-400,Restocker,D,3,9,NQ,338.0,338.0,338,NQ,637.7,637.7,637.7,1267.5,1267.5,1267.5
Yearling Heifer,400+,Feeder,D,2,10,NQ,330.0,330.0,330,NQ,634.6,634.6,634.6,1551.0,1551.0,1551
Yearling Heifer,400+,Processor,C,3,5,-7,350.0,350.0,350,3.3,636.4,636.4,636.4,1487.5,1487.5,1487.5
Yearling Heifer,400+,Processor,C,4,8,NQ,370.0,370.0,370,NQ,672.7,672.7,672.7,1665.0,1665.0,1665
Vealer Heifer,280-330,Restocker,D,2,1,NQ,180.0,180.0,180,NQ,360.0,360.0,360.0,522.0,522.0,522
Vealer Heifer,330+,Processor,C,3,1,NQ,370.0,370.0,370,NQ,685.2,685.2,685.2,1272.8,1272.8,1272.800048828125
Manufacturing Steer,0-540,Processor,D,2,1,NQ,268.0,268.0,268,NQ,536.0,536.0,536.0,967.5,967.5,967.47998046875
Manufacturing Steer,0-540,Restocker,D,2,7,NQ,270.0,286.0,274.57142857142856,NQ,540.0,572.0,549.1,972.4,1188.0,1126.4000069754463
Grown Steer,500-600,Feeder,C,2,10,NQ,356.0,370.0,360,NQ,671.7,698.1,679.2,1897.4,2016.5,1929.780029296875
