Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,0-200,Restocker,D,2,2,NQ,265.0,265.0,265,NQ,509.6,509.6,509.6,477.0,477.0,477
Vealer Steer,200-280,Feeder,E,2,27,NQ,206.0,206.0,206,NQ,396.2,396.2,396.2,422.3,422.3,422.2999855324074
Vealer Steer,200-280,Restocker,C,2,10,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,552.0,552.0,552
Vealer Steer,200-280,Restocker,D,2,29,NQ,244.0,284.0,277.1034482758621,NQ,469.2,546.2,532.9,573.4,596.4,586.5586442618535
Vealer Heifer,0-200,Processor,D,2,3,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,346.5,346.5,346.5
Vealer Heifer,0-200,Restocker,D,2,48,NQ,186.0,266.0,250,NQ,357.7,511.5,480.8,288.3,430.9,418.9083366394043
Vealer Heifer,0-200,Restocker,E,2,17,NQ,70.0,180.0,173.52941176470588,NQ,137.3,346.2,333.9,84.0,279.0,267.52941176470586
Vealer Heifer,200-280,Feeder,C,2,13,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,528.0,528.0,528
Vealer Heifer,200-280,Feeder,D,2,10,NQ,140.0,210.0,181,NQ,269.2,403.8,348.1,287.0,514.5,422.65
Vealer Heifer,200-280,Feeder,E,2,4,NQ,170.0,170.0,170,NQ,326.9,326.9,326.9,365.5,365.5,365.5
Vealer Heifer,200-280,Processor,C,2,5,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,567.0,567.0,567
Vealer Heifer,200-280,Processor,D,2,3,NQ,140.0,220.0,166.66666666666666,NQ,269.2,423.1,320.5,308.0,561.0,392.3333333333333
Vealer Heifer,200-280,Restocker,C,2,15,NQ,228.0,228.0,228,NQ,438.5,438.5,438.5,467.4,581.4,513.0000162760417
Vealer Heifer,200-280,Restocker,D,2,16,NQ,196.0,200.0,196.5,NQ,376.9,384.6,377.9,460.6,470.0,461.7749938964844
Vealer Heifer,200-280,Restocker,E,2,1,NQ,60.0,60.0,60,NQ,115.4,115.4,115.4,132.0,132.0,132
Vealer Heifer,280-330,Feeder,C,2,7,NQ,244.0,244.0,244,NQ,469.2,469.2,469.2,756.4,756.4,756.4000418526786
Vealer Heifer,330+,Feeder,C,2,5,NQ,256.0,256.0,256,NQ,483.0,483.0,483.0,870.4,870.4,870.4
Manufacturing Steer,0-540,Feeder,E,1,2,NQ,60.0,100.0,80,NQ,120.0,200.0,160.0,243.0,405.0,324
Manufacturing Steer,0-540,Feeder,E,2,1,NQ,258.0,258.0,258,NQ,496.2,496.2,496.2,1057.8,1057.8,1057.800048828125
Manufacturing Steer,0-540,Processor,D,1,4,NQ,264.0,264.0,264,NQ,507.7,507.7,507.7,1029.6,1029.6,1029.5999755859375
Manufacturing Steer,0-540,Processor,D,2,6,NQ,268.0,276.0,272.3333333333333,NQ,509.4,530.8,522.1,1246.2,1458.0,1295.5
Manufacturing Steer,0-540,Processor,D,3,13,NQ,268.0,304.0,293.38461538461536,NQ,505.7,573.6,553.6,1353.4,1611.2,1512.2384033203125
Manufacturing Steer,0-540,Processor,E,2,3,NQ,152.0,168.0,162.66666666666666,NQ,298.0,329.4,319.0,613.2,623.2,616.5333455403646
Manufacturing Steer,0-540,Processor,E,3,3,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,936.0,936.0,936
Manufacturing Steer,540+,Processor,C,3,6,-4,322.0,324.0,323,3.0,596.3,600.0,598.1,1867.6,1960.2,1913.89990234375
Manufacturing Steer,540+,Processor,C,4,3,NQ,318.0,318.0,318,NQ,588.9,588.9,588.9,1812.6,1812.6,1812.5999348958333
Manufacturing Steer,540+,Processor,D,3,9,NQ,266.0,304.0,292.6666666666667,NQ,492.6,563.0,542.0,1622.6,1687.2,1676.8221435546875
Manufacturing Steer,540+,Processor,D,4,6,NQ,288.0,304.0,301.3333333333333,NQ,543.4,563.0,559.7,1699.2,1763.2,1752.5333251953125
Grown Steer,0-400,Live Export,D,2,8,NQ,234.0,270.0,261,NQ,450.0,519.2,501.9,737.1,985.5,923.3999938964844
Grown Steer,0-400,Processor,D,2,11,NQ,238.0,280.0,265.27272727272725,NQ,457.7,538.5,511.9,880.6,1120.0,1032.0908868963068
Grown Steer,0-400,Processor,D,3,1,NQ,282.0,282.0,282,NQ,532.1,532.1,532.1,1113.9,1113.9,1113.9000244140625
Grown Steer,0-400,Restocker,D,1,1,NQ,228.0,228.0,228,NQ,447.1,447.1,447.1,798.0,798.0,798
Grown Steer,0-400,Restocker,D,2,1,NQ,224.0,224.0,224,NQ,430.8,430.8,430.8,694.4,694.4,694.4000244140625
Grown Steer,0-400,Restocker,E,2,1,NQ,124.0,124.0,124,NQ,243.1,243.1,243.1,409.2,409.2,409.20001220703125
Grown Steer,400-500,Feeder,D,2,18,NQ,256.0,300.0,286,NQ,492.3,576.9,550.0,1049.6,1440.0,1313.6888834635417
Grown Steer,400-500,Feeder,D,3,20,NQ,290.0,290.0,290,NQ,547.2,547.2,547.2,1348.5,1348.5,1348.5
Grown Steer,400-500,Live Export,D,2,2,NQ,266.0,266.0,266,NQ,511.5,511.5,511.5,1090.6,1090.6,1090.5999755859375
Grown Steer,400-500,Live Export,D,3,16,NQ,299.0,299.0,299,NQ,564.2,564.2,564.2,1405.3,1405.3,1405.300048828125
Grown Steer,400-500,Processor,C,3,10,NQ,284.0,284.0,284,NQ,535.8,535.8,535.8,1363.2,1363.2,1363.2
Grown Steer,400-500,Processor,D,3,10,NQ,262.0,298.0,281,NQ,494.3,562.3,530.2,1196.8,1460.2,1344.4599853515624
Grown Steer,400-500,Processor,E,2,1,NQ,256.0,256.0,256,NQ,492.3,492.3,492.3,1088.0,1088.0,1088
Grown Steer,500-600,Feeder,D,3,10,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,1581.0,1581.0,1581
