Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 07/01/2025
Comparison Date: 17/12/2024
Total Yarding: 2114 (-14)
Commentary
"Numbers were similar to the last sale of 2024 at 2114 with all of the regular buyers competing in a dearer market. Quality was good in the young cattle and limited in the grown. Trade cattle lifted 15c to 20c/kg with secondary lots to feeder orders gaining more. Grown cattle improved from 20c to 35c/kg. Cows lifted 15c to 35c/kg. 

Vealers sold from 290c to 390c/kg. Yearling trade steers made between 360c and 376c/kg. Yearling heifers to the trade sold between 320c and 360c/kg. Grown steers made from 360c to 393c/kg. Bullocks sold from 375c to 400c/kg. 

Heavy friesian manufacturing steers made between 308c and 337c with the crossbred portion between 332c and 385c/kg. Most light and medium weight cows sold between 240c and 290c/kg. Heavy weight cows made mostly from 270c to 324c/kg. Heavy bulls sold from 260c to 325c/kg.

Market reporter : Brendan Fletcher"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,520+,Dairy,D,1,34,-9,262.0,283.0,272.52941176470586,27.9,569.6,615.2,592.5,1441.0,1932.0,1622.5441176470588
Cows,520+,Dairy,D,2,51,-14,282.0,306.0,293.29411764705884,30.0,587.5,637.5,611.0,1859.0,2317.3,2094.9313725490197
Cows,520+,Dairy,E,1,54,13,248.0,268.0,263.14814814814815,34.8,563.6,609.1,598.1,1377.0,1608.0,1505.188892505787
Cows,520+,Processor,D,2,22,-36,295.0,300.0,298.6363636363636,27.7,602.0,625.0,618.7,1680.0,2065.0,1803.409090909091
Cows,520+,Processor,D,3,48,-38,288.0,310.0,299.75,13.5,576.0,620.0,599.5,1691.2,1885.0,1781.7937418619792
Cows,520+,Processor,D,4,146,-77,305.0,324.0,318.86301369863014,25.9,598.0,635.3,625.2,1830.0,2430.0,2137.1198630136987
Bulls,600+,Dairy,D,2,20,7,260.0,282.0,274.9,30.5,500.0,542.3,528.7,1807.0,2380.0,2159.325
Bulls,600+,Processor,B,2,5,NC,303.0,396.0,328.4,60.4,522.4,682.8,566.2,2437.5,3564.0,2826.6
Bulls,600+,Processor,C,2,11,-6,270.0,310.0,285.6363636363636,27.9,482.1,553.6,510.1,1872.0,2655.0,2129.5454545454545
Bulls,600+,Processor,C,3,9,-4,285.0,310.0,294.55555555555554,27.6,500.0,543.9,516.8,2137.5,2790.0,2408.6666666666665
