Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 28/01/2025
Comparison Date: 
Total Yarding: 763 (NQ)
Commentary
"Cattle supplies were back to a conservative volume today. Quality declined both in the breed component and fewer finished bodies suited for processing and this was reflected in values.  Most lots on offer were either in feedlot or return to paddock condition with Live shipping buying the lighter calves with good cover.
Vealer steers sold from 150c to a top of 340c while vealer heifers ranged from 60c to 260c all quality dependent.  Yearling steers made 180c to 300c while Yearling heifers sold from 60c to 278c/kg.
Grown steers returned 250 to 288c while grown heifers made 220c to 270c/kg.  Plain cows sold from 80c to 180c, medium cows from 180c to 200c and prime cows up to 244c with one exceptional cow topping at 250c/kg.
Bulls returning to the paddock sold from 100c to 180c while shipping bulls made 180c to 304c and slaughter bulls returned 150c to 240c/kg.
Terry Birkin MLA."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,280-330,Live Export,C,3,7,NQ,250.0,260.0,252.85714285714286,NQ,480.8,500.0,486.3,707.5,793.0,731.9285714285714
Grown Steer,0-400,Feeder,C,3,5,NQ,260.0,260.0,260,NQ,472.7,472.7,472.7,988.0,988.0,988
Grown Steer,0-400,Feeder,D,3,8,NQ,260.0,260.0,260,NQ,490.6,490.6,490.6,1014.0,1014.0,1014
Grown Steer,400-500,Feeder,C,3,1,-5,270.0,270.0,270,8.0,490.9,490.9,490.9,1231.2,1231.2,1231.199951171875
Grown Steer,400-500,Processor,C,3,6,-4,288.0,288.0,288,-15.2,523.6,523.6,523.6,1402.6,1402.6,1402.56005859375
Grown Steer,600-750,Processor,C,3,3,2,250.0,256.0,252,-18.0,454.5,465.5,458.2,1740.8,1780.0,1766.933349609375
Grown Heifer,0-540,Feeder,C,3,7,-2,220.0,270.0,259.42857142857144,-6.3,423.1,519.2,498.9,858.0,1209.6,1128.8571602957588
Cows,0-400,Feeder,D,2,2,-26,100.0,100.0,100,-80.2,217.4,217.4,217.4,326.0,326.0,326
Cows,0-400,Processor,D,2,25,8,80.0,150.0,115.6,-56.8,173.9,312.5,244.5,223.2,571.5,405.9839990234375
Cows,0-400,Processor,D,3,1,-3,222.0,222.0,222,72.0,444.0,444.0,444.0,803.6,803.6,803.6400146484375
Cows,400-520,Feeder,D,2,4,-7,120.0,170.0,157,-18.6,250.0,354.2,327.1,588.0,782.0,707.6799926757812
Cows,400-520,Processor,D,2,24,-29,144.0,182.0,178.41666666666666,-2.8,313.0,379.2,372.2,633.6,896.4,762.2908223470052
Cows,400-520,Processor,D,3,18,-38,186.0,224.0,207.11111111111111,-3.4,387.5,448.0,415.9,802.0,1097.6,955.4310845269097
Cows,520+,Feeder,D,2,7,NQ,182.0,182.0,182,NQ,379.2,379.2,379.2,1081.1,1081.1,1081.0799386160713
Cows,520+,Processor,D,2,7,-19,188.0,196.0,193.71428571428572,-11.7,391.7,408.3,403.6,1020.8,1103.5,1079.8685651506696
Cows,520+,Processor,D,3,47,-93,180.0,250.0,216.74468085106383,-18.3,360.0,500.0,433.5,1090.6,1701.0,1337.2242743309507
Bulls,0-450,Live Export,C,3,37,7,180.0,304.0,284.7567567567568,10.8,327.3,552.7,517.7,415.8,932.4,803.6486519478462
Bulls,0-450,Live Export,D,2,2,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,592.0,592.0,592
Bulls,0-450,Live Export,D,3,54,36,200.0,288.0,253.2962962962963,-24.7,377.4,543.4,477.9,503.1,886.2,725.812585901331
Bulls,0-450,Processor,C,3,1,-1,176.0,176.0,176,-66.0,320.0,320.0,320.0,707.5,707.5,707.52001953125
Bulls,0-450,Processor,D,2,6,NQ,150.0,150.0,150,NQ,300.0,300.0,300.0,459.0,459.0,459
Bulls,0-450,Processor,D,3,11,NC,144.0,200.0,184.36363636363637,-71.1,271.7,377.4,347.9,513.0,888.0,741.3054532137784
Bulls,0-450,Restocker,C,3,1,NQ,160.0,160.0,160,NQ,290.9,290.9,290.9,371.2,371.2,371.20001220703125
Bulls,0-450,Restocker,D,2,34,NQ,120.0,200.0,164,NQ,240.0,400.0,328.0,229.2,788.4,584.1353122486788
Bulls,0-450,Restocker,D,3,3,NQ,120.0,180.0,160,NQ,226.4,339.6,301.9,213.6,313.2,280.00001017252606
Bulls,450-600,Live Export,D,3,26,18,210.0,244.0,227.23076923076923,-34.8,396.2,460.4,428.7,1027.4,1183.4,1105.923105093149
Bulls,450-600,Processor,C,3,2,NQ,160.0,198.0,179,NQ,290.9,360.0,325.5,819.2,1041.5,930.3399963378906
Bulls,450-600,Processor,D,3,6,-1,210.0,210.0,210,-42.6,396.2,396.2,396.2,1203.3,1203.3,1203.300048828125
Bulls,450-600,Restocker,D,2,8,NQ,170.0,170.0,170,NQ,340.0,340.0,340.0,792.2,792.2,792.2000122070312
Bulls,600+,Processor,C,3,9,-10,180.0,240.0,219.11111111111111,2.1,327.3,436.4,398.4,1162.8,2596.0,2024.9022081163193
Bulls,600+,Processor,D,3,4,3,202.0,210.0,206,-14.0,381.1,396.2,388.7,1228.2,1425.9,1327.030029296875
