Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 16/01/2025
Comparison Date: 12/12/2024
Total Yarding: 2160 (+1660)
Commentary
"In what was the largest penning in quite some time yearlings and cows were well represented. There was a fair supply of grown steers and heifers along with the first of the early weaners. The quality of the offering was fair to very good while condition varied greatly. The regular buyers were in attendance.

Restocker demand was strong for good quality young cattle with the steer weaners selling particularly well. The heifer portion were also keenly sought. Plain quality yearling steers in all categories were harder to sell and attracted less competition than the better quality lines. Market trends were dearer through all weight classes when compared to pre Christmas levels. Heifer yearlings also attracted strong competition with demand from restocker and feedlot orders strong. Once again the better quality lines were keenly sought while secondary and plain quality heifers were discounted considerably.

A small number of well finished heavy grown steers showed strong improvement as did the well finished grown heifers purchased by processors. Processor demand for cows was very strong with market trends also showing strong gains. Heavy bulls were also dearer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Feeder,D,2,31,NQ,280.0,315.0,293.7096774193548,NQ,560.0,630.0,587.4,952.0,1260.0,1053.6935483870968
Grown Heifer,0-540,Processor,C,2,17,16,257.0,323.0,303.52941176470586,33.5,514.0,621.2,586.0,989.5,1453.5,1354.9352955537684
Grown Heifer,0-540,Processor,C,3,39,22,280.0,346.0,332.53846153846155,50.7,538.5,653.8,634.5,1344.0,1836.0,1734.9358974358975
Grown Heifer,0-540,Processor,C,4,2,-4,344.0,344.0,344,44.2,649.1,649.1,649.1,1823.2,1823.2,1823.199951171875
Grown Heifer,0-540,Processor,D,2,23,22,263.0,272.0,267.30434782608694,12.3,526.0,544.0,534.6,920.5,1047.2,981.0956182065217
Grown Heifer,0-540,Processor,D,3,16,3,290.0,310.0,298.75,42.1,568.6,607.8,585.8,1317.5,1377.5,1351.25
Grown Heifer,0-540,Restocker,C,2,20,12,218.0,290.0,275.6,15.6,436.0,580.0,551.2,741.2,1102.0,1029.8400024414063
Grown Heifer,0-540,Restocker,D,2,9,8,230.0,280.0,268.8888888888889,-3.1,460.0,560.0,537.8,690.0,980.0,915.5555555555555
Grown Heifer,540+,Processor,C,3,9,NQ,344.0,344.0,344,NQ,649.1,649.1,649.1,1926.4,1926.4,1926.3999565972222
Grown Heifer,540+,Processor,C,4,14,NQ,330.0,350.0,339.85714285714283,NQ,622.6,660.4,647.4,1881.0,2214.4,1986.585693359375
Grown Heifer,540+,Processor,C,5,2,NQ,342.0,342.0,342,NQ,645.3,645.3,645.3,2120.4,2120.4,2120.39990234375
Cows,0-400,Processor,D,2,25,NQ,163.0,240.0,202.56,NQ,362.2,533.3,450.1,627.5,960.0,796.01599609375
Cows,400-520,Feeder,D,2,18,NQ,266.0,280.0,272.22222222222223,NQ,591.1,622.2,604.9,1090.6,1232.0,1153.4444444444443
Cows,400-520,Processor,D,2,61,NQ,260.0,280.0,272.0655737704918,NQ,577.8,611.1,594.3,1155.0,1330.0,1218.4393410604507
Cows,400-520,Processor,D,3,79,44,265.0,295.0,283.82278481012656,24.3,563.8,614.9,592.1,1166.0,1534.0,1389.427870352057
Cows,400-520,Processor,D,4,1,NC,285.0,285.0,285,40.0,593.8,593.8,593.8,1425.0,1425.0,1425
Cows,400-520,Restocker,D,2,3,NQ,270.0,270.0,270,NQ,600.0,600.0,600.0,1188.0,1188.0,1188
Cows,520+,Processor,D,2,10,NQ,240.0,299.0,287.3,NQ,533.3,622.9,604.3,1272.0,1794.0,1674.6
Cows,520+,Processor,D,3,57,35,275.0,305.0,290.89473684210526,17.7,585.1,620.8,601.5,1494.6,1708.0,1612.4578707510964
Cows,520+,Processor,D,4,111,82,293.0,309.0,303.65765765765764,22.6,588.0,618.0,609.4,1675.8,2227.4,1886.0171272346565
Cows,520+,Processor,D,5,32,NQ,285.0,302.0,294.4375,NQ,593.8,618.8,603.2,1902.6,2080.5,1984.5499877929688
Bulls,0-450,Processor,C,2,9,-32,240.0,336.0,282.8888888888889,14.9,444.4,622.2,525.9,960.0,1368.0,1172.9111192491318
Bulls,450-600,Processor,C,2,3,-4,280.0,280.0,280,16.6,518.5,518.5,518.5,1484.0,1568.0,1512
Bulls,600+,Processor,B,2,9,4,280.0,303.0,293,24.0,500.0,541.1,523.2,2044.0,2727.0,2423.433349609375
Bulls,600+,Processor,B,3,14,7,280.0,320.0,298.2142857142857,26.5,500.0,571.4,532.5,2175.0,3120.0,2645.585710797991
Bulls,600+,Processor,B,4,1,NQ,305.0,305.0,305,NQ,544.6,544.6,544.6,3050.0,3050.0,3050
Bulls,600+,Processor,C,2,23,11,244.0,292.0,273.4782608695652,10.4,451.9,540.7,504.8,1701.0,2569.6,2076.665230129076
