Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Roma Store
Report Date: 08/04/2025
Comparison Date: 25/03/2025
Total Yarding: 2218 (-1877)
Commentary
"With continuing wet weather in the major supply district Roma Agents yarded 2196 head. All the regular processors feedlotters and backgrounders present and active. The market improved for all categories.

Yearling steers under 200kg topped 490c/kg. Yearling steers 200 to 280kg with the majority selling from 380c to 468c/kg for better pens. Yearling steers 280 to 330kg sold to 462c to restockers to average 436c/kg. Yearling steers 330 to 400kg made to 422c to feed and 432c/kg to restockers. Yearling steers 400 to 480kg topped 414c to feed. Yearling steers over 480kg sold to 382c/kg to processors.

Heifers also improved 200 to 280kg sold to 312c to processors and 368c/kg to restockers. Yearling heifers 280 to 330kg made to 382c and averaged 348c/kg to restockers. Yearling heifers 330 to 400kg also sold well and made from 310c to 382c/kg. Yearling heifers 400 to 480kg only small offering and sold to 360c/kg to feed.

Grown steers 500 to 600kg made to 392c/kg to processors. Bullocks over 600kg topped 374c/kg also to processors. Grown heifers over 540kg improved in price and made to 360c/kg. Cows numbers were low compared to other weeks. The 2 score cows 400 to 520kg sold from 202c to 270c/kg. The 3 score cows improved considerably with cows over 520kg topping 314c with heavy older heifers topping 350c/kg to processors. Bulls over 600kg sold to 323c/kg.

Market Reporter David Friend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,14,1,490.2,490.2,490.2000209263393,86.0,924.9,924.9,924.9,931.4,931.4,931.3800223214286
Yearling Steer,200-280,Restocker,C,2,71,-176,392.2,468.2,432.7352234746369,49.3,740.0,883.4,816.5,862.8,1264.1,1143.9740927252972
Yearling Steer,280-330,Feeder,C,2,65,47,388.2,402.2,399.9538592998798,91.8,732.5,758.9,754.6,1281.1,1327.3,1319.8476975661058
Yearling Steer,280-330,Restocker,C,2,197,-253,380.2,462.2,436.2193052030457,55.6,717.4,872.1,823.1,1083.6,1432.8,1326.2560613796795
Yearling Steer,330-400,Feeder,C,2,205,198,386.2,422.0,405.30538062118904,59.1,728.7,796.2,764.7,1351.7,1632.8,1507.1291563452744
Yearling Steer,330-400,Restocker,C,2,230,8,39.2,432.2,382.42435939622965,24.9,74.0,815.5,721.6,156.8,1560.8,1350.533819314708
Yearling Steer,400+,Feeder,C,2,148,138,355.0,404.2,380.3973025760135,47.6,669.8,762.6,717.7,1575.0,1872.0,1734.0910842483108
Yearling Steer,400+,Feeder,C,3,25,NQ,370.0,414.2,397.168017578125,NQ,698.1,781.5,749.4,1628.0,2157.1,1914.5728125
Yearling Steer,400+,Processor,C,3,75,62,334.2,382.0,368.2080118815104,48.9,630.6,720.8,694.7,1804.7,2517.4,2378.658190104167
Yearling Steer,400+,Restocker,C,2,21,-53,322.2,380.2,377.43809581938245,28.8,607.9,717.4,712.1,1596.8,1739.9,1603.6513730003721
Yearling Heifer,200-280,Feeder,C,2,6,-1,318.2,318.2,318.20001220703125,96.0,600.4,600.4,600.4,859.1,859.1,859.1399739583334
Yearling Heifer,200-280,Processor,C,2,22,-55,312.2,312.2,312.2000177556818,53.1,589.1,589.1,589.1,811.7,811.7,811.7199928977273
Yearling Heifer,200-280,Restocker,C,2,186,-68,250.0,368.2,344.8871023526756,74.5,471.7,694.7,650.7,675.0,1012.5,906.5569536762853
Yearling Heifer,200-280,Restocker,C,3,3,NQ,342.2,342.2,342.2000325520833,NQ,645.7,645.7,645.7,923.9,923.9,923.9400227864584
Yearling Heifer,280-330,Feeder,C,2,15,-50,300.0,370.0,304.6666666666667,-15.8,566.0,698.1,574.8,870.0,1110.0,886
Yearling Heifer,280-330,Processor,C,2,25,-29,250.0,312.2,308.736015625,60.1,471.7,589.1,582.5,800.0,1014.7,1004.092109375
Yearling Heifer,280-330,Restocker,C,2,84,-368,210.2,380.2,347.5023983546666,51.9,396.6,717.4,655.7,693.7,1171.0,1090.8377954392206
Yearling Heifer,330-400,Feeder,C,2,259,101,310.0,382.2,364.3459519787645,58.9,584.9,721.1,687.4,1054.0,1528.8,1393.9758498733108
Yearling Heifer,330-400,Processor,C,2,71,-107,292.2,364.2,349.6647932025748,84.9,551.3,687.2,659.7,1051.9,1384.0,1263.8290637378961
Yearling Heifer,330-400,Restocker,C,2,12,-287,354.2,354.2,354.2000325520833,40.2,668.3,668.3,668.3,1204.3,1204.3,1204.280029296875
Yearling Heifer,400+,Feeder,C,2,11,-6,270.0,360.0,343.27272727272725,28.4,509.4,679.2,647.7,1215.0,1620.0,1529.2182173295455
Yearling Heifer,400+,Processor,C,2,3,-23,332.2,332.2,332.20001220703125,15.1,626.8,626.8,626.8,1494.9,1661.0,1583.4866943359375
Yearling Heifer,400+,Processor,C,3,22,-120,320.0,358.2,347.6272888183594,9.7,603.8,675.8,655.9,1440.0,1970.1,1869.3145640980113
Grown Steer,400-500,Feeder,C,2,8,NQ,360.2,360.2,360.20001220703125,NQ,679.6,679.6,679.6,1729.0,1801.0,1764.97998046875
Grown Steer,400-500,Restocker,C,2,1,NQ,265.5,265.5,265.5,NQ,500.9,500.9,500.9,1274.4,1274.4,1274.4000244140625
Grown Steer,500-600,Processor,C,3,14,-12,392.2,392.2,392.2000209263393,46.7,740.0,740.0,740.0,2274.8,2274.8,2274.7600446428573
Grown Steer,600-750,Processor,C,3,99,75,330.2,374.2,368.31718491062975,38.7,623.0,706.0,694.9,2282.6,2591.4,2438.3332420888573
Grown Heifer,0-540,Processor,C,3,21,-49,260.0,338.2,329.40952845982144,44.4,490.6,638.1,621.5,1300.0,1691.0,1647.047619047619
Grown Heifer,540+,Processor,C,3,37,-106,35.2,354.2,341.7405540878708,13.2,70.4,700.4,646.0,239.4,2381.4,1916.0243187981682
Grown Heifer,540+,Processor,D,3,1,NQ,350.2,350.2,350.20001220703125,NQ,700.4,700.4,700.4,2381.4,2381.4,2381.360107421875
Cows,400-520,Processor,D,1,1,NQ,100.0,100.0,100,NQ,200.0,200.0,200.0,480.0,480.0,480
Cows,400-520,Processor,D,2,12,5,202.2,260.0,229.33333333333334,-24.3,404.4,520.0,458.7,1011.0,1300.0,1146.6666666666667
Cows,520+,Processor,D,1,5,NQ,140.0,190.2,158.0799987792969,NQ,280.0,380.4,316.2,770.0,1046.1,910.18798828125
Cows,520+,Processor,D,2,37,-86,210.0,270.0,245.3459464408256,-7.3,420.0,540.0,490.7,1155.0,1755.0,1498.891898490287
Cows,520+,Processor,D,3,240,-308,274.2,314.2,301.931675974528,10.3,548.4,628.4,603.9,1653.0,2185.4,2030.4934361775715
Cows,520+,Restocker,D,2,7,1,204.2,204.2,204.20000348772322,-6.0,408.4,408.4,408.4,1388.6,1388.6,1388.5599888392858
Bulls,0-450,Processor,C,2,7,-6,328.2,328.2,328.2000209263393,30.9,619.2,619.2,619.2,1312.8,1312.8,1312.800083705357
Bulls,0-450,Restocker,C,2,26,-17,350.2,350.2,350.2000075120192,34.2,660.8,660.8,660.8,910.5,910.5,910.5199819711538
Bulls,450-600,Processor,C,2,18,12,280.0,340.2,318.02223036024304,21.8,528.3,641.9,601.9,1540.0,1873.2,1807.855475531684
Bulls,450-600,Processor,C,3,1,NQ,301.2,301.2,301.20001220703125,NQ,602.4,602.4,602.4,1807.2,1807.2,1807.199951171875
