Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Roma Store
Report Date: 11/02/2025
Comparison Date: 04/02/2025
Total Yarding: 5321 (+877)
Commentary
" Despite wonderful falls of rain in the Western supply district Roma Agents yarded 5,321 head. All the regular processors feedlotters and backgrounders present and active. Cattle were drawn from the normal supply area of QLD as well as northern NSW.The market was firm to marginally dearer for most categories.


Yearling steers 200 to 280kg 350c to 438c/kg back to restockers. Yearling steers 280 to 330kg also improved and sold 452c/kg. Yearling steers 330 to 400kg with the majority selling from 300c to 452c/kg. Yearling steers 400 to 480kg however did not improve and sold to 400c/kg. Yearling steers over 480kg made from 300c to 350c/kg.

Yearling heifers 200 to 280kg with the majority selling from 208c to 348c/kg for the better lines. Yearling heifers 280 to 330kg improved on last sale and made to 360c to average 327c/kg. Yearling heifers 330 to 400kg also gained ground in price and sold from 264c to 354c/kg. Yearling heifers 400 to 480kg made from 296c to 322c to feed and 324c/kg restockers. 

Grown steers 500 to 600kg topped 349c and sold from 240c to average 339c/kg. Bullocks over 600kg sold to 350c/kg. Grown heifers over 480kg improved in price and sold to 318c/kg to processors. A large number of quality cows penned experienced more demand from processors. The 2 score cows 400 to 520kg sold from 200c to 269c/kg. The 3 score cows over 520kg made to 300/kg. Bulls over 600kg topped 298c/kg. Bulls 450 to 600kg sold from 274c to 300c/kg. 

A large yarding of western bred cows and calves sold from  $1280/unit to $1820/unit.

Market Reporter David Friend"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,40,NQ,268.2,268.2,268.20001220703125,NQ,506.0,506.0,506.0,697.3,729.5,714.216650390625
Yearling Steer,200-280,Processor,D,2,9,NQ,254.2,254.2,254.20000542534723,NQ,479.6,479.6,479.6,635.5,635.5,635.5
Yearling Steer,200-280,Restocker,C,2,312,-87,350.0,438.2,409.1032159267328,-16.7,660.4,826.8,771.9,910.0,1176.0,1061.0451918381912
Yearling Steer,200-280,Restocker,D,2,19,2,258.2,274.2,261.5684364720395,23.8,487.2,517.4,493.5,645.5,712.9,659.6937320106908
Yearling Steer,280-330,Processor,D,2,24,NQ,270.0,270.0,270,NQ,509.4,509.4,509.4,810.0,810.0,810
Yearling Steer,280-330,Restocker,C,2,576,91,322.2,452.2,419.4975758658515,18.8,607.9,853.2,791.5,1008.5,1469.7,1293.333517710368
Yearling Steer,330-400,Feeder,C,2,175,-34,320.0,382.2,366.3748660714286,-5.8,603.8,721.1,691.3,1088.0,1460.0,1373.0508370535715
Yearling Steer,330-400,Feeder,D,2,12,NQ,270.2,270.2,270.20001220703125,NQ,509.8,509.8,509.8,959.2,959.2,959.2101236979166
Yearling Steer,330-400,Processor,D,2,8,NQ,224.2,246.2,243.4500026702881,NQ,423.0,464.5,459.3,874.4,984.8,970.9975128173828
Yearling Steer,330-400,Restocker,C,2,615,100,300.2,452.2,399.3818003088478,4.8,566.4,853.2,753.6,1115.9,1655.0,1427.0014120458588
Yearling Steer,400+,Feeder,C,2,218,1,320.2,380.2,362.1568894692517,-1.1,604.2,717.4,683.3,1376.9,1748.9,1586.5702654637328
Yearling Steer,400+,Processor,C,2,43,NQ,300.0,350.2,330.460479026617,NQ,566.0,660.8,623.5,1263.0,2171.2,1693.3860771711481
Yearling Steer,400+,Processor,C,3,36,NQ,340.2,346.2,342.11666700575086,NQ,641.9,653.2,645.5,2041.2,2215.7,2056.546664767795
Yearling Steer,400+,Restocker,C,2,132,83,300.0,400.0,367.22728243741125,-19.9,566.0,754.7,692.9,1440.0,1632.0,1558.7177364464962
