Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Moss Vale
Report Date: 05/02/2025
Comparison Date: 29/01/2025
Total Yarding: 692 (-524)
Commentary
"Numbers almost halved for a total yarding of 692, fair to good quality cattle.  There were some good lines of well-bred yearling heifers, attracting strong competition from both the restockers and feedlot buyers, along with a few runs of prime yearlings. There was a limited supply of grown cattle and 105 cows. Yearling heifers were dearer, and all other categories sold for cheaper trends.

Yearlings to suit the trade made from 260c to 412c/kg. Feeder steers were up to 30c cheaper on last week’s higher prices, selling from 280c to 358c/kg. Heifers over 400kg to feed lifted 5c, averaging 298c, and those returning to the paddock were considerably dearer, reaching 322c/kg. Weaners were cheaper, quality related, with the steers ranging from 270c to 398c, and the heifers made from 210c to 270c/kg. 

Heavy grown steers topped at 338c, and the best heifers made 316c/kg. 3 and 4 score cows slipped 8c, selling from 260c to 288c/kg. Heavy bulls to process topped at 311c/kg. 
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,280-330,Restocker,D,2,1,NQ,210.0,210.0,210,NQ,396.2,396.2,396.2,630.0,630.0,630
Vealer Heifer,330+,Processor,C,3,1,NQ,340.0,340.0,340,NQ,618.2,618.2,618.2,1173.0,1173.0,1173
Manufacturing Steer,0-540,Processor,C,2,1,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,760.0,760.0,760
Grown Steer,400-500,Feeder,C,2,2,NQ,315.0,315.0,315,NQ,572.7,572.7,572.7,1527.8,1527.8,1527.75
Grown Steer,400-500,Restocker,C,2,4,NQ,300.0,300.0,300,NQ,545.5,545.5,545.5,1455.0,1455.0,1455
Grown Steer,500-600,Dairy,D,3,2,-7,258.0,258.0,258,-10.0,516.0,516.0,516.0,1380.3,1380.3,1380.300048828125
Grown Steer,500-600,Feeder,C,2,2,-5,300.0,300.0,300,-4.3,545.5,545.5,545.5,1530.0,1530.0,1530
Grown Steer,500-600,Processor,C,3,13,3,290.0,334.0,310.7692307692308,-15.2,527.3,596.4,566.6,1580.5,1853.7,1700.907686673678
Grown Steer,600-750,Dairy,D,3,3,NQ,268.0,268.0,268,NQ,536.0,536.0,536.0,1916.2,1916.2,1916.1998697916667
Grown Steer,600-750,Processor,C,3,10,-6,312.0,338.0,325.5,-1.5,567.3,614.5,591.8,1945.9,2518.1,2127.630029296875
