Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Moss Vale
Report Date: 12/02/2025
Comparison Date: 05/02/2025
Total Yarding: 768 (+76)
Commentary
"Prime vealers reaching 460c, and high yielding yearlings to process, topping at 456c/kg, were the highlights of the 773 good to outstanding cattle, a slight increase on last week’s sale. There were some good runs of feeder steers, along with some well-bred yearling heifers suiting both the feedlot buyers and the restockers. There was an increased number of grown cattle and 90.cows.  There was strong competition from all the usual buyers, along with extra restocker interest, selling to a considerably dearer market.

Yearlings to suit the trade lifted 20c, selling from 280c to 456c/kg. Feeder steers were 25c better, making from 313c to 370c/kg. Yearling heifers to feed up to 20c dearer, averaging 318c, and those returning to the paddock topped at 347c/kg. Weaner steers jumped 60c, selling from 290c to 456c, and the heifer portion were up to 80c better, ranging from 246c to 394c/kg.

Heavy grown steers lifted 10c, making from 310c to 355c, and grown heifers were price unchanged, selling from 284c to 333c/kg. Heavy prime cows were 12c better, topping at 304c/kg. The best heavy weight bull to process made 313c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,200-280,Restocker,D,2,2,NQ,246.0,246.0,246,NQ,464.2,464.2,464.2,578.1,578.1,578.0999755859375
Vealer Heifer,280-330,Feeder,B,2,6,NQ,330.0,368.0,349,NQ,589.3,623.7,606.5,990.0,1122.4,1056.2000325520833
Vealer Heifer,280-330,Processor,B,3,1,NQ,416.0,416.0,416,NQ,717.2,717.2,717.2,1248.0,1248.0,1248
Vealer Heifer,280-330,Processor,C,3,2,-1,346.0,358.0,352,39.7,617.9,639.3,628.6,1089.9,1091.9,1090.9000244140625
Vealer Heifer,280-330,Restocker,C,2,18,17,292.0,328.0,304.77777777777777,34.8,530.9,585.7,553.0,846.8,1016.8,902.2611151801216
Vealer Heifer,330+,Processor,B,3,2,NQ,370.0,460.0,415,NQ,616.7,766.7,691.7,1276.5,1610.0,1443.25
Vealer Heifer,330+,Processor,C,3,2,1,375.0,375.0,375,35.0,657.9,657.9,657.9,1350.0,1350.0,1350
Manufacturing Steer,0-540,Processor,D,2,4,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,640.5,640.5,640.5
Grown Steer,500-600,Feeder,C,2,6,4,310.0,315.0,310.8333333333333,10.8,583.3,584.9,584.6,1596.5,1653.8,1606.0416666666667
Grown Steer,600-750,Dairy,D,2,1,NQ,270.0,270.0,270,NQ,529.4,529.4,529.4,1876.5,1876.5,1876.5
