Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 13/03/2024
Comparison Date: 28/02/2024
Total Yarding: 2043 (+1478)
Commentary
"The first Combined prime and store sale for a fortnight saw 2043 cattle penned. Despite most cattle presenting in fresh condition, quality was very mixed throughout the offering. Only three regular processors were in attendance and operating, supported by one live exporter, regular feeders and opportunity restockers.  Buyer demand was selective throughout with preference for better quality types.  Prices received were in line with other selling centres relative to quality. Cattle were were drawn from Richmond to Chillagoe, and south to local and coastal areas.  

Lightweight young steers averaged 310c selling to 316c, similar heifers reached 205c to average 175c/kg. Steers above 200kg returning to the paddock reached 298c to average 258c to 278c/kg. Heifers to restockers sold to 230c to average 224c/kg. Yearling steers above 280kg to live export sold to 290c, restocker steers averaged 251c/kg. Yearling steers above 400kg to feed made to 270c to average 255c, those suitable for live export averaged 276c/ kg. A good sample of yearling heifers above 330kg to feed averaged 224c/kg. 

Grown steers above 400kg to live export averaged 275c, steers to processors averaged 255c/kg. Heavy grown steers to processors topped at 260c to average 259c/kg.  A good supply of grown heifers to the trade sold to 230c to average 216c/kg.

Heavy bullocks to export slaughter topped at 270c, most averaged 250-267c/kg. Medium weight 3 score cow to processors sold to 222c to average 209c to 215c, while prime heavyweight cows sold to and averaged 218c/kg.  Heavy bulls to processors reached 256c to average 235, bulls to feed destined for live export averaged 254c/kg.

A large sample of cows and calves sold from $575 to $1,0000 per unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,330-400,Feeder,D,3,4,NQ,218.0,218.0,218,NQ,419.2,419.2,419.2,828.4,828.4,828.4000244140625
Yearling Heifer,330-400,Processor,C,3,2,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,908.5,908.5,908.5
Yearling Heifer,330-400,Processor,D,3,10,NQ,196.0,224.0,215.6,NQ,376.9,430.8,414.6,715.4,806.4,779.100048828125
Yearling Heifer,330-400,Restocker,C,2,26,NQ,210.0,230.0,226.92307692307693,NQ,403.8,442.3,436.4,766.5,816.5,808.8076923076923
Yearling Heifer,400+,Processor,D,3,2,NQ,228.0,228.0,228,NQ,438.5,438.5,438.5,969.0,969.0,969
Vealer Steer,0-200,Restocker,D,2,22,NQ,200.0,316.0,259,NQ,384.6,607.7,498.5,380.0,600.4,491.1545493386009
Vealer Steer,0-200,Restocker,E,2,57,NQ,134.0,240.0,238.140350877193,NQ,257.7,461.5,458.0,227.8,468.0,452.83859654476765
Vealer Steer,200-280,Restocker,C,2,5,-5,298.0,298.0,298,-6.0,573.1,573.1,573.1,715.2,715.2,715.2
Vealer Steer,200-280,Restocker,D,2,18,-3,240.0,296.0,277.55555555555554,-40.4,461.5,569.2,533.8,528.0,717.6,694.5333116319445
Vealer Steer,280-330,Restocker,D,2,12,9,268.0,268.0,268,48.0,515.4,515.4,515.4,884.4,884.4,884.4000651041666
Vealer Heifer,0-200,Restocker,D,2,63,62,100.0,205.0,175.42857142857142,-70.6,192.3,394.2,337.4,105.0,331.2,248.6841285342262
Vealer Heifer,0-200,Restocker,E,2,1,NQ,90.0,90.0,90,NQ,173.1,173.1,173.1,121.5,121.5,121.5
Vealer Heifer,200-280,Feeder,C,2,8,7,180.0,180.0,180,NC,346.2,346.2,346.2,396.0,396.0,396
Vealer Heifer,200-280,Processor,D,2,1,NQ,120.0,120.0,120,NQ,230.8,230.8,230.8,252.0,252.0,252
Vealer Heifer,200-280,Restocker,C,2,31,21,194.0,230.0,224.32258064516128,-63.7,373.1,442.3,431.4,475.3,528.0,509.00967702557966
Vealer Heifer,200-280,Restocker,D,2,40,24,228.0,246.0,237,-8.6,438.5,473.1,455.8,478.8,565.8,522.3
Vealer Heifer,280-330,Restocker,C,2,16,NQ,226.0,226.0,226,NQ,434.6,434.6,434.6,655.4,655.4,655.4000244140625
Manufacturing Steer,0-540,Processor,C,3,5,NQ,250.0,250.0,250,NQ,463.0,463.0,463.0,1350.0,1350.0,1350
Manufacturing Steer,0-540,Processor,D,2,5,4,230.0,250.0,238,-12.0,442.3,480.8,457.7,1173.0,1175.0,1173.8
Manufacturing Steer,0-540,Processor,D,3,4,NQ,250.0,250.0,250,NQ,471.7,480.8,474.0,1225.0,1325.0,1284.375
Manufacturing Steer,540+,Processor,C,3,3,2,250.0,264.0,254.66666666666666,-45.3,463.0,488.9,471.6,1362.5,1504.8,1409.933349609375
Manufacturing Steer,540+,Processor,C,4,14,13,250.0,262.0,258.57142857142856,-39.4,463.0,476.4,472.5,1412.5,1598.2,1545.142857142857
Manufacturing Steer,540+,Processor,C,5,1,NQ,250.0,250.0,250,NQ,454.5,454.5,454.5,1825.0,1825.0,1825
Manufacturing Steer,540+,Processor,D,3,6,-3,254.0,270.0,267.3333333333333,-25.6,470.4,500.0,495.1,1422.4,1552.5,1530.816670735677
Grown Steer,0-400,Feeder,C,2,7,NQ,190.0,190.0,190,NQ,365.4,365.4,365.4,684.0,684.0,684
Grown Steer,0-400,Feeder,D,2,4,NQ,224.0,224.0,224,NQ,430.8,430.8,430.8,851.2,851.2,851.2000122070312
Grown Steer,0-400,Processor,D,3,1,NQ,230.0,230.0,230,NQ,434.0,434.0,434.0,897.0,897.0,897
Grown Steer,0-400,Restocker,D,2,3,NQ,162.0,198.0,174,NQ,311.5,380.8,334.6,575.1,663.3,604.4999796549479
Grown Steer,400-500,Feeder,C,2,22,NQ,236.0,276.0,256.54545454545456,NQ,453.8,530.8,493.4,1026.6,1255.8,1165.7636496803977
Grown Steer,400-500,Feeder,D,2,4,2,170.0,220.0,207.5,-23.5,326.9,423.1,399.0,773.5,1045.0,977.125
Grown Steer,400-500,Live Export,C,2,10,NQ,272.0,272.0,272,NQ,523.1,523.1,523.1,1128.8,1128.8,1128.8
Grown Steer,400-500,Live Export,D,2,22,20,230.0,292.0,280.3636363636364,14.4,442.3,561.5,539.2,954.5,1255.6,1202.4272904829545
Grown Steer,400-500,Live Export,D,3,2,NC,258.0,258.0,258,-2.0,486.8,486.8,486.8,1212.6,1212.6,1212.5999755859375
Grown Steer,400-500,Processor,C,3,25,NQ,256.0,260.0,258.24,NQ,474.1,481.5,478.2,1254.4,1274.0,1265.376015625
Grown Steer,400-500,Processor,D,2,12,11,236.0,250.0,244.16666666666666,-21.8,453.8,480.8,469.6,1125.0,1144.6,1133.1666666666667
Grown Steer,400-500,Processor,D,3,2,-17,230.0,240.0,235,-43.4,434.0,452.8,443.4,1044.0,1069.5,1056.75
Grown Steer,400-500,Restocker,C,2,2,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,1037.5,1037.5,1037.5
Grown Steer,400-500,Restocker,D,2,9,NQ,224.0,230.0,229.33333333333334,NQ,430.8,442.3,441.0,907.2,943.0,939.0222235785591
Grown Steer,500-600,Feeder,C,2,1,NQ,232.0,232.0,232,NQ,446.2,446.2,446.2,1194.8,1194.8,1194.800048828125
Grown Steer,500-600,Processor,C,3,27,12,256.0,260.0,259.25925925925924,-26.7,474.1,481.5,480.1,1356.8,1521.0,1490.5925925925926
Grown Steer,500-600,Processor,D,3,6,3,242.0,242.0,242,-21.3,456.6,456.6,456.6,1367.3,1367.3,1367.3001302083333
Grown Heifer,0-540,Feeder,D,2,1,NQ,120.0,120.0,120,NQ,230.8,230.8,230.8,444.0,444.0,444
Grown Heifer,0-540,Live Export,D,3,1,NQ,216.0,216.0,216,NQ,415.4,415.4,415.4,907.2,907.2,907.2000122070312
Grown Heifer,0-540,Processor,C,3,37,36,204.0,230.0,213.86486486486487,-40.1,392.3,442.3,409.5,846.6,1053.5,937.0026921452703
Grown Heifer,0-540,Processor,D,2,26,19,140.0,216.0,201.3846153846154,-52.9,280.0,432.0,400.5,483.0,734.4,693.2077073317307
Grown Heifer,0-540,Processor,D,3,54,NQ,175.0,230.0,208.88888888888889,NQ,343.1,442.3,407.3,638.8,991.8,843.1861041033709
Grown Heifer,0-540,PTIC,D,3,19,NQ,204.0,204.0,204,NQ,392.3,392.3,392.3,744.6,744.6,744.5999691611842
Grown Heifer,0-540,Restocker,D,2,4,NQ,168.0,168.0,168,NQ,323.1,323.1,323.1,571.2,571.2,571.2000122070312
Cows,0-400,Feeder,D,1,19,15,110.0,140.0,117,-32.5,244.4,311.1,260.0,352.8,497.0,381.3420843827097
Cows,0-400,Feeder,D,2,2,NQ,140.0,140.0,140,NQ,304.3,304.3,304.3,532.0,532.0,532
Cows,0-400,Processor,D,1,1,NC,160.0,160.0,160,-24.0,355.6,355.6,355.6,600.0,600.0,600
Cows,0-400,Processor,D,2,46,4,100.0,212.0,168.7391304347826,-34.0,192.3,460.9,363.8,390.0,837.4,626.1347868546196
Cows,0-400,Processor,D,3,5,-5,175.0,215.0,198,-24.0,364.6,447.9,412.5,638.8,849.3,761.1
Cows,0-400,Processor,E,3,3,NQ,206.0,206.0,206,NQ,447.8,447.8,447.8,793.1,793.1,793.0999348958334
Cows,0-400,Restocker,D,2,5,-14,190.0,190.0,190,-1.9,413.0,413.0,413.0,693.5,693.5,693.5
Cows,0-400,Restocker,E,2,12,NQ,90.0,148.0,109.33333333333333,NQ,195.7,314.9,235.4,310.5,547.6,389.5333251953125
Cows,400-520,Processor,C,3,18,NQ,206.0,222.0,209.05555555555554,NQ,420.0,453.1,423.3,916.7,1081.5,988.6416558159722
Cows,400-520,Processor,C,4,8,NQ,203.0,203.0,203,NQ,414.3,414.3,414.3,954.1,954.1,954.0999755859375
Cows,400-520,Processor,D,2,22,7,188.0,214.0,205.1818181818182,-16.0,408.5,445.8,431.7,805.1,1005.8,924.4908669211648
Cows,400-520,Processor,D,3,103,28,196.0,217.0,205.07766990291262,-23.8,408.3,452.1,428.1,811.8,1106.7,925.5368895299226
Cows,400-520,Processor,D,4,6,NQ,215.0,215.0,215,NQ,430.0,430.0,430.0,1107.3,1107.3,1107.25
Cows,520+,Processor,C,3,8,NQ,218.0,218.0,218,NQ,444.9,444.9,444.9,1144.5,1144.5,1144.5
Cows,520+,Processor,D,3,1,NQ,216.0,216.0,216,NQ,440.8,440.8,440.8,1209.6,1209.6,1209.5999755859375
Calves,80+,Restocker,D,2,39,37,310.0,310.0,310,108.0,596.2,596.2,596.2,325.5,325.5,325.5
Bulls,0-450,Feeder,C,2,23,22,200.0,242.0,220.08695652173913,-1.9,384.6,465.4,423.2,620.0,1028.5,815.3695652173913
Bulls,0-450,Feeder,D,1,3,NQ,100.0,146.0,130.66666666666666,NQ,222.2,324.4,290.4,290.0,496.4,427.59999593098956
Bulls,0-450,Feeder,D,2,17,NQ,120.0,258.0,188.8235294117647,NQ,230.8,496.2,363.1,433.5,1006.2,569.9470645680148
Bulls,0-450,Live Export,C,2,3,2,256.0,256.0,256,6.0,483.0,483.0,483.0,1075.2,1075.2,1075.199951171875
Bulls,0-450,Processor,D,2,4,2,175.0,256.0,235.75,25.8,380.4,492.3,464.3,630.0,985.6,896.699951171875
Bulls,0-450,Processor,D,3,1,NQ,210.0,210.0,210,NQ,396.2,396.2,396.2,871.5,871.5,871.5
Bulls,0-450,Restocker,C,2,25,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,520.0,520.0,520
Bulls,0-450,Restocker,D,2,22,19,160.0,220.0,209,-14.3,307.7,423.1,401.9,513.6,612.0,525.3272372159091
Bulls,450-600,Feeder,C,3,14,NQ,240.0,260.0,251.57142857142858,NQ,444.4,481.5,465.9,1128.0,1425.0,1250.0571986607142
Bulls,450-600,Feeder,D,2,2,NQ,220.0,254.0,237,NQ,423.1,488.5,455.8,1023.0,1193.8,1108.4000244140625
Bulls,450-600,Feeder,D,3,3,NQ,250.0,264.0,254.66666666666666,NQ,463.0,498.1,474.7,1300.0,1399.2,1349.7333170572917
Bulls,450-600,Processor,C,2,5,NQ,202.0,230.0,207.6,NQ,388.5,434.0,397.6,1191.8,1242.0,1201.8400390625
Bulls,450-600,Restocker,C,2,6,NQ,300.0,300.0,300,NQ,566.0,566.0,566.0,1395.0,1395.0,1395
Bulls,600+,Feeder,C,3,16,13,250.0,260.0,252.375,-13.6,463.0,481.5,467.4,1512.5,1600.2,1593.0186767578125
Bulls,600+,Feeder,D,3,3,NQ,268.0,274.0,270,NQ,496.3,517.0,503.2,1657.7,1902.8,1821.1000162760417
Bulls,600+,Processor,C,3,4,NQ,250.0,250.0,250,NQ,463.0,463.0,463.0,1787.5,1787.5,1787.5
Bulls,600+,Processor,C,4,3,-1,240.0,246.0,242,-30.0,436.4,447.3,440.0,1812.0,1943.4,1883.8000081380208
Bulls,600+,Processor,D,2,1,NQ,235.0,235.0,235,NQ,451.9,451.9,451.9,1445.3,1445.3,1445.25
Bulls,600+,Processor,D,3,3,2,200.0,256.0,237.33333333333334,-12.7,377.4,483.0,447.8,1230.0,1561.6,1451.066650390625
