Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 21/11/2024
Comparison Date: 07/11/2024
Total Yarding: 1300 (+370)
Commentary
"There was an increase in numbers with the quality of the offering very mixed. Heavy weight older cattle were well represented while there enough light and medium weight young cattle to satisfy restockers and feedlotters. A full field of processors operated however there were less restocker and feeder orders in place.

Strong local restocker demand saw light weight steers sell to dearer trends, up by as much as 12c/kg on a fortnight ago. Medium and heavy weight yearling steers to restock and feed saw some quality related improvement on what was a much dearer market trend. Light weight yearling heifers to restock sold to dearer trends while the reduced feedlot and restocker competition saw the medium and heavy weights cheaper.

There was a large supply of older and secondary quality manufacturing steers penned including quite a few Dairy steers. Strong processor competition saw these sell strongly while the well finished grown steers attracted strong competition from QLD processors to record strong gains. The well finished heavy heifers were also keenly sought, also selling to dearer trends. It was a strong cow market in comparison to recent markets albeit most classes showing cheaper trends of as much as 10c/kg. A good supply of bulls sold to cheaper trends."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Processor,C,3,58,52,275.0,328.0,312.8448275862069,28.7,528.8,630.8,597.7,1315.6,1749.6,1566.3862094221445
Grown Heifer,0-540,Processor,D,2,7,-71,242.0,250.0,245.42857142857142,18.2,484.0,500.0,490.9,1000.0,1089.0,1050.857142857143
Grown Heifer,0-540,Processor,D,3,17,-25,260.0,290.0,282.1764705882353,3.1,509.8,568.6,553.3,1118.0,1377.5,1324.1911692899816
Grown Heifer,0-540,Restocker,D,2,6,NQ,265.0,265.0,265,NQ,530.0,530.0,530.0,1245.5,1245.5,1245.5
Grown Heifer,540+,Processor,C,3,2,-3,310.0,333.0,321.5,9.5,596.2,616.7,606.4,1798.0,1814.8,1806.4249877929688
Grown Heifer,540+,Processor,C,4,5,-7,304.0,331.0,321.2,3.7,573.6,624.5,606.0,1760.0,1886.7,1811.319970703125
Cows,0-400,Processor,D,2,3,-46,210.0,210.0,210,-13.3,466.7,466.7,466.7,808.5,808.5,808.5
Cows,400-520,Processor,D,2,13,-19,221.0,275.0,252.30769230769232,14.3,491.1,577.8,554.8,994.5,1375.0,1198.5384615384614
Cows,400-520,Processor,D,3,26,-49,250.0,270.0,259.2307692307692,-6.1,531.9,562.5,549.3,1100.0,1350.0,1259.8557692307693
Cows,400-520,Restocker,D,2,37,NQ,250.0,280.0,257.4864864864865,NQ,555.6,622.2,572.2,1108.8,1400.0,1229.340549778294
