Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Mt Compass
Report Date: 12/02/2025
Comparison Date: 05/02/2025
Total Yarding: 634 (-773)
Commentary
"The adverse and extreme weather conditions saw numbers reduce as agents offered 645 liveweight cattle. Quality was again extremely mixed with female cattle again making up the bulk of the offering with 209 cows 172 heifers and 231 steers on offer. The usual trade and processor buyers, feeders and restockers provided steady competition and while yearling steers eased up to 10c/kg the grown steers , heifers and medium to heavy cows lifted by 10c to 20c/kg.

Vealer steers sold from 240c to 320c with heifers selling from 205c to 340c/kg. Yearling steers sold from 240c to 345c with heifers fetching 167c to 270c/kg.

Manufacturing steers sold from 289c to 290c as grown steers ranged from 240c to 349c with heifers fetching 200c to 339c/kg. Light dairy cows sold from 130c to 215c with beef breeds selling from 150c to 261c/kg. Medium dairy cows sold from 197c to 223c as beef types ranged from 160c to 320c. Heavy dairy cows sold from 160c to 233c with beef breeds selling from 255c to a top of 347c/kg. Bulls sold from 220c to 280c/kg.

Market reporter: John Traeger."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,3,1,280.0,280.0,280,NC,560.0,560.0,560.0,770.0,770.0,770
Yearling Steer,280-330,Restocker,C,2,6,-35,247.0,320.0,282.3333333333333,-26.5,494.0,640.0,564.7,770.6,1030.4,871.0133463541666
Yearling Steer,280-330,Restocker,C,3,8,4,250.0,320.0,291.25,-47.8,500.0,640.0,582.5,825.0,1049.6,950.324951171875
Yearling Steer,330-400,Dairy,C,2,1,NQ,250.0,250.0,250,NQ,500.0,500.0,500.0,850.0,850.0,850
Yearling Steer,330-400,Feeder,C,2,14,NQ,311.0,311.0,311,NQ,622.0,622.0,622.0,1178.7,1178.7,1178.6900111607142
Yearling Steer,330-400,Processor,C,2,1,NC,330.0,330.0,330,80.0,660.0,660.0,660.0,1138.5,1138.5,1138.5
Yearling Steer,330-400,Restocker,C,2,31,8,275.0,325.0,308.6774193548387,4.1,550.0,650.0,617.4,938.0,1174.4,1068.870337701613
Yearling Steer,330-400,Restocker,C,3,14,-16,315.0,327.0,317.7142857142857,-27.3,630.0,654.0,635.4,1137.2,1254.4,1197.2492850167412
Yearling Steer,400+,Feeder,C,2,14,12,269.0,330.0,315.57142857142856,-11.4,538.0,660.0,631.1,1156.7,1544.4,1421.9857003348213
Yearling Steer,400+,Feeder,C,3,17,14,300.0,310.0,309.4117647058824,9.4,600.0,620.0,618.8,1215.0,1453.9,1439.8470818014705
Yearling Steer,400+,Processor,C,3,8,3,340.0,345.0,344.375,14.8,680.0,690.0,688.8,1496.0,1914.8,1862.40625
Yearling Steer,400+,Restocker,C,2,8,7,240.0,323.0,270.375,-42.6,480.0,646.0,540.8,979.2,1318.4,1105.1187591552734
Yearling Heifer,280-330,Dairy,D,2,1,NQ,110.0,110.0,110,NQ,234.0,234.0,234.0,335.5,335.5,335.5
Yearling Heifer,280-330,Restocker,C,2,21,-16,220.0,245.0,238.0952380952381,10.9,440.0,490.0,476.2,669.0,764.4,735.4557291666666
Yearling Heifer,280-330,Restocker,D,2,6,NQ,167.0,180.0,169.16666666666666,NQ,355.3,383.0,359.9,534.4,549.0,536.8333333333334
Yearling Heifer,330-400,Dairy,D,2,1,NQ,155.0,155.0,155,NQ,329.8,329.8,329.8,581.3,581.3,581.25
Yearling Heifer,330-400,Feeder,C,2,2,NQ,260.0,260.0,260,NQ,520.0,520.0,520.0,962.0,962.0,962
Yearling Heifer,330-400,Feeder,C,3,1,NQ,260.0,260.0,260,NQ,520.0,520.0,520.0,1014.0,1014.0,1014
Yearling Heifer,330-400,Processor,C,2,1,NC,231.0,231.0,231,12.0,462.0,462.0,462.0,785.4,785.4,785.4000244140625
Yearling Heifer,330-400,Restocker,C,2,23,-25,200.0,263.0,235.17391304347825,-1.2,400.0,526.0,470.3,724.0,1020.4,829.4391293733016
Yearling Heifer,330-400,Restocker,C,3,6,-2,230.0,261.0,250.5,11.5,460.0,522.0,501.0,782.0,975.0,907.3216552734375
Yearling Heifer,400+,Feeder,C,2,5,3,245.0,270.0,259,-6.0,490.0,540.0,518.0,1029.0,1215.0,1095.67998046875
Yearling Heifer,400+,Feeder,C,3,1,-1,270.0,270.0,270,NC,540.0,540.0,540.0,1147.5,1147.5,1147.5
Vealer Steer,200-280,Processor,C,3,1,-1,320.0,320.0,320,29.5,640.0,640.0,640.0,896.0,896.0,896
Vealer Steer,200-280,Restocker,C,2,2,-9,240.0,270.0,255,-35.5,480.0,540.0,510.0,600.0,729.0,664.5
Vealer Steer,280-330,Processor,C,3,1,NC,249.0,249.0,249,-51.0,498.0,498.0,498.0,796.8,796.8,796.7999877929688
Vealer Steer,280-330,Restocker,C,2,2,NQ,280.0,280.0,280,NQ,560.0,560.0,560.0,924.0,924.0,924
Vealer Steer,280-330,Restocker,C,3,1,-1,280.0,280.0,280,-35.0,560.0,560.0,560.0,910.0,910.0,910
Vealer Heifer,200-280,Restocker,C,2,6,5,205.0,280.0,257.3333333333333,46.3,410.0,560.0,514.7,536.5,705.6,653.7833150227865
Vealer Heifer,200-280,Restocker,C,3,5,1,233.0,233.0,233,20.5,466.0,466.0,466.0,547.5,547.5,547.55
Vealer Heifer,280-330,Processor,C,3,2,NQ,340.0,340.0,340,NQ,680.0,680.0,680.0,1054.0,1054.0,1054
Vealer Heifer,280-330,Restocker,C,2,4,NQ,220.0,247.0,237.25,NQ,440.0,494.0,474.5,638.0,733.6,705.4825134277344
Vealer Heifer,280-330,Restocker,C,3,7,NQ,231.0,240.0,234.85714285714286,NQ,462.0,480.0,469.7,722.4,727.7,725.4000418526786
Vealer Heifer,330+,Processor,C,3,7,NQ,259.0,280.0,277,NQ,518.0,560.0,554.0,971.3,994.0,985.9499860491071
Manufacturing Steer,540+,Processor,C,3,1,-4,290.0,290.0,290,-12.4,580.0,580.0,580.0,2030.0,2030.0,2030
Manufacturing Steer,540+,Processor,D,2,1,NQ,289.0,289.0,289,NQ,614.9,614.9,614.9,1791.8,1791.8,1791.800048828125
Grown Steer,0-400,Feeder,C,2,3,NQ,280.0,335.0,316.6666666666667,NQ,560.0,670.0,633.3,1106.0,1273.0,1217.3333333333333
Grown Steer,400-500,Dairy,D,2,1,NC,240.0,240.0,240,15.0,510.6,510.6,510.6,1080.0,1080.0,1080
Grown Steer,400-500,Feeder,C,2,8,-22,285.0,335.0,309.375,-18.1,570.0,670.0,618.8,1359.0,1664.9,1452.8624877929688
Grown Steer,400-500,Feeder,C,3,1,-25,300.0,300.0,300,-30.3,600.0,600.0,600.0,1455.0,1455.0,1455
Grown Steer,400-500,Processor,C,2,2,-1,349.0,349.0,349,71.3,698.0,698.0,698.0,1605.4,1605.4,1605.4000244140625
Grown Steer,400-500,Processor,C,3,8,7,320.0,320.0,320,NC,640.0,640.0,640.0,1315.2,1600.0,1350.7999267578125
Grown Steer,400-500,Processor,D,2,1,NC,280.0,280.0,280,23.0,595.7,595.7,595.7,1246.0,1246.0,1246
Grown Steer,500-600,Feeder,C,2,2,-5,343.0,343.0,343,1.6,686.0,686.0,686.0,1739.0,1739.0,1739.010009765625
Grown Steer,500-600,Processor,C,2,1,-3,310.0,310.0,310,61.5,620.0,620.0,620.0,1581.0,1581.0,1581
Grown Steer,500-600,Processor,C,3,17,10,313.0,349.0,332.70588235294116,11.8,626.0,698.0,665.4,1730.9,2059.1,1841.2682100183824
Grown Steer,600-750,Processor,C,3,2,-4,337.0,343.0,340,11.0,674.0,686.0,680.0,2075.1,2123.1,2099.125
Grown Heifer,0-540,Feeder,C,2,3,NC,260.0,270.0,266.6666666666667,3.0,520.0,540.0,533.3,1079.0,1179.9,1146.2666829427083
Grown Heifer,0-540,Feeder,C,3,1,NC,271.0,271.0,271,-29.0,542.0,542.0,542.0,1287.3,1287.3,1287.25
Grown Heifer,0-540,Feeder,D,2,1,NQ,240.0,240.0,240,NQ,510.6,510.6,510.6,864.0,864.0,864
Grown Heifer,0-540,Processor,C,2,4,3,281.0,301.0,289.25,34.3,562.0,602.0,578.5,1292.6,1524.8,1399.0375061035156
Grown Heifer,0-540,Processor,C,3,22,15,300.0,339.0,317.5,30.8,600.0,678.0,635.0,1338.0,1732.5,1509.9454956054688
Grown Heifer,0-540,Restocker,C,3,2,-4,260.0,260.0,260,-16.0,520.0,520.0,520.0,1131.0,1131.0,1131
Grown Heifer,0-540,Restocker,D,2,4,NQ,200.0,251.0,238.25,NQ,425.5,534.0,506.9,740.0,948.8,896.5850219726562
Grown Heifer,540+,Processor,C,3,8,NC,300.0,331.0,315.625,0.5,600.0,662.0,631.3,1776.0,2267.4,1944.5249938964844
Cows,0-400,Dairy,D,2,2,NC,130.0,215.0,172.5,37.5,276.6,457.4,367.0,435.5,849.3,642.375
Cows,0-400,Feeder,D,2,15,NQ,261.0,261.0,261,NQ,555.3,555.3,555.3,1020.5,1020.5,1020.5100260416667
Cows,0-400,Processor,C,2,1,NQ,230.0,230.0,230,NQ,460.0,460.0,460.0,874.0,874.0,874
Cows,0-400,Processor,D,2,1,-23,209.0,209.0,209,12.1,444.7,444.7,444.7,773.3,773.3,773.2999877929688
Cows,0-400,Restocker,D,2,1,-55,150.0,150.0,150,-65.3,319.1,319.1,319.1,510.0,510.0,510
Cows,400-520,Dairy,D,2,2,NC,197.0,223.0,210,23.5,419.1,474.5,446.8,955.5,1092.7,1024.0749816894531
Cows,400-520,Processor,C,2,21,-71,230.0,270.0,254.1904761904762,9.5,460.0,540.0,508.4,978.6,1390.5,1202.4537818545386
Cows,400-520,Processor,C,3,11,-4,260.0,320.0,287.6363636363636,22.6,520.0,640.0,575.3,1209.0,1581.0,1417.3672540838068
Cows,400-520,Processor,D,2,48,-18,160.0,259.0,235.5625,4.8,340.4,551.1,501.2,672.0,1253.6,1071.7462539672852
Cows,520+,Dairy,D,2,2,-24,160.0,233.0,196.5,-29.3,340.4,495.7,418.1,904.0,1363.1,1133.5250244140625
Cows,520+,Processor,C,2,23,-20,259.0,275.0,266.95652173913044,11.0,518.0,550.0,533.9,1380.8,1628.7,1486.0021601137908
Cows,520+,Processor,C,3,47,-77,263.0,347.0,294.3829787234043,11.5,526.0,694.0,588.8,1407.1,2586.0,1886.8317065949136
Cows,520+,Processor,D,2,9,-8,255.0,271.0,260.77777777777777,33.9,542.6,576.6,554.8,1364.3,1617.2,1510.8388671875
Bulls,0-450,Restocker,C,2,5,NQ,220.0,220.0,220,NQ,440.0,440.0,440.0,798.6,798.6,798.6
Bulls,450-600,Processor,C,2,4,NC,245.0,263.0,251,44.0,490.0,526.0,502.0,1212.8,1472.8,1322.8375244140625
Bulls,600+,Processor,C,2,2,-6,256.0,259.0,257.5,36.9,512.0,518.0,515.0,1792.0,1800.1,1796.0250244140625
Bulls,600+,Processor,C,3,10,NC,265.0,280.0,270.1,9.5,530.0,560.0,540.2,1836.0,2832.5,2271.364990234375
