Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Warwick
Report Date: 14/01/2025
Comparison Date: 26/11/2024
Total Yarding: 1032 (-590)
Commentary
"Following the extended break for yard repairs the combined agents at Warwick penned 1,032 cattle for the first sale of the 2025 selling season. All processors and feeder buyers attended and competed strongly lifting prices on all export and heavy feeder lines with large numbers of restockers pushing prices up on all light weight yearling steers and heifers suited to background.

Light weight yearling steers to restockers made 468c to average 441c with those over 280kg at 438c/kg. Yearling steers to feed for the domestic market made 412c with those to restockers at 460c to average 428c/kg. Heavy yearling steers to feed made 426c to average 398c with the wholesale meat trade paying to 424c/kg. Light weight yearling heifers to background made 366c/kg. Yearling heifers over 280kg to feed made 386c to average 349c/kg.Medium weight yearling heifers to feed made 462c to average 357c with those to the wholesale meat trade at 392c to average 370c/kg. Heavy yearling heifers to processors made 408c to average 368c/kg.

Young bullocks to processors made 365c to average 356c/kg. Grown heifers to processors sold to 361c and averaged 320c/kg. Light weight cows to processors made 289c to average 263c/kg. Heavy score 2 cows to processors sold to 285c and averaged 280c/kg. Heavy score 3 cows averaged 296c and sold to 305c with the best heavy cows topping at 311c to average 306c/kg. Heavy bulls to processors sold to 328c and averaged 317c/kg. Cows and calves topped at $1,300/unit.

Market Reporter Errol Luck."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,7,6,398.0,430.0,411.7142857142857,131.7,737.0,796.3,762.4,716.4,860.0,777.94287109375
Yearling Steer,200-280,Feeder,C,2,1,NQ,334.0,334.0,334,NQ,618.5,618.5,618.5,885.1,885.1,885.0999755859375
Yearling Steer,200-280,Restocker,C,2,113,50,358.0,468.0,441.0973451327434,31.8,663.0,866.7,816.8,894.6,1254.0,1129.3814146328816
Yearling Steer,280-330,Feeder,C,2,10,-81,370.0,450.0,426,41.1,685.2,833.3,788.9,1054.5,1282.5,1214.1
Yearling Steer,280-330,Restocker,C,2,24,-40,330.0,438.0,417.8333333333333,16.6,611.1,811.1,773.8,940.5,1348.8,1232.3875020345051
Yearling Steer,280-330,Restocker,D,2,4,-1,370.0,370.0,370,130.0,685.2,685.2,685.2,1110.0,1110.0,1110
Yearling Steer,330-400,Feeder,C,2,62,-159,348.0,412.0,394.0806451612903,17.1,644.4,763.0,729.8,1239.5,1599.8,1457.518556656376
