Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Toowoomba
Report Date: 18/03/2024
Comparison Date: 11/03/2024
Total Yarding: 117 (-204)
Commentary
"There was a large reduction in supply down to 117 head at the Toowoomba cattle sale. A mixed quality yarding sold to the regular panel of buyers along with a large number of onlookers. Prices for young cattle continued to ease by 4c to 5c/kg. However in line with the nationwide trend prices for grown cattle lost a further 15c to 20c/kg.

Light weight yearling steers returning to the paddock made to 396c to average 345c/kg. Medium weight yearling steers to background made to 358c while a handful to feed averaged 324c and made to 330c/kg. Light weight yearling heifers to restockers made to 280c to average 233c/kg. Medium weight yearling heifers to feed averaged from 259c to 272c with sales to 290c/kg.

Medium weight plain condition cows made to144c to average 138c and the best of the heavy weight cows made to 208c/kg. The occasional light weight steer sold open auction made to $490/head, and the heifer portion $340/head. Cows and calves made to $1,520/unit.

Market Reporter, Trevor Hess."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,25,-20,292.2,396.2,345.6240087890625,-11.6,531.3,720.4,628.4,649.1,1053.9,828.5392163085937
Yearling Steer,280-330,Feeder,C,2,3,-3,302.2,302.2,302.20001220703125,-31.3,549.5,549.5,549.5,879.4,879.4,879.4020182291666
Yearling Steer,330-400,Feeder,C,2,2,-20,318.2,330.2,324.20001220703125,-9.7,578.5,600.4,589.5,1188.7,1193.3,1190.985107421875
Yearling Steer,330-400,Restocker,C,2,4,NQ,358.2,358.2,358.20001220703125,NQ,651.3,651.3,651.3,1225.0,1225.0,1225.0440673828125
Yearling Steer,400+,Restocker,D,2,4,NQ,206.2,206.2,206.1999969482422,NQ,374.9,374.9,374.9,1278.4,1278.4,1278.43994140625
Yearling Heifer,0-200,Restocker,C,2,1,-13,276.2,276.2,276.20001220703125,-2.3,511.5,511.5,511.5,511.0,511.0,510.97003173828125
Yearling Heifer,0-200,Restocker,D,2,1,NQ,200.0,200.0,200,NQ,370.4,370.4,370.4,400.0,400.0,400
Yearling Heifer,200-280,Feeder,C,2,2,NQ,290.0,290.0,290,NQ,537.0,537.0,537.0,710.5,710.5,710.5
Yearling Heifer,200-280,Restocker,C,2,20,-3,222.2,280.0,233.46999969482422,-16.8,411.5,518.5,432.4,526.6,742.0,554.5216125488281
Yearling Heifer,280-330,Feeder,C,2,7,-10,230.0,290.2,271.8571515764509,14.5,425.9,537.4,503.4,690.0,893.8,821.432599748884
Yearling Heifer,280-330,Processor,C,3,1,NQ,300.2,300.2,300.20001220703125,NQ,555.9,555.9,555.9,900.6,900.6,900.5999755859375
Yearling Heifer,280-330,Restocker,C,3,2,NQ,266.2,266.2,266.20001220703125,NQ,493.0,493.0,493.0,798.6,798.6,798.5999755859375
Yearling Heifer,330-400,Feeder,C,2,6,1,226.2,286.2,258.8000005086263,13.8,418.9,530.0,479.3,870.9,958.8,906.3080139160156
Grown Steer,500-600,Feeder,C,2,2,1,210.0,210.0,210,-50.2,381.8,381.8,381.8,1211.7,1211.7,1211.699951171875
Grown Steer,500-600,Processor,D,2,1,NQ,120.0,120.0,120,NQ,218.2,218.2,218.2,678.0,678.0,678
Grown Steer,600-750,Feeder,C,3,4,NQ,204.2,204.2,204.1999969482422,NQ,371.3,371.3,371.3,1492.7,1492.7,1492.7020263671875
Grown Heifer,0-540,Feeder,C,3,1,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,930.0,930.0,930
Grown Heifer,0-540,Feeder,D,2,2,NQ,150.0,150.0,150,NQ,312.5,312.5,312.5,730.5,730.5,730.5
Grown Heifer,0-540,Restocker,D,2,1,NQ,188.2,188.2,188.1999969482422,NQ,392.1,392.1,392.1,762.2,762.2,762.2100219726562
Cows,0-400,Processor,D,1,1,NQ,134.2,134.2,134.1999969482422,NQ,279.6,279.6,279.6,489.8,489.8,489.8299865722656
Cows,400-520,Processor,D,1,3,-6,126.2,144.2,138.1999969482422,-50.2,286.8,327.7,314.1,631.0,749.8,710.2266845703125
Cows,400-520,Restocker,D,1,3,NC,130.2,130.2,130.19999186197916,-34.0,295.9,295.9,295.9,546.8,546.8,546.8400065104166
Cows,520+,Processor,D,1,2,NQ,154.2,154.2,154.1999969482422,NQ,350.5,350.5,350.5,878.9,878.9,878.9400024414062
Cows,520+,Processor,D,3,7,1,194.2,208.2,199.6285640171596,-16.9,396.3,424.9,407.4,1165.2,1561.5,1243.252232142857
Bulls,0-450,Feeder,C,2,1,NQ,266.2,266.2,266.20001220703125,NQ,484.0,484.0,484.0,931.7,931.7,931.7000732421875
Bulls,0-450,Restocker,C,2,2,-10,240.0,298.2,269.1000061035156,-45.4,436.4,542.2,489.3,624.0,715.7,669.8399963378906
