Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 26/08/2024
Comparison Date: 19/08/2024
Total Yarding: 773 (-572)
Commentary
"Numbers dropped by 572 for a yarding of 773 cattle. Quality was fair with good numbers of feeder weights and prime yearlings on offer. Grown cattle and cows were in limited supply. Not all the regular buyers were present.

Prime yearling steers held firm selling from 348c to 388c while prime yearling heifers were 20c dearer and more in places, 280c to 375c/kg. Feeder steers fell 15c, 330c to 422c and heifers to feed gained 25c, 294c to 361c/kg.

Prime grown cattle lifted 8c, heavy steers sold from 304c to 367c and heavy heifers, 290c to 350c/kg. Cows dropped 10c, 2 and 3 scores sold from 273c to 301c and heavy prime cows, 300c to 331c/kg. Heavy bulls sold to 290c/kg.

Market reporter, Angus Williams"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,15,11,368.0,368.0,368,23.0,707.7,707.7,707.7,1104.0,1104.0,1104
Yearling Steer,330-400,Feeder,C,2,29,-12,330.0,385.0,360.62068965517244,-17.9,634.6,740.4,693.5,1142.4,1540.0,1370.6206896551723
Yearling Steer,330-400,Processor,C,3,1,NQ,360.0,360.0,360,NQ,679.2,679.2,679.2,1440.0,1440.0,1440
Yearling Steer,400+,Feeder,C,2,247,-23,340.0,422.0,391.5506072874494,-10.0,653.8,811.5,753.0,1428.0,1922.8,1734.3538516890183
Yearling Steer,400+,Processor,C,3,16,-5,348.0,388.0,350.9375,-3.1,656.6,732.1,662.1,1629.6,1879.2,1861.5249252319336
Yearling Heifer,280-330,Processor,C,3,1,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,1024.0,1024.0,1024
Yearling Heifer,330-400,Feeder,C,2,63,11,294.0,352.0,338.0952380952381,29.9,565.4,676.9,650.2,999.6,1400.0,1223.015857514881
Yearling Heifer,330-400,Processor,C,2,3,NQ,330.0,330.0,330,NQ,634.6,634.6,634.6,1122.0,1122.0,1122
Yearling Heifer,330-400,Processor,C,3,32,24,280.0,363.0,354.09375,21.6,528.3,684.9,668.1,1008.0,1444.0,1344.9125366210938
Yearling Heifer,400+,Feeder,C,2,39,-116,316.0,361.0,342.02564102564105,23.2,607.7,694.2,657.7,1408.0,1805.0,1562.3025590945513
Yearling Heifer,400+,Processor,C,3,15,-44,330.0,375.0,367.06666666666666,35.5,622.6,707.5,692.6,1650.0,1848.0,1698.5066731770833
Vealer Steer,0-200,Restocker,C,2,1,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,360.0,360.0,360
Vealer Steer,200-280,Restocker,C,2,4,2,320.0,320.0,320,55.0,615.4,615.4,615.4,768.0,768.0,768
Vealer Heifer,0-200,Restocker,C,2,2,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,450.0,450.0,450
Vealer Heifer,200-280,Restocker,C,2,2,1,248.0,248.0,248,-34.0,476.9,476.9,476.9,595.2,595.2,595.2000122070312
Manufacturing Steer,540+,Dairy,D,3,12,NQ,270.0,270.0,270,NQ,562.5,562.5,562.5,1782.0,1782.0,1782
Grown Steer,400-500,Feeder,C,3,17,-27,340.0,410.0,362.29411764705884,-33.1,629.6,759.3,670.9,1428.0,2050.0,1758.4470645680146
Grown Steer,400-500,Processor,C,4,1,NQ,304.0,304.0,304,NQ,552.7,552.7,552.7,1520.0,1520.0,1520
Grown Steer,500-600,Feeder,C,3,1,-1,355.0,355.0,355,-8.0,657.4,657.4,657.4,1846.0,1846.0,1846
Grown Steer,500-600,Processor,C,4,21,-7,320.0,367.0,360.04761904761904,7.2,581.8,667.3,654.6,1728.0,2128.6,2082.581101190476
Grown Steer,600-750,Processor,C,4,2,-14,361.0,361.0,361,9.4,656.4,656.4,656.4,2310.4,2310.4,2310.39990234375
Grown Heifer,0-540,Feeder,C,3,12,7,320.0,346.0,336.3333333333333,11.3,592.6,640.7,622.8,1536.0,1700.0,1619.9666646321614
Grown Heifer,0-540,Processor,C,3,1,NQ,320.0,320.0,320,NQ,592.6,592.6,592.6,1536.0,1536.0,1536
Grown Heifer,0-540,Processor,C,4,5,-5,290.0,345.0,315,-5.7,527.3,627.3,572.7,1392.0,1728.0,1614.6
Grown Heifer,540+,Processor,C,4,16,-3,335.0,350.0,341.5625,7.8,609.1,636.4,621.0,1904.0,2010.0,1937.875
