Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 14/03/2024
Comparison Date: 29/02/2024
Total Yarding: 374 (-177)
Commentary
"There were approximately 300 export and 75 young cattle penned representing a decrease of 180 head from the sale of a fortnight ago. Quality declined with secondary and plainer cattle well supplied and the limited selection of prime cattle mostly lacking finish. Trade cattle slipped 20c to 40c/kg with several pens passed in. Heavy manufacturing steers eased 5c/kg. Grown steers lost 5c to 10c/kg. Cows gave back 15c to 25c/kg. Heavy bulls lost 13c/kg. 

Vealers sold from 220c to 280c/kg. A couple of yearling trade steers reached 265c with the heifer portion up to 260c/kg. A few pens of grown steers made between 280c and 282c/kg. 

Heavy manufacturing steers sold between 198c and 280c/kg. Most light and medium weight cows made from 73c to 200c/kg. Heavy weight cows sold mostly from 150c to 239c/kg. Heavy bulls made between 190c and 232c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,400+,Processor,C,2,3,NQ,240.0,240.0,240,NQ,444.4,444.4,444.4,1020.0,1020.0,1020
Yearling Steer,400+,Processor,C,3,3,NQ,260.0,265.0,263.3333333333333,NQ,473.2,481.5,476.0,1126.3,1157.0,1136.5
Yearling Steer,400+,Restocker,D,2,4,-1,230.0,230.0,230,36.0,434.0,434.0,434.0,1087.9,1087.9,1087.9000244140625
Yearling Heifer,330-400,Processor,D,1,1,NQ,120.0,120.0,120,NQ,240.0,240.0,240.0,432.0,432.0,432
Yearling Heifer,400+,Processor,D,1,1,NQ,124.0,124.0,124,NQ,248.0,248.0,248.0,502.2,502.2,502.20001220703125
Yearling Heifer,400+,Processor,D,3,4,-10,260.0,260.0,260,-7.0,481.5,481.5,481.5,1151.8,1151.8,1151.800048828125
Yearling Heifer,400+,Restocker,D,2,5,-1,180.0,211.0,193.2,-30.8,346.2,405.8,371.5,737.1,1008.6,847.6719970703125
Vealer Steer,280-330,Processor,B,2,1,NQ,230.0,230.0,230,NQ,410.7,410.7,410.7,747.5,747.5,747.5
Vealer Steer,330+,Processor,B,3,2,NQ,280.0,280.0,280,NQ,482.8,482.8,482.8,1064.0,1064.0,1064
Vealer Steer,330+,Processor,C,3,3,NQ,240.0,240.0,240,NQ,428.6,428.6,428.6,868.8,868.8,868.7999674479166
Vealer Heifer,280-330,Processor,B,2,5,NQ,230.0,230.0,230,NQ,410.7,410.7,410.7,736.0,736.0,736
Vealer Heifer,280-330,Processor,C,3,2,NQ,280.0,280.0,280,NQ,500.0,500.0,500.0,882.0,882.0,882
Vealer Heifer,330+,Processor,C,2,4,NC,220.0,220.0,220,-40.0,400.0,400.0,400.0,820.6,820.6,820.5999755859375
Vealer Heifer,330+,Processor,C,3,10,9,250.0,280.0,259.6,-18.4,446.4,500.0,463.6,975.0,1036.0,1010.7
Manufacturing Steer,0-540,Dairy,D,1,1,NQ,170.0,170.0,170,NQ,354.2,354.2,354.2,892.5,892.5,892.5
Manufacturing Steer,0-540,Processor,D,3,4,NQ,285.0,285.0,285,NQ,527.8,527.8,527.8,1527.6,1527.6,1527.5999755859375
Manufacturing Steer,0-540,Restocker,D,2,3,NQ,200.0,230.0,220,NQ,384.6,442.3,420.3,860.0,1150.0,1049.5
Manufacturing Steer,0-540,Restocker,D,3,1,NQ,238.0,238.0,238,NQ,449.1,449.1,449.1,1285.2,1285.2,1285.199951171875
