Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 09/04/2025
Comparison Date: 26/03/2025
Total Yarding: 1783 (-467)
Commentary
"CQLX Gracemere vendors penned 1783 head this week, after a week without a sale due to welcome rain in many areas. Quality was mixed although condition was mostly good on a yarding drawn from Bowen to Miriamvale and most local districts. Buyer attendance from processors was good, although feeders are limited in number and restockers started slowly building prices as they went along, to be very strong for the best bred pens. Green ink through most classes with some quite large lifts in prices evident.

Well-bred vealer steers made to 479c/kg, averaging from 453c to 474c/kg for those on offer. Vealer heifers topped at 341c/kg. 

Light weight pens of yearling steers sold to 461c/kg, averaging 356c to 428c/kg for decent samples. Medium weight lines sold to 459c/kg, yielding averages from 379c to 428c/kg for the better-bred pens. Light weight yearling heifers reached a 371c/kg top to average 315c to 332c/kg. Medium weight lines averaged 290c to 310c/kg for the best.

Processors paid from 337c to 368c/kg for their grown steers and bullocks relative to finish. Feedlots had plenty of choice, paying from 339c to 368c/kg average for their grown steers. Trade operators purchased well finished, grown heifers, at averages from 310c to 339c/kg. Whilst the best to feed made 301c to 307c/kg. 

Restocker cows sold from 189c to 247c/kg average. The heavy, four score cows improved to top at 306c/kg to average 299c/kg. Heavy bulls sold to processors to average 267c/kg. Average quality cows and calves sold from $1,200 to $1,525 per unit      
Reporter: Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Processor,D,2,1,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,621.0,621.0,621
Yearling Steer,200-280,Processor,E,2,1,NQ,287.0,287.0,287,NQ,551.9,551.9,551.9,746.2,746.2,746.2000122070312
