Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 08/08/2024
Comparison Date: 25/07/2024
Total Yarding: 4100 (-1000)
Commentary
"A total of 4,100 head were yarded for the Blackall prime and store sale this week. The yarding was dominated by prime cattle with 700 prime steers and 1300 cows penned. Despite the increase in yardings of across the state, three additional export processors were operating which helped to lift prices for prime cattle by 5-10c/kg. 

There was limited numbers of light weight restocker steers 200 to 280kg, however prices remained firm on last week with the top price at 390.2c to average 360c/kg.
Medium weight steers 330 to 400kg to feed sold to 358.2c to average 353c and those returning to the paddock topped at 352c/kg.
Prices for heavy weight yearling steers slipped slightly, mainly to an increase in Bos Indicus influence, selling to 368.2c to average 354c/kg.

Light weight restocker heifers 200 to 280kg saw increase support from central and southern Queensland and improved by 20c/kg selling to 330.2c to average 281c/kg.
Medium weight heifers 330 to 400kg to feed made to 298.2c and averaged 264c while heavy feeder heifers sold to 293.2c and averaged 285c/kg.

Heavy heifers over 540kg to the processor made to 300.2c to average 279c and heavy grown steers sold to a top of 320.2c to average 303c/kg. Medium cows sold to 268.2c averaging 251c while good heavy 3 score cows over 520kg lifted 9c/kg, selling to 294.2c to average 272c/kg.

Market reporter,
Sam Hart."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,0-400,Processor,D,3,24,8,155.0,168.0,159.875,-24.2,310.0,336.0,319.8,589.0,638.4,607.5250040690104
Cows,400-520,Processor,D,2,84,35,170.0,220.0,203.64285714285714,1.4,340.0,440.0,404.4,817.0,1070.0,933.1868954613095
Cows,400-520,Processor,D,3,278,82,222.0,268.0,251.26258992805757,6.4,426.9,536.0,497.7,1010.5,1356.6,1242.8147490796425
Cows,400-520,Restocker,D,2,90,14,176.0,236.0,198.66666666666666,-3.2,338.5,472.0,386.5,774.4,1071.0,948.2022243923611
Cows,520+,Processor,D,3,278,-7,248.0,294.0,271.6438848920863,8.7,480.8,568.0,531.6,1314.4,1999.2,1640.7383133044345
Cows,520+,Processor,D,4,1,NQ,245.0,245.0,245,NQ,490.0,490.0,490.0,1837.5,1837.5,1837.5
Cows,520+,Restocker,D,2,11,NQ,200.0,210.0,208.36363636363637,NQ,400.0,403.8,402.1,1060.0,1113.0,1104.327237215909
Bulls,0-450,Feeder,C,2,6,5,178.0,230.0,214.83333333333334,0.8,329.6,425.9,397.8,765.4,994.5,931.1500040690104
Bulls,0-450,Restocker,C,2,37,-112,240.0,270.0,254.05405405405406,-16.9,444.4,519.2,481.1,961.2,996.0,976.7891944679054
Bulls,450-600,Feeder,C,2,2,-21,210.0,230.0,220,-1.0,388.9,425.9,407.4,966.0,1058.0,1012
Bulls,450-600,Processor,C,2,5,-6,228.0,228.0,228,18.5,422.2,422.2,422.2,1276.8,1276.8,1276.8
Bulls,600+,Feeder,C,2,3,NQ,230.0,230.0,230,NQ,425.9,425.9,425.9,1840.0,1840.0,1840
Bulls,600+,Processor,C,1,2,NQ,140.0,150.0,145,NQ,259.3,277.8,268.5,980.0,1170.0,1075
Bulls,600+,Processor,C,2,87,47,150.0,246.0,221.67816091954023,-3.1,277.8,455.6,413.5,1125.0,2124.0,1705.8275862068965
