Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 04/04/2024
Comparison Date: 21/03/2024
Total Yarding: 685 (+370)
Commentary
"The numbers more than doubled however still remain low. PTE females made up a large percentage of the offering while weaners were in limited supply. The local weaner sales being in full swing no doubt a factor. The quality and condition of the offering was mixed with a few good yearling restocker and feeder cattle along with some very good heavy steers and cows. Not all regular buyers were in attendance.

A relatively strong market for young cattle with the weaner steers to restockers generally selling to a firm trend with quality related price change. The heifer portion sold to a significantly dearer trend with quality also contributing to some strong gains. Yearlings sold to dearer trends with heavy feeder steers recovering all of the losses from the previous sale. Heifers were keenly sought by restockers and feedlots to post strong gains. The secondary quality lots struggled to attract much competition with this reflected in prices paid.

With large rainfalls forecast processors competed strongly for all classes of well finished grown cattle and cows in an effort to have cattle on hand in case of cancellations due to that rain. Heavy grown steers sold to a substantially dearer trend. The cow market improved by 20c to 30c/kg with restockers active on the plainer condition lines in competition with processors. The well finished cows attracted strong competition with little concern for excess fat cover. Bulls were also considerably dearer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,C,2,12,NQ,332.0,332.0,332,NQ,638.5,638.5,638.5,996.0,996.0,996
Yearling Steer,330-400,Restocker,C,2,15,9,250.0,326.0,320.93333333333334,68.9,480.8,626.9,617.2,912.5,1189.9,1171.406640625
Yearling Steer,400+,Feeder,C,2,22,8,260.0,350.0,323.54545454545456,19.3,500.0,673.1,622.2,1170.0,1540.0,1448.2318115234375
Yearling Steer,400+,Feeder,C,3,15,4,328.0,349.0,341.93333333333334,39.9,607.4,646.3,633.2,1496.4,1745.0,1726.226668294271
Yearling Heifer,200-280,Processor,C,2,2,NQ,139.0,139.0,139,NQ,267.3,267.3,267.3,375.3,375.3,375.29998779296875
Yearling Heifer,200-280,Restocker,C,2,13,NQ,150.0,228.0,191.3846153846154,NQ,288.5,438.5,368.0,360.0,627.0,502.0769230769231
Yearling Heifer,200-280,Restocker,D,2,4,NC,156.0,156.0,156,30.0,312.0,312.0,312.0,405.6,405.6,405.6000061035156
Yearling Heifer,280-330,Restocker,C,2,18,11,170.0,260.0,243.88888888888889,11.9,326.9,500.0,469.0,544.0,858.0,797.7777777777778
Yearling Heifer,330-400,Restocker,C,2,22,18,258.0,288.0,279.8181818181818,17.8,496.2,553.8,538.1,928.8,1008.0,986.3999911221591
Yearling Heifer,400+,Feeder,C,3,3,-8,265.0,275.0,268.3333333333333,8.7,509.6,518.9,512.7,1086.5,1182.5,1118.5
Yearling Heifer,400+,Processor,C,3,1,NQ,249.0,249.0,249,NQ,478.8,478.8,478.8,1070.7,1070.7,1070.699951171875
Vealer Steer,200-280,Restocker,C,2,16,-5,310.0,366.0,353.75,16.0,596.2,703.8,680.3,682.0,878.4,823.625
