Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: IRLX Inverell
Report Date: 28/05/2024
Comparison Date: 21/05/2024
Total Yarding: 1276 (-3)
Commentary
"Inverell penned 1276 mixed quality cattle however not all buyers attended to varied market trends.

Light yearling steers to background up 15c/kg with similar weights to feed on were 4c/kg better and selling 224c to 368c/kg.  Steers in the 280 to 330kg bracket sold to cheaper trends of 23c/kg with plainer quality types affecting the averages. Medium weight feeders were 9c/kg dearer to top at 340c/kg. Yearling heifers sold to a mostly cheaper trends with a lack of quality a factor. Light heifers to restockers and backgrounders resulted in a 24c/kg loss 230c to 280c/kg. Medium weight feeders slipped 18c/kg.

Grown heifers significantly cheaper selling 200c to 246c/kg. All cows were subject to negative corrections. Medium weights back substantially and the heavy three and four score drafts averaging losses of 12c/kg selling 187c to 222c/kg. Buying demand for cows to the paddock slipped 23c/kg but still topped at 209c/kg.

Stephen  Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Processor,C,2,2,NQ,218.2,218.2,218.1999969482422,NQ,404.1,404.1,404.1,567.3,567.3,567.3200073242188
Yearling Steer,200-280,Restocker,C,2,73,40,276.2,376.2,347.7068623581978,15.0,511.5,696.7,643.9,745.7,1042.2,938.4476669520548
Yearling Steer,280-330,Feeder,C,2,63,6,224.2,368.2,335.2857249426463,4.2,415.2,681.9,620.9,717.4,1178.2,1048.4781009734622
Yearling Steer,280-330,Feeder,D,2,3,-8,224.2,224.2,224.19999186197916,58.0,415.2,415.2,415.2,717.4,717.4,717.4400227864584
Yearling Steer,280-330,Processor,C,2,2,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1023.0,1023.0,1023
Yearling Steer,280-330,Restocker,C,2,38,15,280.0,362.2,338.6684281198602,-23.3,518.5,670.7,627.2,812.0,1159.0,1044.6842233758223
Yearling Steer,330-400,Feeder,C,2,102,43,232.2,374.2,342.2353053373449,9.4,430.0,693.0,633.8,859.1,1399.2,1256.9688708735448
Yearling Steer,330-400,Feeder,C,3,3,NQ,314.2,314.2,314.20001220703125,NQ,581.9,581.9,581.9,1256.8,1256.8,1256.800048828125
Yearling Steer,400+,Feeder,C,2,7,-12,320.0,320.0,320,-14.2,592.6,592.6,592.6,1344.0,1344.0,1344
Yearling Steer,400+,Feeder,C,3,8,-12,292.2,336.2,308.7000045776367,-57.1,541.1,622.6,571.7,1694.8,1882.7,1765.2449951171875
Yearling Steer,400+,Processor,C,2,2,1,254.2,256.2,255.20000457763672,-1.3,470.7,474.4,472.6,1118.5,1434.7,1276.5999755859375
Yearling Steer,400+,Processor,C,3,4,NQ,276.2,276.2,276.20001220703125,NQ,511.5,511.5,511.5,1602.0,1602.0,1601.9599609375
Yearling Heifer,200-280,Feeder,C,2,22,-1,200.0,288.2,253.86363913796166,0.6,377.4,543.8,479.0,520.0,778.1,652.1845481178977
Yearling Heifer,200-280,Restocker,C,2,49,-11,230.0,280.0,272.00000186842317,-24.5,434.0,528.3,513.2,529.0,773.4,712.8873365752551
Yearling Heifer,280-330,Feeder,C,2,20,-21,250.2,332.2,321.88000717163084,25.2,472.1,626.8,607.3,825.7,1096.3,1040.4960845947267
Yearling Heifer,280-330,Restocker,C,2,11,3,305.0,305.0,305,10.8,575.5,575.5,575.5,1006.5,1006.5,1006.5
Yearling Heifer,330-400,Feeder,C,2,69,1,229.2,340.2,303.3652290675951,-18.3,432.5,641.9,572.4,848.0,1190.7,1075.0006068132925
Yearling Heifer,330-400,Feeder,C,3,9,NQ,330.0,330.0,330,NQ,622.6,622.6,622.6,1188.0,1188.0,1188
Yearling Heifer,330-400,Processor,C,2,2,-6,256.2,256.2,256.20001220703125,-18.0,483.4,483.4,483.4,1024.8,1024.8,1024.800048828125
Yearling Heifer,400+,Feeder,C,3,1,-9,280.0,280.0,280,-40.2,528.3,528.3,528.3,1568.0,1568.0,1568
Vealer Steer,200-280,Restocker,C,2,8,-50,270.0,374.2,361.1750183105469,7.8,500.0,693.0,668.8,567.0,860.7,823.9524536132812
Vealer Heifer,0-200,Restocker,C,2,8,NQ,220.2,220.2,220.1999969482422,NQ,415.5,415.5,415.5,396.4,396.4,396.3599853515625
Vealer Heifer,200-280,Processor,C,2,6,1,268.2,268.2,268.20001220703125,38.2,506.0,506.0,506.0,697.3,697.3,697.3199869791666
Manufacturing Steer,0-540,Processor,C,2,3,NQ,246.2,246.2,246.19999186197916,NQ,455.9,455.9,455.9,886.3,886.3,886.3199869791666
Grown Steer,0-400,Feeder,C,2,5,NQ,280.2,280.2,280.2,NQ,518.9,518.9,518.9,1064.8,1064.8,1064.76015625
Grown Steer,500-600,Processor,C,3,4,-2,268.2,270.2,268.70001220703125,-27.5,496.7,500.4,497.6,1555.6,1621.2,1571.9700317382812
