Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: HRLX Singleton
Report Date: 02/10/2024
Comparison Date: 25/09/2024
Total Yarding: 676 (0)
Commentary
"A welcome 40mm and more in places of precipitation over the past 5 days in the drawing area saw agents yard 676 cattle, exactly the same as last week. A big school holiday crowd was on hand although not all of the regular buyers were at the rail effecting competition in some grades.

Light weaner steers saw invigorated competition on the back of the rainfall selling from 352c to 432c/kg to be 8c/kg dearer, medium weights saw similar gains making to 418c/kg whilst over 330kg made from 320c to 406c/kg to be 9c/kg better off. Best local butcher calf made 378c/kg weighing 395kg. Weaner heifers reversed this trend to be 29c/kg cheaper trading from 260c to 324c/kg over 330kg grain assisted trade heifers slightly dearer making from 290c to 378c/kg.

Yearling steers medium weights to re-stockers were back 17c/kg selling from 270c to 388c/kg, heavy weights over 400kg to the lot feeders selling from 306c to 370c/kg. Medium weight yearling heifers to feed saw little change making from 280c to 322c/kg.

Only a handful of cows on offer too unreliable to quote with light 2 scores selling from 160c to 264c/kg whilst the heavy prime 3 and 4 scores sold from 288c to 310c/kg.

Market Operator Angus Barlow."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,280-330,Processor,C,3,1,NC,280.0,280.0,280,10.0,518.5,518.5,518.5,868.0,868.0,868
Vealer Heifer,280-330,Restocker,C,2,22,16,280.0,322.0,302.09090909090907,-5.6,538.5,619.2,580.9,840.0,1062.6,944.5817982066761
Vealer Heifer,280-330,Restocker,C,3,12,6,298.0,318.0,309.6666666666667,-46.3,562.3,600.0,584.3,953.6,1001.7,981.6583251953125
Vealer Heifer,330+,Feeder,B,3,4,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1054.0,1054.0,1054
Vealer Heifer,330+,Feeder,C,3,18,NQ,290.0,318.0,305.6666666666667,NQ,547.2,600.0,577.4,986.0,1097.1,1039.6822238498264
Vealer Heifer,330+,Processor,B,3,2,-14,330.0,344.0,337,-9.0,593.1,600.0,596.6,1138.5,1169.6,1154.0499877929688
Vealer Heifer,330+,Processor,C,3,13,7,290.0,378.0,324.61538461538464,5.9,537.0,687.3,599.1,1029.5,1417.5,1210.846163236178
Vealer Heifer,330+,Restocker,C,2,2,NC,290.0,290.0,290,-40.0,557.7,557.7,557.7,986.0,986.0,986
Manufacturing Steer,540+,Processor,C,3,2,NQ,292.0,292.0,292,NQ,550.9,550.9,550.9,1679.0,1679.0,1679
Grown Steer,0-400,Restocker,C,2,9,NQ,276.0,302.0,299.1111111111111,NQ,530.8,580.8,575.2,938.4,1132.5,1110.9333360460068
Grown Heifer,540+,Processor,D,3,1,NQ,290.0,290.0,290,NQ,604.2,604.2,604.2,1580.5,1580.5,1580.5
Cows,400-520,Processor,D,2,7,NC,160.0,264.0,209.14285714285714,-33.7,347.8,550.0,445.4,760.0,1227.6,969.8999982561384
Cows,400-520,Restocker,D,2,2,NQ,196.0,254.0,225,NQ,417.0,540.4,478.7,872.2,1117.6,994.8999938964844
Cows,520+,Processor,D,2,1,NQ,270.0,270.0,270,NQ,562.5,562.5,562.5,1579.5,1579.5,1579.5
Cows,520+,Processor,D,3,10,2,288.0,305.0,296.9,20.6,587.8,610.0,598.6,1580.5,1952.0,1757.610009765625
Cows,520+,Processor,D,4,4,2,290.0,310.0,305,6.0,568.6,607.8,598.0,1870.5,2201.0,2118.375
Bulls,600+,Processor,B,3,1,NC,284.0,284.0,284,-10.0,507.1,507.1,507.1,2215.2,2215.2,2215.199951171875
